"schoolname","districtname","state_district_id","state_school_id","lat","lon","nces_id"
"VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY SCIENCE AND MATH","VISTA UNIFIED","68452","114637",33.203938,-117.237247,"064119012147"
"VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY","68023","6038046",32.634857,-117.087328,"060861000882"
"VISTA VISIONS ACADEMY","VISTA UNIFIED","68452","126300",33.220188,-117.241319,"064119013151"
"VIVIAN BANKS CHARTER","BONSALL UNIFIED","76851","6113468",33.36578,-117.073417,"060142606481"
"W. D. HALL ELEMENTARY","CAJON VALLEY UNION","67991","6037741",32.821424,-116.930678,"060681000616"
"WALKER ELEMENTARY","SAN DIEGO UNIFIED","68338","6089064",32.912295,-117.126251,"063432005565"
"WANGENHEIM MIDDLE","SAN DIEGO UNIFIED","68338","6097844",32.905727,-117.125741,"063432005566"
"WARNER ELEMENTARY","WARNER UNIFIED","75416","6040661",33.274332,-116.643105,"060004206844"
"WARNER JUNIOR/SENIOR HIGH","WARNER UNIFIED","75416","3730975",33.274332,-116.643105,"060004205341"
"WASHINGTON ELEMENTARY","SAN DIEGO UNIFIED","68338","6040265",32.723883,-117.166437,"063432005567"
"WEBSTER ELEMENTARY","SAN DIEGO UNIFIED","68338","6040273",32.723942,-117.0923,"063432005568"
"WEGEFORTH ELEMENTARY","SAN DIEGO UNIFIED","68338","6040281",32.80542,-117.135875,"063432005569"
"WEST HILLS HIGH","GROSSMONT UNION HIGH","68130","3730702",32.847852,-117.015744,"061623009141"
"WESTVIEW HIGH","POWAY UNIFIED","68296","3731528",32.967085,-117.148379,"063153010632"
"WESTWOOD ELEMENTARY","POWAY UNIFIED","68296","6070858",33.030226,-117.086822,"063153004900"
"WHITMAN ELEMENTARY","SAN DIEGO UNIFIED","68338","6040307",32.836795,-117.20428,"063432005571"
"WHITTIER K-12","SAN DIEGO UNIFIED","68338","3730363",32.803436,-117.197999,"063432007837"
