sponsor_id,fnsreportdate,academicyear,programgroupyear,sponsorname,mealgroup,mealtype,daysservedquanity,freeeligible,reducedeligible,paideligible,enrollment,freemeals,reducedmeals,paidmeals,totalmeals
588,2014-07-01,2014-2015,2014,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,22,187,0,3,190,2709,0,43,2752
588,2014-08-01,2014-2015,2014,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,21,187,0,3,190,2627,0,42,2669
588,2014-09-01,2014-2015,2014,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,21,187,0,3,190,2595,0,42,2637
588,2014-10-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,23,176,0,3,179,2800,0,48,2848
588,2014-11-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,19,176,0,3,179,2311,0,39,2350
588,2014-12-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,22,176,0,3,179,2571,0,44,2615
588,2015-01-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,21,176,0,3,179,2490,0,43,2533
588,2015-02-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,20,176,0,3,179,2282,0,39,2321
588,2015-03-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,22,176,0,3,179,2483,0,42,2525
588,2015-04-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,22,176,0,3,179,2618,0,45,2663
588,2015-05-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,20,176,0,3,179,2525,0,43,2568
588,2015-06-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,22,176,0,3,179,2858,0,49,2907
588,2015-07-01,2015-2016,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,22,176,0,3,179,3023,0,52,3075
588,2015-08-01,2015-2016,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,21,176,0,3,179,2893,0,49,2942
588,2015-09-01,2015-2016,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_LUNCH,ADULT_LUNCH,21,176,0,3,179,3076,0,53,3129
588,2014-10-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,23,176,0,3,179,789,0,13,802
588,2014-11-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,19,176,0,3,179,698,0,12,710
588,2014-12-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,22,176,0,3,179,730,0,12,742
588,2015-01-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,21,176,0,3,179,692,0,12,704
588,2015-02-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,20,176,0,3,179,534,0,9,543
588,2015-03-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,22,176,0,3,179,660,0,11,671
588,2015-04-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,22,176,0,3,179,655,0,11,666
588,2015-05-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,20,176,0,3,179,611,0,10,621
588,2015-06-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,22,176,0,3,179,483,0,8,491
588,2015-07-01,2015-2016,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,22,176,0,3,179,401,0,7,408
588,2015-08-01,2015-2016,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,21,176,0,3,179,544,0,9,553
588,2015-09-01,2015-2016,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_AM,ADULT_SNACK_AM,21,176,0,3,179,722,0,12,734
588,2014-10-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_PM,ADULT_SNACK_PM,23,176,0,3,179,1112,0,19,1131
588,2014-11-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_PM,ADULT_SNACK_PM,19,176,0,3,179,893,0,15,908
588,2014-12-01,2014-2015,2015,J GELT CORPORATION CASA PACIFICA ADHC,ADULT_SNACK_PM,ADULT_SNACK_PM,22,176,0,3,179,955,0,16,971
