name,alt_names,is_district 
NORTH COUNTY TRADE TECH HIGH SCHOOL,NORTH COUNTY TRADE TECH HIGH SCHOOL,FALSE
OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE
OUR LADY SACRED HEART SCHOOL,OUR LADY SACRED HEART SCHOOL,FALSE
PHOENIX HOUSE SAN DIEGO INC,PHOENIX HOUSE SAN DIEGO INC,FALSE
POWAY UNIFIED,POWAY UNIFIED,TRUE
PROJECT SELF SUFFICIENCY TREATMENT,PROJECT SELF SUFFICIENCY TREATMENT,FALSE
RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE
RANCHO SANTA FE ELEMENTARY,RANCHO SANTA FE ELEMENTARY,TRUE
SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,FALSE
SAN DIEGO CENTER FOR CHILDREN,SAN DIEGO CENTER FOR CHILDREN,FALSE
SAN DIEGO CO PROBATION DEPT,SAN DIEGO CO PROBATION DEPT,FALSE
SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,FALSE
SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO COUNTY OFFICE OF EDUCATION,FALSE
SAN DIEGO IMPERIAL COUNCIL BSA,SAN DIEGO IMPERIAL COUNCIL BSA,FALSE
SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,FALSE
SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE
SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE
SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE
SAN PASQUAL UNION ELEMENTARY,SAN PASQUAL UNION ELEMENTARY,TRUE
SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,TRUE
SANTEE,SANTEE,TRUE
SBC - HIGH TECH HIGH,"SBC - HIGH TECH HIGH, HIGH TECH HIGH CHARTER SCHOOL",FALSE
SBE - AUDEO CHARTER II,SBE - AUDEO CHARTER II,FALSE
SBE - BAYPOINT PREPARATORY ACADEMY SAN DIEGO,SBE - BAYPOINT PREPARATORY ACADEMY SAN DIEGO,FALSE
SBE - COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,SBE - COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,FALSE
SBE - GROSSMONT SECONDARY,SBE - GROSSMONT SECONDARY,FALSE
SBE - SWEETWATER SECONDARY,SBE - SWEETWATER SECONDARY,FALSE
SBE - THRIVE PUBLIC,"SBE - THRIVE PUBLIC, THRIVE PUBLIC SCHOOLS",FALSE
SBE - VISTA SPRINGS CHARTER,SBE - VISTA SPRINGS CHARTER,FALSE
SHILOAH SPRINGS BIBLE RETREAT,SHILOAH SPRINGS BIBLE RETREAT,FALSE
SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,TRUE
SOUTH BAY UNION,SOUTH BAY UNION,TRUE
SPENCER VALLEY ELEMENTARY,SPENCER VALLEY ELEMENTARY,TRUE
ST DIDACUS SCHOOL,ST DIDACUS SCHOOL,FALSE
ST MICHAELS SCHOOL,ST MICHAELS SCHOOL,FALSE
ST PATRICKS SCHOOL,ST PATRICKS SCHOOL,FALSE
ST RITAS SCHOOL,ST RITAS SCHOOL,FALSE
SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE
THRIVE PUBLIC SCHOOLS,THRIVE PUBLIC SCHOOLS,FALSE
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO",FALSE
UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,
VALLECITOS ELEMENTARY,VALLECITOS ELEMENTARY,TRUE
VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,TRUE
VISTA UNIFIED,VISTA UNIFIED,TRUE
"VISTA, CITY OF","VISTA, CITY OF",FALSE
VOLUNTEERS OF AMERICA,VOLUNTEERS OF AMERICA,FALSE
"WAHUPA EDUCATIONAL ENTERPRISES, INC","WAHUPA EDUCATIONAL ENTERPRISES, INC",FALSE
WARNER UNIFIED,WARNER UNIFIED,TRUE
YMCA OF SAN DIEGO COUNTY,YMCA OF SAN DIEGO COUNTY,FALSE
CA RELIABLE MEDICAL SYSTEMS INC,CA RELIABLE MEDICAL SYSTEMS INC,FALSE
CASA DE AMPARO,CASA DE AMPARO,FALSE
CENTRO DE SALUD DE LA,CENTRO DE SALUD DE LA,FALSE
CHICANO FEDERATION OF SAN DIEGO COUNTY INC,CHICANO FEDERATION OF SAN DIEGO COUNTY INC,FALSE
CHILD DEVELOPMENT ASSOC INC,CHILD DEVELOPMENT ASSOC INC,FALSE
CHILDREN OF THE RAINBOW INC,CHILDREN OF THE RAINBOW INC,FALSE
CHILDRENS PARADISE INC,CHILDRENS PARADISE INC,FALSE
CHILDTIME CHILD CARE INC CHILDREN'S CENTERS,CHILDTIME CHILD CARE INC CHILDREN'S CENTERS,FALSE
CHURCH OF COMPASSION DAYSPRING CHRISTIAN LRNING CTR,CHURCH OF COMPASSION DAYSPRING CHRISTIAN LRNING CTR,FALSE
CLAIREMONT VILLA ADHC INC,CLAIREMONT VILLA ADHC INC,FALSE
COLES COTTAGE CHILD CENTER INC,COLES COTTAGE CHILD CENTER INC,FALSE
COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC,COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC,FALSE
EAST SAN DIEGO ASSEMBLY OF GOD,EAST SAN DIEGO ASSEMBLY OF GOD,FALSE
EASTER SEALS S CALIF INC,EASTER SEALS S CALIF INC,FALSE
EDUCATIONAL ENRICHMENT SYSTEMS INC,EDUCATIONAL ENRICHMENT SYSTEMS INC,FALSE
EL CAJON WESLEYAN CHURCH,EL CAJON WESLEYAN CHURCH,FALSE
EPISCOPAL COMMUNITY SERVICES,EPISCOPAL COMMUNITY SERVICES,FALSE
ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR,ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR,FALSE
GENAVEVES PLAYHOUSE PRESCHOOL,GENAVEVES PLAYHOUSE PRESCHOOL,FALSE
GEORGE G GLENNER ALZHEIMERS FM CTR INC,GEORGE G GLENNER ALZHEIMERS FM CTR INC,FALSE
GIGGLES & SMILES CHILD CARE CENTER,GIGGLES & SMILES CHILD CARE CENTER,FALSE
GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT,GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT,FALSE
GSCA INC,GSCA INC,FALSE
HAGAR & SHRYOCK,HAGAR & SHRYOCK,FALSE
HEALTHRIGHT 360,HEALTHRIGHT 360,FALSE
HIGHER LEARNING ACADEMY INC,HIGHER LEARNING ACADEMY INC,FALSE
HOPE THROUGH HOUSING FOUNDATION,HOPE THROUGH HOUSING FOUNDATION,FALSE
HORIZONS ADHC CENTER,HORIZONS ADHC CENTER,FALSE
J GELT CORPORATION CASA PACIFICA ADHC,J GELT CORPORATION CASA PACIFICA ADHC,FALSE
KIDZ CITY,KIDZ CITY,FALSE
KINDERCARE EDUCATION LLC,KINDERCARE EDUCATION LLC,FALSE
KINDERCARE LEARNING CENTERS LLC,KINDERCARE LEARNING CENTERS LLC,FALSE
KING CHAVEZ ACADEMY OF,KING CHAVEZ ACADEMY OF,FALSE
LA PETITE ACADEMY INC,LA PETITE ACADEMY INC,FALSE
LIFEBRIDGE CHURCH,LIFEBRIDGE CHURCH,FALSE
LINERS CORP,LINERS CORP,FALSE
LOVING CARE ADHC LIMITED,LOVING CARE ADHC LIMITED,FALSE
MARANGELYS KIDS INC KIDDIE ACADEMY CHILD CARE CTR,MARANGELYS KIDS INC KIDDIE ACADEMY CHILD CARE CTR,FALSE
MARINE CORPS AIR STATION,MARINE CORPS AIR STATION,FALSE
MARINE CORPS COMMUNITY SERVICES,MARINE CORPS COMMUNITY SERVICES,FALSE
METROPOLITAN AREA ADVISORY COMMITTEE-MAAC-PROJ HEADSTART,METROPOLITAN AREA ADVISORY COMMITTEE-MAAC-PROJ HEADSTART,FALSE
MEXICAN AMERICAN OPPORTUN FOUN,MEXICAN AMERICAN OPPORTUN FOUN,FALSE
NEIGHBORHOOD HOUSE ASSOCIATION,NEIGHBORHOOD HOUSE ASSOCIATION,FALSE
NEXT GENERATION EDUC CTR INC,NEXT GENERATION EDUC CTR INC,FALSE
NORTH COUNTY COMMUNITY SERVICE,NORTH COUNTY COMMUNITY SERVICE,FALSE
OAK TREE ACADEMY LLC,OAK TREE ACADEMY LLC,FALSE
OCEAN BEACH CHILD CARE PROJECT CHILDRENS CIRCLE,OCEAN BEACH CHILD CARE PROJECT CHILDRENS CIRCLE,FALSE
OPEN ARMS ADHC INC,OPEN ARMS ADHC INC,FALSE
PALOMAR COMMUNITY COLLEGE DISTRICT CDC,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,FALSE
POWAY ADHC CENTER,POWAY ADHC CENTER,FALSE
QUALITY CHILDREN'S SERVICES,QUALITY CHILDREN'S SERVICES,FALSE
READY SET GROW,READY SET GROW,FALSE
SAINT VINCENT DE PAUL VILLAGE,SAINT VINCENT DE PAUL VILLAGE,FALSE
SAN DIEGO COMMUNITY COLL DIST,SAN DIEGO COMMUNITY COLL DIST,FALSE
SCHOOLS OUT,SCHOOLS OUT,FALSE
SELF DISCOVERY INC,SELF DISCOVERY INC,FALSE
SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,FALSE
SWEET BUSY BEES,SWEET BUSY BEES,FALSE
THE VINE LEARNING CENTER,THE VINE LEARNING CENTER,FALSE
TUTOR TIME LEARNING CENTERS LLC,TUTOR TIME LEARNING CENTERS LLC,FALSE
UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,FALSE
VISIONS OF GOD CHRISTIAN FELLOWSHIP,VISIONS OF GOD CHRISTIAN FELLOWSHIP,FALSE
WESTERN CONSULTING & ANCILLARY SERVICES INC,WESTERN CONSULTING & ANCILLARY SERVICES INC,FALSE
