County,Claim Month_Yr,ProgramCode,Year,Sponsor Name,Meals Type,SiteQty,DaysServedQty,Meals Served,Avg Daily Meals
SAN DIEGO,Aug 2016,CACF,2016,South Bay Union School District,HS_CHILD_SNACK_AM,3,23,2245,97.6087
SAN DIEGO,Aug 2016,CACF,2016,South Bay Union School District,HS_CHILD_SNACK_PM,3,23,1315,57.1739
SAN DIEGO,Sep 2016,CACF,2016,South Bay Union School District,HS_CHILD_SNACK_AM,3,10,998,99.8
SAN DIEGO,Sep 2016,CACF,2016,South Bay Union School District,HS_CHILD_SNACK_PM,3,10,565,56.5
SAN DIEGO,Aug 2016,CACF,2016,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_BREAKFAST,1,23,173,7.5217
SAN DIEGO,Aug 2016,CACF,2016,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_LUNCH,1,23,312,13.5652
SAN DIEGO,Aug 2016,CACF,2016,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_SNACK_PM,1,23,153,6.6522
SAN DIEGO,Sep 2016,CACF,2016,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_BREAKFAST,1,21,224,10.6667
SAN DIEGO,Sep 2016,CACF,2016,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_LUNCH,1,21,233,11.0952
SAN DIEGO,Sep 2016,CACF,2016,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_SNACK_PM,1,21,116,5.5238
SAN DIEGO,Aug 2016,CACF,2016,SWEET BUSY BEES,CHILD_BREAKFAST,1,23,450,19.5652
SAN DIEGO,Aug 2016,CACF,2016,SWEET BUSY BEES,CHILD_LUNCH,1,23,450,19.5652
SAN DIEGO,Aug 2016,CACF,2016,SWEET BUSY BEES,CHILD_SNACK_AM,1,23,450,19.5652
SAN DIEGO,Sep 2016,CACF,2016,SWEET BUSY BEES,CHILD_BREAKFAST,1,21,378,18
SAN DIEGO,Sep 2016,CACF,2016,SWEET BUSY BEES,CHILD_LUNCH,1,21,378,18
SAN DIEGO,Sep 2016,CACF,2016,SWEET BUSY BEES,CHILD_SNACK_AM,1,21,378,18
SAN DIEGO,Aug 2016,CACF,2016,Sweetwater Union High School District,ATRISK_CHILD_SUPPER,16,23,32776,1425.0435
SAN DIEGO,Sep 2016,CACF,2016,Sweetwater Union High School District,ATRISK_CHILD_SUPPER,16,11,18510,1682.7273
SAN DIEGO,Aug 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,CHILD_BREAKFAST,7,23,7913,344.0435
SAN DIEGO,Aug 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,CHILD_LUNCH,7,23,10968,476.8696
