"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_BREAKFAST_SEVERENEED",30,623,0,0,623
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_LUNCH",30,176,0,0,176
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_SNACK_AREAELIGIBLE",20,435,0,0,435
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_BREAKFAST_SEVERENEED",30,926,0,0,926
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_LUNCH",30,350,0,0,350
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_SNACK_AREAELIGIBLE",20,566,0,0,566
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"SAN DIEGO CENTER FOR CHILDREN","NSLP_BREAKFAST_SEVERENEED",20,260,42,142,444
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"SAN DIEGO CENTER FOR CHILDREN","NSLP_LUNCH",20,807,53,212,1072
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"BAYSIDE BLENDED COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",21,228,0,0,228
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"BAYSIDE BLENDED COMMUNITY SCHOOL","NSLP_LUNCH",21,141,0,0,141
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CAMP CUYAMACA","NSLP_BREAKFAST",13,724,169,4047,4940
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CAMP CUYAMACA","NSLP_LUNCH",16,877,204,5001,6082
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CHOICE COMMUNITY SCHOOL","NSLP_BREAKFAST_SEVERENEED",21,125,0,0,125
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CHOICE COMMUNITY SCHOOL","NSLP_LUNCH",21,400,0,0,400
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CTEC INDEPENDENT STUDY","NSLP_BREAKFAST_SEVERENEED",21,153,0,0,153
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CTEC INDEPENDENT STUDY","NSLP_LUNCH",21,191,0,0,191
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CUYAMACHA PREP COMMUNITY SCHOOL","NSLP_BREAKFAST",21,145,0,0,145
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CUYAMACHA PREP COMMUNITY SCHOOL","NSLP_LUNCH",21,199,0,0,199
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"EAST COUNTY COMMUNITY SCHOOL","NSLP_BREAKFAST",21,165,0,0,165
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"EAST COUNTY COMMUNITY SCHOOL","NSLP_LUNCH",21,283,0,0,283
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"INNOVATIONS ACADEMY OF EMPOWERMENT","NSLP_BREAKFAST",20,212,0,0,212
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"INNOVATIONS ACADEMY OF EMPOWERMENT","NSLP_LUNCH",20,610,0,0,610
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"LA MESA COMMUNITY SCHOOL","NSLP_BREAKFAST",21,281,0,0,281
2016-04-01,"2015-2016","NSLP",2016,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"LA MESA COMMUNITY SCHOOL","NSLP_LUNCH",21,499,0,0,499
