"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2015-2016",37,10371,115998,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN PASQUAL ACADEMY","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL","None",FALSE,NA,"",FALSE,"9","12",81,81,100,81,100,75,75,100,75,100,TRUE,"Other"
"2015-2016",37,10371,120485,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","DAVILA DAY","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","None",FALSE,NA,"",FALSE,"P","8",27,16,59.3,22,81.5,26,15,57.7,21,80.8,TRUE,"Other"
"2015-2016",37,10371,120493,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","MONARCH","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL","None",FALSE,NA,"",FALSE,"K","12",271,271,100,271,100,263,263,100,263,100,TRUE,"Other"
"2015-2016",37,10371,128520,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COMMUNITY","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL","None",FALSE,NA,"",FALSE,"K","12",816,594,72.8,594,72.8,535,402,75.1,402,75.1,TRUE,"Other"
"2015-2016",37,10371,128538,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COURT","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL","None",FALSE,NA,"",FALSE,"K","12",546,546,100,546,100,485,485,100,485,100,TRUE,"Other"
"2015-2016",37,10371,1996545,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","NORTH COASTAL CONSORTIUM SCHOOLS","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","None",FALSE,NA,"",FALSE,"P","12",92,39,42.4,41,44.6,85,36,42.4,38,44.7,TRUE,"Other"
"2015-2016",37,10371,6069355,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY SPECIAL EDUCATION","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","None",FALSE,NA,"",FALSE,"K","12",42,7,16.7,11,26.2,31,4,12.9,6,19.4,TRUE,"Other"
"2015-2016",37,10371,6119119,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","LITERACY FIRST CHARTER","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL","None",TRUE,405,"DIRECTLY FUNDED",TRUE,"K","12",1639,591,36.1,711,43.4,1631,589,36.1,706,43.3,TRUE,"Elementary School"
"2015-2016",37,67967,6037519,"SAN DIEGO","ALPINE UNION ELEMENTARY","ALPINE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"1","5",326,84,25.8,122,37.4,326,84,25.8,122,37.4,TRUE,"Elementary School"
"2015-2016",37,67967,6037535,"SAN DIEGO","ALPINE UNION ELEMENTARY","JOAN MACQUEEN MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"6","8",528,127,24.1,176,33.3,528,127,24.1,176,33.3,TRUE,"Middle School"
"2015-2016",37,67967,6106256,"SAN DIEGO","ALPINE UNION ELEMENTARY","SHADOW HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",316,76,24.1,109,34.5,315,75,23.8,108,34.3,TRUE,"Elementary School"
"2015-2016",37,67967,6109086,"SAN DIEGO","ALPINE UNION ELEMENTARY","BOULDER OAKS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"1","5",259,60,23.2,79,30.5,259,60,23.2,79,30.5,TRUE,"Elementary School"
"2015-2016",37,67967,6109953,"SAN DIEGO","ALPINE UNION ELEMENTARY","MOUNTAIN VIEW LEARNING ACADEMY","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE","None",FALSE,NA,"",FALSE,"K","8",66,15,22.7,21,31.8,66,15,22.7,21,31.8,TRUE,"Other"
"2015-2016",37,67967,6118723,"SAN DIEGO","ALPINE UNION ELEMENTARY","CREEKSIDE EARLY LEARNING CENTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"P","K",212,57,26.9,70,33,187,53,28.3,65,34.8,TRUE,"Elementary School"
"2015-2016",37,67983,117887,"SAN DIEGO","BORREGO SPRINGS UNIFIED","JUAN BAUTISTA DE ANZA","Unified School District","High Schools (Public)","TRADITIONAL","None",TRUE,1021,"DIRECTLY FUNDED",TRUE,"7","12",70,34,48.6,42,60,65,30,46.2,38,58.5,TRUE,"High School"
"2015-2016",37,67983,128579,"SAN DIEGO","BORREGO SPRINGS UNIFIED","OXFORD PREPARATORY ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL","None",TRUE,1590,"DIRECTLY FUNDED",TRUE,"K","12",8,2,25,2,25,8,2,25,2,25,TRUE,"Elementary School"
"2015-2016",37,67983,131144,"SAN DIEGO","BORREGO SPRINGS UNIFIED","DIEGO SPRINGS ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL","None",TRUE,1692,"DIRECTLY FUNDED",TRUE,"K","12",280,218,77.9,249,88.9,126,97,77,113,89.7,TRUE,"Elementary School"
"2015-2016",37,67983,3730447,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS HIGH","Unified School District","High Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"9","12",146,100,68.5,124,84.9,142,97,68.3,120,84.5,TRUE,"High School"
"2015-2016",37,67983,6037550,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"P","5",181,129,71.3,163,90.1,178,127,71.3,160,89.9,TRUE,"Elementary School"
"2015-2016",37,67983,6115315,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",87,64,73.6,75,86.2,87,64,73.6,75,86.2,TRUE,"Middle School"
"2015-2016",37,67991,1,"SAN DIEGO","CAJON VALLEY UNION","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"None",NA,NA,NA,NA,"","",18,0,0,0,0,18,0,0,0,0,TRUE,NA
"2015-2016",37,67991,108563,"SAN DIEGO","CAJON VALLEY UNION","EJE ELEMENTARY ACADEMY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",TRUE,683,"DIRECTLY FUNDED",TRUE,"K","5",525,358,68.2,419,79.8,509,350,68.8,410,80.6,TRUE,"Elementary School"
"2015-2016",37,67991,111005,"SAN DIEGO","CAJON VALLEY UNION","LOS COCHES CREEK MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"6","8",630,226,35.9,278,44.1,630,226,35.9,278,44.1,TRUE,"Middle School"
"2015-2016",37,67991,119255,"SAN DIEGO","CAJON VALLEY UNION","EJE MIDDLE ACADEMY","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","None",TRUE,1063,"DIRECTLY FUNDED",TRUE,"6","8",182,133,73.1,151,83,182,133,73.1,151,83,TRUE,"Middle School"
"2015-2016",37,67991,6037568,"SAN DIEGO","CAJON VALLEY UNION","ANZA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",568,510,89.8,530,93.3,552,498,90.2,518,93.8,TRUE,"Elementary School"
"2015-2016",37,67991,6037576,"SAN DIEGO","CAJON VALLEY UNION","BOSTONIA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",354,196,55.4,236,66.7,342,187,54.7,227,66.4,TRUE,"Elementary School"
"2015-2016",37,67991,6037584,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",932,825,88.5,878,94.2,932,825,88.5,878,94.2,TRUE,"Middle School"
"2015-2016",37,67991,6037592,"SAN DIEGO","CAJON VALLEY UNION","CHASE AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",759,662,87.2,703,92.6,744,649,87.2,688,92.5,TRUE,"Elementary School"
"2015-2016",37,67991,6037600,"SAN DIEGO","CAJON VALLEY UNION","CREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",145,58,40,64,44.1,142,56,39.4,62,43.7,TRUE,"Elementary School"
"2015-2016",37,67991,6037626,"SAN DIEGO","CAJON VALLEY UNION","EMERALD MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",525,458,87.2,488,93,525,458,87.2,488,93,TRUE,"Middle School"
"2015-2016",37,67991,6037634,"SAN DIEGO","CAJON VALLEY UNION","FLYING HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",570,285,50,322,56.5,555,278,50.1,315,56.8,TRUE,"Elementary School"
"2015-2016",37,67991,6037642,"SAN DIEGO","CAJON VALLEY UNION","FUERTE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",637,165,25.9,178,27.9,627,163,26,175,27.9,TRUE,"Elementary School"
"2015-2016",37,67991,6037659,"SAN DIEGO","CAJON VALLEY UNION","GREENFIELD MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",700,521,74.4,582,83.1,700,521,74.4,582,83.1,TRUE,"Middle School"
"2015-2016",37,67991,6037675,"SAN DIEGO","CAJON VALLEY UNION","JOHNSON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",612,567,92.6,590,96.4,595,552,92.8,574,96.5,TRUE,"Elementary School"
"2015-2016",37,67991,6037683,"SAN DIEGO","CAJON VALLEY UNION","LEXINGTON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",791,724,91.5,760,96.1,781,716,91.7,751,96.2,TRUE,"Elementary School"
"2015-2016",37,67991,6037691,"SAN DIEGO","CAJON VALLEY UNION","MADISON AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",641,454,70.8,518,80.8,630,450,71.4,512,81.3,TRUE,"Elementary School"
"2015-2016",37,67991,6037709,"SAN DIEGO","CAJON VALLEY UNION","MAGNOLIA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",490,368,75.1,416,84.9,473,354,74.8,402,85,TRUE,"Elementary School"
"2015-2016",37,67991,6037717,"SAN DIEGO","CAJON VALLEY UNION","MERIDIAN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",659,516,78.3,573,86.9,647,512,79.1,567,87.6,TRUE,"Elementary School"
"2015-2016",37,67991,6037725,"SAN DIEGO","CAJON VALLEY UNION","NARANCA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",791,706,89.3,728,92,765,684,89.4,706,92.3,TRUE,"Elementary School"
"2015-2016",37,67991,6037733,"SAN DIEGO","CAJON VALLEY UNION","RIOS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",271,160,59,195,72,266,156,58.6,191,71.8,TRUE,"Elementary School"
"2015-2016",37,67991,6037741,"SAN DIEGO","CAJON VALLEY UNION","W. D. HALL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",649,415,63.9,450,69.3,636,406,63.8,440,69.2,TRUE,"Elementary School"
"2015-2016",37,67991,6069082,"SAN DIEGO","CAJON VALLEY UNION","AVOCADO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",577,282,48.9,312,54.1,560,277,49.5,306,54.6,TRUE,"Elementary School"
"2015-2016",37,67991,6093207,"SAN DIEGO","CAJON VALLEY UNION","MONTGOMERY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",779,600,77,665,85.4,779,600,77,665,85.4,TRUE,"Middle School"
"2015-2016",37,67991,6101794,"SAN DIEGO","CAJON VALLEY UNION","VISTA GRANDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",627,200,31.9,223,35.6,618,195,31.6,218,35.3,TRUE,"Elementary School"
"2015-2016",37,67991,6106025,"SAN DIEGO","CAJON VALLEY UNION","RANCHO SAN DIEGO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",593,205,34.6,231,39,578,199,34.4,223,38.6,TRUE,"Elementary School"
"2015-2016",37,67991,6110787,"SAN DIEGO","CAJON VALLEY UNION","JAMACHA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",516,243,47.1,277,53.7,508,240,47.2,273,53.7,TRUE,"Elementary School"
"2015-2016",37,67991,6112148,"SAN DIEGO","CAJON VALLEY UNION","BLOSSOM VALLEY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","5",548,150,27.4,169,30.8,534,144,27,163,30.5,TRUE,"Elementary School"
"2015-2016",37,67991,6112890,"SAN DIEGO","CAJON VALLEY UNION","HILLSDALE MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"6","8",1515,540,35.6,607,40.1,1515,540,35.6,607,40.1,TRUE,"Middle School"
"2015-2016",37,67991,6117295,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY COMMUNITY DAY","Elementary School District","District Community Day Schools","COMMUNITY DAY SCHOOL","None",FALSE,NA,"",FALSE,"6","8",15,11,73.3,13,86.7,15,11,73.3,13,86.7,TRUE,"Other"
"2015-2016",37,67991,6118319,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY HOME","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE","None",FALSE,NA,"",FALSE,"K","8",26,20,76.9,21,80.8,26,20,76.9,21,80.8,TRUE,"Other"
"2015-2016",37,68007,1,"SAN DIEGO","CARDIFF ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"None",NA,NA,NA,NA,"","",1,0,0,0,0,1,0,0,0,0,TRUE,NA
"2015-2016",37,68007,6037758,"SAN DIEGO","CARDIFF ELEMENTARY","ADA W. HARRIS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"3","6",353,44,12.5,49,13.9,353,44,12.5,49,13.9,TRUE,"Elementary School"
"2015-2016",37,68007,6037766,"SAN DIEGO","CARDIFF ELEMENTARY","CARDIFF ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","3",376,29,7.7,39,10.4,367,28,7.6,38,10.4,TRUE,"Elementary School"
"2015-2016",37,68023,1,"SAN DIEGO","CHULA VISTA ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"None",NA,NA,NA,NA,"","",15,3,20,3,20,15,3,20,3,20,TRUE,NA
"2015-2016",37,68023,101592,"SAN DIEGO","CHULA VISTA ELEMENTARY","HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",1083,166,15.3,241,22.3,1060,165,15.6,239,22.5,TRUE,"Elementary School"
"2015-2016",37,68023,105957,"SAN DIEGO","CHULA VISTA ELEMENTARY","LIBERTY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",738,96,13,133,18,738,96,13,133,18,TRUE,"Elementary School"
"2015-2016",37,68023,105965,"SAN DIEGO","CHULA VISTA ELEMENTARY","SALT CREEK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",995,92,9.2,137,13.8,995,92,9.2,137,13.8,TRUE,"Elementary School"
"2015-2016",37,68023,108662,"SAN DIEGO","CHULA VISTA ELEMENTARY","VETERANS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",910,127,14,191,21,908,127,14,191,21,TRUE,"Elementary School"
"2015-2016",37,68023,114009,"SAN DIEGO","CHULA VISTA ELEMENTARY","WOLF CANYON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",854,91,10.7,152,17.8,853,90,10.6,151,17.7,TRUE,"Elementary School"
"2015-2016",37,68023,119594,"SAN DIEGO","CHULA VISTA ELEMENTARY","LEONARDO DA VINCI HEALTH SCIENCES CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",TRUE,1082,"DIRECTLY FUNDED",TRUE,"K","6",327,154,47.1,179,54.7,327,154,47.1,179,54.7,TRUE,"Elementary School"
"2015-2016",37,68023,124321,"SAN DIEGO","CHULA VISTA ELEMENTARY","HOWARD GARDNER COMMUNITY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",TRUE,1308,"DIRECTLY FUNDED",TRUE,"K","8",204,143,70.1,174,85.3,197,139,70.6,169,85.8,TRUE,"Elementary School"
"2015-2016",37,68023,127431,"SAN DIEGO","CHULA VISTA ELEMENTARY","CAMARENA (ENRIQUE S.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",1063,208,19.6,292,27.5,1037,206,19.9,289,27.9,TRUE,"Elementary School"
"2015-2016",37,68023,6037824,"SAN DIEGO","CHULA VISTA ELEMENTARY","CASTLE PARK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",424,342,80.7,382,90.1,424,342,80.7,382,90.1,TRUE,"Elementary School"
"2015-2016",37,68023,6037832,"SAN DIEGO","CHULA VISTA ELEMENTARY","ALLEN (ELLA B.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",401,101,25.2,156,38.9,401,101,25.2,156,38.9,TRUE,"Elementary School"
"2015-2016",37,68023,6037840,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROHR (FRED H.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",319,194,60.8,244,76.5,319,194,60.8,244,76.5,TRUE,"Elementary School"
"2015-2016",37,68023,6037857,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROGERS (GREG) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",478,207,43.3,284,59.4,478,207,43.3,284,59.4,TRUE,"Elementary School"
"2015-2016",37,68023,6037865,"SAN DIEGO","CHULA VISTA ELEMENTARY","HALECREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",505,178,35.2,241,47.7,494,175,35.4,237,48,TRUE,"Elementary School"
"2015-2016",37,68023,6037873,"SAN DIEGO","CHULA VISTA ELEMENTARY","HARBORSIDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",685,517,75.5,579,84.5,672,507,75.4,569,84.7,TRUE,"Elementary School"
"2015-2016",37,68023,6037881,"SAN DIEGO","CHULA VISTA ELEMENTARY","COOK (HAZEL GOES) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",373,233,62.5,288,77.2,373,233,62.5,288,77.2,TRUE,"Elementary School"
"2015-2016",37,68023,6037899,"SAN DIEGO","CHULA VISTA ELEMENTARY","HILLTOP DRIVE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",563,297,52.8,396,70.3,562,296,52.7,395,70.3,TRUE,"Elementary School"
"2015-2016",37,68023,6037907,"SAN DIEGO","CHULA VISTA ELEMENTARY","LAUDERBACH (J. CALVIN) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",817,602,73.7,695,85.1,806,596,73.9,688,85.4,TRUE,"Elementary School"
"2015-2016",37,68023,6037915,"SAN DIEGO","CHULA VISTA ELEMENTARY","MONTGOMERY (JOHN J.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",334,271,81.1,306,91.6,322,262,81.4,296,91.9,TRUE,"Elementary School"
"2015-2016",37,68023,6037923,"SAN DIEGO","CHULA VISTA ELEMENTARY","KELLOGG (KARL H.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",315,164,52.1,215,68.3,306,163,53.3,214,69.9,TRUE,"Elementary School"
"2015-2016",37,68023,6037931,"SAN DIEGO","CHULA VISTA ELEMENTARY","RICE (LILIAN J.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",686,464,67.6,564,82.2,686,464,67.6,564,82.2,TRUE,"Elementary School"
"2015-2016",37,68023,6037949,"SAN DIEGO","CHULA VISTA ELEMENTARY","LOMA VERDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",475,294,61.9,387,81.5,454,283,62.3,374,82.4,TRUE,"Elementary School"
"2015-2016",37,68023,6037956,"SAN DIEGO","CHULA VISTA ELEMENTARY","FEASTER (MAE L.) CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",TRUE,121,"DIRECTLY FUNDED",FALSE,"K","8",1223,910,74.4,1057,86.4,1198,895,74.7,1038,86.6,TRUE,"Elementary School"
"2015-2016",37,68023,6037964,"SAN DIEGO","CHULA VISTA ELEMENTARY","FINNEY (MYRTLE S.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",401,187,46.6,279,69.6,400,187,46.8,279,69.8,TRUE,"Elementary School"
"2015-2016",37,68023,6037972,"SAN DIEGO","CHULA VISTA ELEMENTARY","PALOMAR ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",388,230,59.3,291,75,380,227,59.7,286,75.3,TRUE,"Elementary School"
"2015-2016",37,68023,6037980,"SAN DIEGO","CHULA VISTA ELEMENTARY","MUELLER CHARTER (ROBERT L.)","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",TRUE,64,"DIRECTLY FUNDED",FALSE,"K","10",1297,883,68.1,1092,84.2,1277,871,68.2,1077,84.3,TRUE,"Elementary School"
"2015-2016",37,68023,6037998,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROSEBANK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",595,340,57.1,432,72.6,595,340,57.1,432,72.6,TRUE,"Elementary School"
"2015-2016",37,68023,6038004,"SAN DIEGO","CHULA VISTA ELEMENTARY","SILVER WING ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",447,279,62.4,362,81,447,279,62.4,362,81,TRUE,"Elementary School"
"2015-2016",37,68023,6038012,"SAN DIEGO","CHULA VISTA ELEMENTARY","SUNNYSIDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",454,136,30,167,36.8,433,131,30.3,162,37.4,TRUE,"Elementary School"
"2015-2016",37,68023,6038020,"SAN DIEGO","CHULA VISTA ELEMENTARY","VALLE LINDO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",522,208,39.8,299,57.3,520,208,40,299,57.5,TRUE,"Elementary School"
"2015-2016",37,68023,6038038,"SAN DIEGO","CHULA VISTA ELEMENTARY","VALLEY VISTA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",587,197,33.6,290,49.4,587,197,33.6,290,49.4,TRUE,"Elementary School"
"2015-2016",37,68023,6038046,"SAN DIEGO","CHULA VISTA ELEMENTARY","VISTA SQUARE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",637,461,72.4,540,84.8,623,451,72.4,530,85.1,TRUE,"Elementary School"
"2015-2016",37,68023,6066971,"SAN DIEGO","CHULA VISTA ELEMENTARY","PARKVIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","None",FALSE,NA,"",FALSE,"K","6",378,137,36.2,188,49.7,366,134,36.6,183,50,TRUE,"Elementary School"
"2015-2016",37,68023,6069090,"SAN DIEGO","CHULA VISTA ELEMENTARY","JUAREZ-LINCOLN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",565,306,54.2,395,69.9,565,306,54.2,395,69.9,TRUE,"Elementary School"
