"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"FLETCHER HILLS ELEMENTARY","NSLP_LUNCH","17",1141,441,1765,3347
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"FLETCHER HILLS ELEMENTARY","NSLP_LUNCH","19",1418,575,2403,4396
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"FLETCHER HILLS ELEMENTARY","NSLP_LUNCH","13",903,344,1680,2927
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"HIGHLANDS ELEMENTARY","NSLP_LUNCH","17",3701,855,429,4985
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"HIGHLANDS ELEMENTARY","NSLP_LUNCH","19",4458,1021,574,6053
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"HIGHLANDS ELEMENTARY","NSLP_LUNCH","13",3195,682,433,4310
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"KEMPTON STREET LITERACY ACADEMY","NSLP_LUNCH","17",3969,1001,421,5391
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"KEMPTON STREET LITERACY ACADEMY","NSLP_LUNCH","19",4797,1206,326,6329
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"KEMPTON STREET LITERACY ACADEMY","NSLP_LUNCH","13",3407,825,195,4427
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA MESA ARTS ACADEMY","NSLP_LUNCH","17",2617,1088,1680,5385
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA MESA ARTS ACADEMY","NSLP_LUNCH","19",3160,1213,2338,6711
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA MESA ARTS ACADEMY","NSLP_LUNCH","13",2113,756,1696,4565
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA MESA DALE ELEMENTARY","NSLP_LUNCH","17",2873,986,658,4517
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA MESA DALE ELEMENTARY","NSLP_LUNCH","19",3508,1278,716,5502
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA MESA DALE ELEMENTARY","NSLP_LUNCH","13",2452,903,495,3850
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA PRESA ELEMENTARY","NSLP_LUNCH","17",3925,766,462,5153
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA PRESA ELEMENTARY","NSLP_LUNCH","19",4767,1060,493,6320
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LA PRESA ELEMENTARY","NSLP_LUNCH","13",3294,733,327,4354
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LEMON AVENUE ELEMENTARY","NSLP_LUNCH","17",1596,488,987,3071
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LEMON AVENUE ELEMENTARY","NSLP_LUNCH","19",2101,637,1532,4270
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LEMON AVENUE ELEMENTARY","NSLP_LUNCH","13",1385,375,1164,2924
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LOMA ELEMENTARY","NSLP_LUNCH","17",2391,530,547,3468
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LOMA ELEMENTARY","NSLP_LUNCH","19",3044,660,561,4265
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"LOMA ELEMENTARY","NSLP_LUNCH","13",2144,436,411,2991
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MARYLAND AVENUE ELEMENTARY","NSLP_LUNCH","17",1610,318,1095,3023
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MARYLAND AVENUE ELEMENTARY","NSLP_LUNCH","19",1980,544,1441,3965
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MARYLAND AVENUE ELEMENTARY","NSLP_LUNCH","13",1329,431,1025,2785
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MURDOCK ELEMENTARY","NSLP_LUNCH","17",1709,359,1301,3369
2018-09-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MURDOCK ELEMENTARY","NSLP_LUNCH","19",2073,563,1880,4516
2018-10-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MURDOCK ELEMENTARY","NSLP_LUNCH","13",1460,397,1323,3180
2018-08-01,"2018-2019","NSLP",NA,"SAN DIEGO","LA MESA-SPRING VALLEY",NA,"MURRAY MANOR ELEMENTARY","NSLP_LUNCH","17",1875,428,804,3107
