"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MARSHALL MIDDLE","NSLP_LUNCH",15,830,356,2344,3530
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MARSTON MIDDLE","NSLP_BREAKFAST_SEVERENEED",15,1575,363,132,2070
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MARSTON MIDDLE","NSLP_LUNCH",15,2955,834,612,4401
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MARVIN ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",15,248,55,104,407
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MARVIN ELEMENTARY","NSLP_LUNCH",15,776,409,881,2066
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MASON ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",15,757,649,440,1846
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MASON ELEMENTARY","NSLP_LUNCH",15,3216,1856,2591,7663
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MCGILL SCHOOL OF SUCCESS","NSLP_BREAKFAST_SEVERENEED",15,909,7,0,916
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MCGILL SCHOOL OF SUCCESS","NSLP_LUNCH",15,1093,781,94,1968
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MCKINLEY ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",15,840,243,500,1583
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MCKINLEY ELEMENTARY","NSLP_LUNCH",15,1921,609,1475,4005
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MEMORIAL SCHOLARS & ATHLETES","NSLP_BREAKFAST_SEVERENEED",16,2990,44,580,3614
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MEMORIAL SCHOLARS & ATHLETES","NSLP_LUNCH",15,4400,116,688,5204
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MID CITY 1 AND 2-ANNEX","NSLP_LUNCH",11,300,0,0,300
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MILLENNIAL TECH MIDDLE","NSLP_BREAKFAST_SEVERENEED",15,1540,274,44,1858
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MILLENNIAL TECH MIDDLE","NSLP_LUNCH",15,4262,674,234,5170
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MILLER ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",15,841,1276,340,2457
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MILLER ELEMENTARY","NSLP_LUNCH",15,2108,3070,1276,6454
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MIRA MESA HIGH","NSLP_BREAKFAST_SEVERENEED",17,1427,450,174,2051
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MIRA MESA HIGH","NSLP_LUNCH",15,6897,3334,3210,13441
2013-11-01,"2013-2014","NSLP",2014,"SAN DIEGO","SAN DIEGO UNIFIED",NA,"MIRAMAR RANCH ELEMENTARY","NSLP_BREAKFAST",15,318,161,292,771
