County,Claim Month/ Year,ProgramCode,Year,Name,Meal Group,Days Served,Free Eligible,Reduced Eligible,Paid Eligible,Enroll,Free Meals,Reduced Meals,Paid Meals,Total Meals,Average Daily Meals
SAN DIEGO,Oct 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,22,145,0,26,171,1097,0,197,1294,58.8182
SAN DIEGO,Oct 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,22,145,0,26,171,1332,0,239,1571,71.4091
SAN DIEGO,Oct 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,22,145,0,26,171,159,0,29,188,8.5455
SAN DIEGO,Nov 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,19,145,0,26,171,1017,0,182,1199,63.1053
SAN DIEGO,Nov 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,19,145,0,26,171,1225,0,219,1444,76
SAN DIEGO,Nov 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,19,145,0,26,171,153,0,28,181,9.5263
SAN DIEGO,Dec 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,20,145,0,26,171,1018,0,183,1201,60.05
SAN DIEGO,Dec 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,20,145,0,26,171,1251,0,224,1475,73.75
SAN DIEGO,Dec 2015,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,20,145,0,26,171,162,0,29,191,9.55
SAN DIEGO,Jan 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,20,145,0,26,171,985,0,177,1162,58.1
SAN DIEGO,Jan 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,20,145,0,26,171,1197,0,214,1411,70.55
SAN DIEGO,Jan 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,20,145,0,26,171,176,0,32,208,10.4
SAN DIEGO,Feb 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,21,145,0,26,171,1102,0,198,1300,61.9048
SAN DIEGO,Feb 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,21,145,0,26,171,1315,0,236,1551,73.8571
SAN DIEGO,Feb 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,21,145,0,26,171,163,0,29,192,9.1429
SAN DIEGO,Mar 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,23,145,0,26,171,1159,0,208,1367,59.4348
SAN DIEGO,Mar 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,23,145,0,26,171,1417,0,254,1671,72.6522
