site_id,new_id,sitename,district
3233,1006,RANCHO DEL REY MIDDLE,SWEETWATER UNION HIGH
3237,1007,RANCHO ELEMENTARY,LA MESA-SPRING VALLEY
3241,1008,RANCHO MINERVA MIDDLE,VISTA UNIFIED
3245,1009,RANCHO SAN DIEGO ELEMENTARY,CAJON VALLEY UNION
3249,1010,REACH ACADEMY,GROSSMONT UNION HIGH
3261,1011,REDDING (RAY) HIGH (CONTINUATION),JULIAN UNION HIGH
4681,1012,REFLECTIONS,
3253,1013,REFLECTIONS CENTRAL SCHOOL,
3257,1014,REFLECTIONS NORTH,
3265,1015,REIDY CREEK ELEMENTARY,ESCONDIDO UNION
4325,1016,RENETTE PARK COMMUNITY CENTER,
3269,1017,REYNOLDS ELEMENTARY,OCEANSIDE UNIFIED
3273,1018,RICE (LILIAN J.) ELEMENTARY,CHULA VISTA ELEMENTARY
3277,1019,RICHLAND ELEMENTARY,SAN MARCOS UNIFIED
3281,1020,RILEY/NEW DAWN,SAN DIEGO UNIFIED
4461,1021,RINCON BALL FIELDS,
3285,1022,RINCON MIDDLE,ESCONDIDO UNION
3289,1023,RIO SECO ELEMENTARY,SANTEE
3293,1024,RIOS ELEMENTARY,CAJON VALLEY UNION
3297,1025,RIVER VALLEY CHARTER,LAKESIDE UNION ELEMENTARY
3301,1026,RIVERVIEW ELEMENTARY,LAKESIDE UNION ELEMENTARY
5085,1027,ROBERT EGGER SR. SOUTH BAY RECREATION CENTER,
3305,1028,ROCK SPRINGS ELEMENTARY,ESCONDIDO UNION
3309,1029,RODRIGUEZ ELEMENTARY,SAN DIEGO UNIFIED
3313,1030,ROGERS (GREG) ELEMENTARY,CHULA VISTA ELEMENTARY
3317,1031,ROHR (FRED H.) ELEMENTARY,CHULA VISTA ELEMENTARY
3321,1032,ROLANDO ELEMENTARY,LA MESA-SPRING VALLEY
3325,1033,ROLANDO PARK ELEMENTARY,SAN DIEGO UNIFIED
3329,1034,ROLLING HILLS ELEMENTARY,POWAY UNIFIED
4305,1035,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),
3333,1036,ROOSEVELT INTERNATIONAL MIDDLE,SAN DIEGO UNIFIED
3337,1037,ROOSEVELT MIDDLE,VISTA UNIFIED
5013,1038,ROOSEVELT MIDDLE SUMMER,
3341,1039,ROSA PARKS ELEMENTARY,SAN DIEGO UNIFIED
3345,1040,ROSE ELEMENTARY,ESCONDIDO UNION
3349,1041,ROSE PRESCHOOL,
3353,1042,ROSEBANK ELEMENTARY,CHULA VISTA ELEMENTARY
3357,1043,ROSS ELEMENTARY,SAN DIEGO UNIFIED
3361,1044,ROWAN CDC,
3365,1045,ROWAN ELEMENTARY,SAN DIEGO UNIFIED
3369,1046,S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN,
3373,1047,SAGE CANYON,DEL MAR UNION ELEMENTARY
3377,1048,SAGE CREEK HIGH,CARLSBAD UNIFIED
3381,1049,SAILS,
3385,1050,SALT CREEK ELEMENTARY,CHULA VISTA ELEMENTARY
4833,1051,SALVATION ARMY KROC CENTER,
3393,1052,SAM AND ROSE STEIN EDUCATION CENTER,
3397,1053,SAM AND ROSE STEIN EDUCATION CENTER-DECENA SITE,
3389,1054,SAN ALTOS ELEMENTARY,LEMON GROVE
5321,1055,SAN DIEGO ADULT,SAN DIEGO UNIFIED
3401,1056,SAN DIEGO BUSINESS/LEADERSHIP,SAN DIEGO UNIFIED
3449,1057,SAN DIEGO CENTER FOR CHILDREN,
5325,1058,SAN DIEGO CONTINUING EDUCATION,SAN DIEGO COMMUNITY COLLEGE
3405,1059,SAN DIEGO COOPERATIVE CHARTER,SAN DIEGO UNIFIED
3409,1060,SAN DIEGO COOPERATIVE CHARTER SCHOOL 2,SAN DIEGO UNIFIED
3413,1061,SAN DIEGO COUNTY COMMUNITY,SAN DIEGO COUNTY OFFICE OF EDUCATION
3417,1062,SAN DIEGO COUNTY COURT,SAN DIEGO COUNTY OFFICE OF EDUCATION
5329,1063,SAN DIEGO COUNTY ROP,SAN DIEGO COUNTY ROP
3421,1064,SAN DIEGO COUNTY SPECIAL EDUCATION,SAN DIEGO COUNTY OFFICE OF EDUCATION
3425,1065,SAN DIEGO EARLY/MIDDLE COLLEGE,SAN DIEGO UNIFIED
3429,1066,SAN DIEGO GLOBAL VISION ACADEMY,SAN DIEGO UNIFIED
3433,1067,SAN DIEGO GLOBAL VISION ACADEMY MIDDLE,SAN DIEGO UNIFIED
3437,1068,SAN DIEGO INTERNATIONAL STUDIES,SAN DIEGO UNIFIED
3441,1069,SAN DIEGO METRO CAREER AND TECH,SAN DIEGO UNIFIED
5333,1070,SAN DIEGO MISSION ACADEMY,WARNER UNIFIED
3445,1071,SAN DIEGO MVP ARTS,SAN DIEGO UNIFIED
3457,1072,SAN DIEGO NEIGHBORHOOD HOMESCHOOLS,MOUNTAIN EMPIRE UNIFIED
3461,1073,SAN DIEGO SCIENCE AND TECHNOLOGY,SAN DIEGO UNIFIED
3465,1074,SAN DIEGO SCPA,SAN DIEGO UNIFIED
3469,1075,SAN DIEGO VIRTUAL,MOUNTAIN EMPIRE UNIFIED
3473,1076,SAN DIEGO WORKFORCE INNOVATION HIGH,BORREGO SPRINGS UNIFIED
3453,1077,SAN DIEGO YOUTH AQUATIC CENTER,
4685,1078,SAN DIEGO YOUTH SERVICES,
5337,1079,SAN DIEGUITO ADULT HIGH,SAN DIEGUITO UNION HIGH
3477,1080,SAN DIEGUITO HIGH ACADEMY,SAN DIEGUITO UNION HIGH
5341,1081,SAN DIEGUITO HS ACADEMY,SAN DIEGUITO UNION HIGH
3481,1082,SAN ELIJO ELEMENTARY,SAN MARCOS UNIFIED
3485,1083,SAN ELIJO MIDDLE,SAN MARCOS UNIFIED
3489,1084,SAN JOSE VALLEY CONTINUATION HIGH,WARNER UNIFIED
3493,1085,SAN LUIS REY ELEMENTARY,OCEANSIDE UNIFIED
5345,1086,SAN MARCOS ADULT,SAN MARCOS UNIFIED
3497,1087,SAN MARCOS ELEMENTARY,SAN MARCOS UNIFIED
3501,1088,SAN MARCOS HIGH,SAN MARCOS UNIFIED
3505,1089,SAN MARCOS MIDDLE,SAN MARCOS UNIFIED
3509,1090,SAN MIGUEL ELEMENTARY,LEMON GROVE
3513,1091,SAN ONOFRE ELEMENTARY,FALLBROOK UNION ELEMENTARY
3517,1092,SAN PASQUAL ACADEMY,SAN DIEGO COUNTY OFFICE OF EDUCATION
4465,1093,SAN PASQUAL BALLFIELDS,
3521,1094,SAN PASQUAL HIGH,ESCONDIDO UNION HIGH
3525,1095,SAN PASQUAL UNION ELEMENTARY,SAN PASQUAL UNION ELEMENTARY
3529,1096,SAN YSIDRO ADULT EDUCATION CENTER,
5089,1097,SAN YSIDRO COMMUNITY ACTIVITY CENTER,
3533,1098,SAN YSIDRO HIGH,SWEETWATER UNION HIGH
3537,1099,SAN YSIDRO MIDDLE,SAN YSIDRO ELEMENTARY
3541,1100,SANDBURG ELEMENTARY,SAN DIEGO UNIFIED
3545,1101,SANTA MARGARITA ACADEMY,FALLBROOK UNION ELEMENTARY
3549,1102,SANTA MARGARITA ELEMENTARY,OCEANSIDE UNIFIED
5349,1103,SANTA ROSA COMMUNITY DAY,BORREGO SPRINGS UNIFIED
4469,1104,SANTA YSABEL BALL FIELDS,
5353,1105,SANTANA ADULT CENTER,GROSSMONT UNION HIGH
3553,1106,SANTANA HIGH,GROSSMONT UNION HIGH
3557,1107,SANTEE ALTERNATIVE,SANTEE
4521,1108,SANTEE ASES PROGRAM,
4525,1109,SANTEE RECREATION CENTER,
3561,1110,SANTEE SUCCESS PROGRAM,SANTEE
3565,1111,SCHOLARSHIP PREP - OCEANSIDE,SAN DIEGO COUNTY OFFICE OF EDUCATION
3569,1112,SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY,SAN DIEGO UNIFIED
3573,1113,SCHOOL OF UNIVERSAL LEARNING (SOUL),SAN DIEGO COUNTY OFFICE OF EDUCATION
3577,1114,"SCIENCE, TECHNOLOGY, ENGINEERING, ARTS, AND MATH ACADEMY AT LA PRESA",LA MESA-SPRING VALLEY
3581,1115,SCRIPPS ELEMENTARY,SAN DIEGO UNIFIED
3585,1116,SCRIPPS RANCH HIGH,SAN DIEGO UNIFIED
3597,1117,SD GLOBAL VISION ACADEMY,SAN DIEGO UNIFIED
3589,1118,SDCOE SUMMIT,
4845,1119,SDSU UPWARD BOUND,
4849,1120,SDSU UPWARD BOUND STAR,
3593,1121,SECOND CHANCE INDEPENDENT STUDY,
3601,1122,SEQUOIA ELEMENTARY,SAN DIEGO UNIFIED
3605,1123,SERRA HIGH,SAN DIEGO UNIFIED
5017,1124,SERRA MESA PARK & REC,
3609,1125,SESSIONS ELEMENTARY,SAN DIEGO UNIFIED
3613,1126,SEVICK SPECIAL EDUCATION,
3617,1127,SHADOW HILLS ELEMENTARY,ALPINE UNION ELEMENTARY
3621,1128,SHERMAN ELEMENTARY,SAN DIEGO UNIFIED
5021,1129,SHERMAN HEIGHTS COMMUNITY CENTER,
3625,1130,SHOAL CREEK ELEMENTARY,POWAY UNIFIED
3629,1131,SIATECH,VISTA UNIFIED
