site_id,new_id,sitename,district
4173,1306,WARNER JUNIOR/SENIOR HIGH,WARNER UNIFIED
4177,1307,WASHINGTON ELEMENTARY,SAN DIEGO UNIFIED
4365,1308,WASHINGTON PARK CENTER,
5053,1309,WATERFRONT,
4181,1310,WEBSTER ELEMENTARY,SAN DIEGO UNIFIED
4185,1311,WEGEFORTH CDC,
4189,1312,WEGEFORTH ELEMENTARY,SAN DIEGO UNIFIED
4197,1313,WEST HILLS HIGH,GROSSMONT UNION HIGH
4193,1314,WEST VIEW EARLY LEARNING CENTER,
4369,1315,WESTSIDE PARK,
4201,1316,WESTVIEW HIGH,POWAY UNIFIED
4205,1317,WESTWOOD ELEMENTARY,POWAY UNIFIED
4209,1318,WHITMAN ELEMENTARY,SAN DIEGO UNIFIED
4213,1319,WHITTIER K-12,SAN DIEGO UNIFIED
4717,1320,WIC NATIONAL CITY,
4217,1321,WILLIAM H. FRAZIER ELEMENTARY,FALLBROOK UNION ELEMENTARY
4313,1322,WILLIAM J OAKES BRANCH,
5057,1323,WILLIE HENDERSON SPORTS COMPLEX,
4221,1324,WILLOW ELEMENTARY,SAN YSIDRO ELEMENTARY
4225,1325,WILLOW GROVE ELEMENTARY,POWAY UNIFIED
4229,1326,WILSON MIDDLE,SAN DIEGO UNIFIED
4233,1327,WINTER GARDENS ELEMENTARY,LAKESIDE UNION ELEMENTARY
4237,1328,WOLF CANYON ELEMENTARY,CHULA VISTA ELEMENTARY
4533,1329,WOODGLEN VISTA APARTMENTS,
4241,1330,WOODLAND PARK MIDDLE,SAN MARCOS UNIFIED
4245,1331,WOODMAN-ANNEX,
4249,1332,WORTHINGTON SCHOOL,
4537,1333,YMCA - LA MESA,
4541,1334,YMCA - MCGRATH,
4545,1335,YMCA - SANTEE,
4721,1336,YMCA EARLY ENRICHMENT CENTER,
4373,1337,YMCA ESCONDIDO,
4725,1338,YMCA LEADERSHIP ACADEMY,
4253,1339,YOUTH DAY CENTER,
4257,1340,ZAMORANO ELEMENTARY,SAN DIEGO UNIFIED
,1341,CALIFORNIA PACIFIC CHARTER SCHOOL OF CENTRAL CALIFORNIA,
,1342,VISTA ADULT,
