siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
1013,2017-2018,EAST HILLS ACADEMY,SWEETWATER UNION HIGH,Special Education Schools (Public),,,,,FALSE,7,12,80,42,55,55,28,36,TRUE,Other,High School District,SPECIAL EDUCATION SCHOOL,68411,115873
361,2017-2018,BREEZE HILL ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,790,396,443,752,385,426,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6110399
953,2017-2018,DISCOVERY ELEMENTARY,SAN MARCOS UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,652,182,196,644,180,194,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,6114169
1613,2017-2018,HOWARD PENCE ELEMENTARY,SOUTH BAY UNION,Elementary Schools (Public),Provision 2,,,,FALSE,K,6,696,497,570,686,491,563,TRUE,Elementary School,Elementary School District,TRADITIONAL,68395,6094973
2921,2017-2018,OLIVE ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,348,283,312,348,283,312,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6040646
3501,2017-2018,SAN MARCOS HIGH,SAN MARCOS UNIFIED,High Schools (Public),,,,,FALSE,9,12,3338,994,1152,3273,974,1126,TRUE,High School,Unified School District,TRADITIONAL,73791,3737632
3973,2014-2015,TWIN OAKS ELEMENTARY,SAN MARCOS UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,658,289,354,639,284,349,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,6115349
2093,2015-2016,LEXINGTON ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,791,724,760,781,716,751,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037683
125,2015-2016,ARROYO VISTA CHARTER,CHULA VISTA ELEMENTARY,Elementary Schools (Public),None,TRUE,483,DIRECTLY FUNDED,FALSE,K,8,995,110,153,970,107,149,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6116859
877,2015-2016,DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,ESCONDIDO UNION HIGH,High Schools (Public),None,FALSE,,,FALSE,9,12,682,247,365,676,246,362,TRUE,High School,High School District,TRADITIONAL,68106,127241
213,2015-2016,BARONA INDIAN CHARTER,LAKESIDE UNION ELEMENTARY,K-12 Schools (Public),None,TRUE,469,DIRECTLY FUNDED,FALSE,K,8,95,13,22,95,13,22,TRUE,Elementary School,Elementary School District,TRADITIONAL,68189,6120901
2753,2015-2016,"NONPUBLIC, NONSECTARIAN SCHOOLS",POWAY UNIFIED,,None,,,,,,,73,5,6,60,4,5,TRUE,,Unified School District,,68296,1
