siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
481,2014-2015,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,3,361,36,40,346,36,39,TRUE,Elementary School,Elementary School District,TRADITIONAL,68007,6037766
3841,2014-2015,SYCAMORE RIDGE,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,500,26,47,499,26,47,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,110114
1173,2014-2015,FALLBROOK HIGH,FALLBROOK UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,2183,1062,1246,2032,969,1145,TRUE,High School,High School District,TRADITIONAL,68122,3732179
2009,2014-2015,LA PRESA MIDDLE,LA MESA-SPRING VALLEY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,530,372,450,530,372,450,TRUE,Middle School,Elementary School District,TRADITIONAL,68197,6067003
297,2014-2015,BLACK MOUNTAIN MIDDLE,POWAY UNIFIED,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,1275,210,294,1275,210,294,TRUE,Middle School,Unified School District,TRADITIONAL,68296,6093223
93,2014-2015,ALPINE ELEMENTARY,ALPINE UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,1,5,384,111,149,384,111,149,TRUE,Elementary School,Elementary School District,TRADITIONAL,67967,6037519
1873,2014-2015,KELLOGG (KARL H.) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,306,161,223,296,156,217,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037923
1193,2014-2015,FARR AVENUE ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,691,585,646,677,573,633,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,102608
2869,2014-2015,OAK GROVE MIDDLE,JAMUL-DULZURA UNION ELEMENTARY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,216,52,66,216,52,66,TRUE,Middle School,Elementary School District,TRADITIONAL,68155,6097182
21,2014-2015,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),MOUNTAIN EMPIRE UNIFIED,K-12 Schools (Public),,TRUE,1454,DIRECTLY FUNDED,TRUE,6,12,172,45,59,160,45,58,TRUE,Elementary School,Unified School District,TRADITIONAL,68213,127084
3209,2014-2015,RAMONA COMMUNITY MONTESSORI,RAMONA CITY UNIFIED,Alternative Schools of Choice,,FALSE,,,FALSE,K,6,241,67,102,240,67,102,TRUE,Other,Unified School District,ALTERNATIVE SCHOOL OF CHOICE,68304,131268
609,2014-2015,CHASE AVENUE ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,755,630,678,743,621,669,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037592
705,2014-2015,CLEAR VIEW,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,500,120,185,485,120,183,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6109771
1941,2014-2015,L. R. GREEN ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,682,154,188,672,153,186,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6107882
3301,2014-2015,RIVERVIEW ELEMENTARY,LAKESIDE UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,1,5,577,96,134,577,96,134,TRUE,Elementary School,Elementary School District,TRADITIONAL,68189,6038384
3229,2014-2015,RANCHO DE LA NACION,NATIONAL ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,464,341,386,455,337,381,TRUE,Elementary School,Elementary School District,TRADITIONAL,68221,6108559
1865,2014-2015,KEARNY SCT,SAN DIEGO UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,345,181,237,336,178,233,TRUE,High School,Unified School District,TRADITIONAL,68338,107086
1273,2014-2015,FUERTE ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,601,110,140,591,108,138,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037642
653,2014-2015,CHULA VISTA LEARNING COMMUNITY CHARTER,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,TRUE,135,DIRECTLY FUNDED,FALSE,K,11,1325,570,879,1309,561,869,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6115778
2769,2014-2015,"NONPUBLIC, NONSECTARIAN SCHOOLS",ESCONDIDO UNION HIGH,,,,,,,,,10,2,2,9,2,2,TRUE,,High School District,,68106,1
213,2014-2015,BARONA INDIAN CHARTER,LAKESIDE UNION ELEMENTARY,K-12 Schools (Public),,TRUE,469,DIRECTLY FUNDED,FALSE,K,8,105,19,38,104,19,38,TRUE,Elementary School,Elementary School District,TRADITIONAL,68189,6120901
2881,2014-2015,OAK VALLEY MIDDLE,POWAY UNIFIED,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,1361,94,137,1361,94,137,TRUE,Middle School,Unified School District,TRADITIONAL,68296,108332
3461,2014-2015,SAN DIEGO SCIENCE AND TECHNOLOGY,SAN DIEGO UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,567,376,450,550,363,435,TRUE,High School,Unified School District,TRADITIONAL,68338,107219
2837,2014-2015,NORTH COASTAL CONSORTIUM SCHOOLS,SAN DIEGO COUNTY OFFICE OF EDUCATION,Special Education Schools (Public),,FALSE,,,FALSE,P,12,87,38,42,79,35,39,TRUE,Other,County Office of Education (COE),SPECIAL EDUCATION SCHOOL,10371,1996545
769,2014-2015,COOK (HAZEL GOES) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,355,200,281,355,200,281,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037881
2929,2014-2015,OLIVENHAIN PIONEER ELEMENTARY,ENCINITAS UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,667,13,15,644,13,15,TRUE,Elementary School,Elementary School District,TRADITIONAL,68080,6112445
2453,2014-2015,MONTE VISTA HIGH,GROSSMONT UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,1657,821,1243,1525,758,1139,TRUE,High School,High School District,TRADITIONAL,68130,3734548
3125,2014-2015,PINE VALLEY MIDDLE,MOUNTAIN EMPIRE UNIFIED,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,61,26,33,61,26,33,TRUE,Middle School,Unified School District,TRADITIONAL,68213,127001
813,2014-2015,CREEKSIDE ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,573,27,44,561,26,43,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6117469
1049,2014-2015,EJE MIDDLE ACADEMY,CAJON VALLEY UNION,Intermediate/Middle Schools (Public),,TRUE,1063,DIRECTLY FUNDED,TRUE,6,8,171,113,140,171,113,140,TRUE,Middle School,Elementary School District,TRADITIONAL,67991,119255
3937,2014-2015,TIFFANY (BURTON C.) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,568,139,199,568,139,199,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6095020
2389,2014-2015,MILLER ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,481,170,221,473,168,219,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6066997
2021,2014-2015,LAKESIDE FARMS ELEMENTARY,LAKESIDE UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,5,666,187,277,666,187,277,TRUE,Elementary School,Elementary School District,TRADITIONAL,68189,6038343
2037,2014-2015,LAS PALMAS,NATIONAL ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,689,443,500,679,438,494,TRUE,Elementary School,Elementary School District,TRADITIONAL,68221,6038780
3437,2014-2015,SAN DIEGO INTERNATIONAL STUDIES,SAN DIEGO UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,832,290,412,827,289,411,TRUE,High School,Unified School District,TRADITIONAL,68338,107029
4117,2014-2015,VISTA GRANDE ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,590,131,182,582,129,180,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6101794
921,2014-2015,DIEGO HILLS CHARTER,DEHESA ELEMENTARY,K-12 Schools (Public),,TRUE,1088,DIRECTLY FUNDED,TRUE,K,12,874,605,723,484,323,394,TRUE,Elementary School,Elementary School District,TRADITIONAL,68049,119990
1705,2014-2015,JAMES E. POTTER INTERMEDIATE,FALLBROOK UNION ELEMENTARY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,776,431,508,776,431,508,TRUE,Middle School,Elementary School District,TRADITIONAL,68114,6038277
2069,2014-2015,LEMON AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,656,161,220,639,158,215,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6038517
2341,2014-2015,MEADOWBROOK MIDDLE,POWAY UNIFIED,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,1343,235,319,1343,235,319,TRUE,Middle School,Unified School District,TRADITIONAL,68296,6038988
2801,2014-2015,NORMAL HEIGHTS ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,316,248,294,305,239,284,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,111864
1557,2014-2015,HILLSDALE MIDDLE,CAJON VALLEY UNION,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,1502,442,544,1502,442,544,TRUE,Middle School,Elementary School District,TRADITIONAL,67991,6112890
2501,2014-2015,MOSAICA ONLINE ACADEMY OF SOUTHERN CALIFORNIA,DEHESA ELEMENTARY,K-12 Schools (Public),,TRUE,1693,DIRECTLY FUNDED,TRUE,K,12,33,17,21,33,17,21,TRUE,Elementary School,Elementary School District,TRADITIONAL,68049,131169
1673,2014-2015,IOWA STREET,FALLBROOK UNION ELEMENTARY,Alternative Schools of Choice,,FALSE,,,FALSE,K,8,136,21,25,136,21,25,TRUE,Other,Elementary School District,ALTERNATIVE SCHOOL OF CHOICE,68114,6096911
3085,2014-2015,PARKWAY MIDDLE,LA MESA-SPRING VALLEY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,737,217,288,737,217,288,TRUE,Middle School,Elementary School District,TRADITIONAL,68197,6038558
2217,2014-2015,LOS PENASQUITOS ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,539,170,227,529,164,220,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6070841
1633,2014-2015,IHIGH VIRTUAL ACADEMY,SAN DIEGO UNIFIED,Alternative Schools of Choice,,FALSE,,,FALSE,9,12,40,10,14,38,9,12,TRUE,Other,Unified School District,ALTERNATIVE SCHOOL OF CHOICE,68338,120410
829,2014-2015,CUBBERLEY ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,165,59,85,161,57,83,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039432
4177,2014-2015,WASHINGTON ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,329,198,251,322,195,247,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040265
2861,2014-2015,OAK CREST MIDDLE,SAN DIEGUITO UNION HIGH,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,852,98,124,852,98,124,TRUE,Middle School,High School District,TRADITIONAL,68346,6059737
2277,2014-2015,MAR VISTA SENIOR HIGH,SWEETWATER UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,1685,932,1118,1604,874,1056,TRUE,High School,High School District,TRADITIONAL,68411,3733953
1877,2014-2015,KELLY ELEMENTARY,CARLSBAD UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,423,30,43,402,30,43,TRUE,Elementary School,Unified School District,TRADITIONAL,73551,6099352
2917,2014-2015,OLD TOWN ACADEMY K-8 CHARTER,SAN DIEGO UNIFIED,Elementary Schools (Public),,TRUE,1279,DIRECTLY FUNDED,FALSE,K,8,251,12,15,251,12,15,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,123778
1037,2014-2015,EDISON ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,575,503,558,566,497,550,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039499
4209,2014-2015,WHITMAN ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,6,265,154,194,257,149,188,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040307
3525,2014-2015,SAN PASQUAL UNION ELEMENTARY,SAN PASQUAL UNION ELEMENTARY,Elemen Schools In 1 School Dist. (Public),,FALSE,,,FALSE,K,8,553,85,101,549,83,99,TRUE,Elementary School,Elementary School District,TRADITIONAL,68353,6040331
545,2014-2015,CASTLE PARK MIDDLE,SWEETWATER UNION HIGH,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,879,627,764,879,627,764,TRUE,Middle School,High School District,TRADITIONAL,68411,6059752
161,2014-2015,AVIARA OAKS MIDDLE,CARLSBAD UNIFIED,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,1093,128,163,1093,128,163,TRUE,Middle School,Unified School District,TRADITIONAL,73551,6118137
3961,2014-2015,TRACE,SAN DIEGO UNIFIED,Special Education Schools (Public),,FALSE,,,FALSE,9,12,485,249,302,7,3,4,TRUE,Other,Unified School District,SPECIAL EDUCATION SCHOOL,68338,3731056
1777,2014-2015,JONES ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,363,96,153,353,91,146,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039796
1405,2014-2015,HANCOCK ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,663,205,480,643,199,468,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6096051
3653,2014-2015,SOLANA HIGHLANDS ELEMENTARY,SOLANA BEACH ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,3,341,2,4,326,2,4,TRUE,Elementary School,Elementary School District,TRADITIONAL,68387,6106140
1385,2014-2015,GUAJOME LEARNING CENTER,VISTA UNIFIED,K-12 Schools (Public),,TRUE,1351,DIRECTLY FUNDED,TRUE,K,12,93,15,18,85,13,16,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,124917
1681,2014-2015,IVEY RANCH ELEMENTARY,OCEANSIDE UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,775,154,234,775,154,234,TRUE,Elementary School,Unified School District,TRADITIONAL,73569,6109995
3417,2015-2016,SAN DIEGO COUNTY COURT,SAN DIEGO COUNTY OFFICE OF EDUCATION,Juvenile Court Schools,None,FALSE,,,FALSE,K,12,546,546,546,485,485,485,TRUE,Other,County Office of Education (COE),JUVENILE COURT SCHOOL,10371,128538
769,2015-2016,COOK (HAZEL GOES) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,373,233,288,373,233,288,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037881
2929,2015-2016,OLIVENHAIN PIONEER ELEMENTARY,ENCINITAS UNION ELEMENTARY,Elementary Schools (Public),None,FALSE,,,FALSE,K,6,587,12,15,587,12,15,TRUE,Elementary School,Elementary School District,TRADITIONAL,68080,6112445
1373,2015-2016,GROSSMONT HIGH,GROSSMONT UNION HIGH,High Schools (Public),None,FALSE,,,FALSE,9,12,2296,645,1375,2179,612,1275,TRUE,High School,High School District,TRADITIONAL,68130,3732625
2229,2014-2015,MADISON AVENUE ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,488,311,380,479,307,373,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037691
2337,2014-2015,MCMILLIN (CORKY) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,882,150,215,852,149,213,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6118988
3521,2014-2015,SAN PASQUAL HIGH,ESCONDIDO UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,2237,982,1212,2159,946,1171,TRUE,High School,High School District,TRADITIONAL,68106,3730058
193,2014-2015,BANCROFT ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,652,509,590,652,509,590,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6038418
889,2014-2015,DEL NORTE HIGH,POWAY UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,1933,144,201,1895,142,197,TRUE,High School,Unified School District,TRADITIONAL,68296,118935
3157,2014-2015,PORTER ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,1064,902,1009,1040,880,985,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,108274
3385,2014-2015,SALT CREEK ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,978,82,119,978,82,119,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,105965
509,2014-2015,CARMEL DEL MAR ELEMENTARY,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,560,32,43,547,32,43,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,6110696
3249,2014-2015,REACH ACADEMY,GROSSMONT UNION HIGH,Special Education Schools (Public),,FALSE,,,FALSE,9,12,32,18,25,29,17,22,TRUE,Other,High School District,SPECIAL EDUCATION SCHOOL,68130,128819
2077,2014-2015,LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,LEMON GROVE,Elementary Schools (Public),Breakfast Provision 2,FALSE,,,FALSE,P,8,1244,768,967,1244,768,967,TRUE,Elementary School,Elementary School District,TRADITIONAL,68205,6038608
597,2014-2015,CHAPARRAL ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,839,48,61,826,48,61,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6097216
2521,2014-2015,MOUNTAIN VIEW LEARNING ACADEMY,ALPINE UNION ELEMENTARY,Alternative Schools of Choice,,FALSE,,,FALSE,K,8,51,12,12,48,11,11,TRUE,Other,Elementary School District,ALTERNATIVE SCHOOL OF CHOICE,67967,6109953
1217,2014-2015,FINNEY (MYRTLE S.) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,380,174,262,380,174,262,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037964
1473,2014-2015,HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,ESCONDIDO UNION,Intermediate/Middle Schools (Public),,TRUE,1603,DIRECTLY FUNDED,TRUE,6,8,286,61,107,286,61,107,TRUE,Middle School,Elementary School District,TRADITIONAL,68098,128769
1417,2014-2015,HARBOR SPRINGS CHARTER,JULIAN UNION ELEMENTARY,K-12 Schools (Public),,TRUE,1589,DIRECTLY FUNDED,TRUE,K,12,465,184,226,449,180,220,TRUE,Elementary School,Elementary School District,TRADITIONAL,68163,128421
793,2014-2015,COTTONWOOD COMMUNITY DAY,MOUNTAIN EMPIRE UNIFIED,District Community Day Schools,,FALSE,,,FALSE,7,12,3,3,3,3,3,3,TRUE,Other,Unified School District,COMMUNITY DAY SCHOOL,68213,3731080
3213,2014-2015,RAMONA ELEMENTARY,RAMONA CITY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,6,496,337,413,488,332,407,TRUE,Elementary School,Unified School District,TRADITIONAL,68304,6039036
925,2014-2015,DIEGO SPRINGS ACADEMY,BORREGO SPRINGS UNIFIED,K-12 Schools (Public),,TRUE,1692,DIRECTLY FUNDED,TRUE,K,12,77,67,73,47,39,44,TRUE,Elementary School,Unified School District,TRADITIONAL,67983,131144
3641,2014-2015,SILVER WING ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,408,249,329,408,249,329,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6038004
1205,2014-2015,FELICITA ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,718,585,654,705,575,642,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6038202
1813,2014-2015,JULIAN JUNIOR HIGH,JULIAN UNION ELEMENTARY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,6,8,109,49,57,109,49,57,TRUE,Middle School,Elementary School District,TRADITIONAL,68163,6105845
709,2014-2015,CLOVER FLAT ELEMENTARY,MOUNTAIN EMPIRE UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,P,5,138,91,103,126,85,97,TRUE,Elementary School,Unified School District,TRADITIONAL,68213,6085054
205,2014-2015,BARNETT ELEMENTARY,RAMONA CITY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,6,488,115,146,481,114,145,TRUE,Elementary School,Unified School District,TRADITIONAL,68304,6110720
345,2014-2015,BORREGO SPRINGS MIDDLE,BORREGO SPRINGS UNIFIED,Intermediate/Middle Schools (Public),Provision 2,FALSE,,,FALSE,6,8,98,84,86,98,84,86,TRUE,Middle School,Unified School District,TRADITIONAL,67983,6115315
4141,2014-2015,VISTA SQUARE ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,581,406,497,564,393,484,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6038046
2873,2014-2015,OAK HILL ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,926,727,833,909,716,818,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6038244
2785,2014-2015,"NONPUBLIC, NONSECTARIAN SCHOOLS",LAKESIDE UNION ELEMENTARY,,,,,,,,,2,0,0,2,0,0,TRUE,,Elementary School District,,68189,1
1069,2014-2015,EL TOYON ELEMENTARY,NATIONAL ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,495,352,401,495,352,401,TRUE,Elementary School,Elementary School District,TRADITIONAL,68221,6038749
1529,2014-2015,HIGH TECH MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),,TRUE,546,DIRECTLY FUNDED,TRUE,6,8,322,81,127,321,81,126,TRUE,Middle School,Unified School District,TRADITIONAL,68338,101204
3293,2014-2015,RIOS ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,250,137,175,244,136,173,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037733
773,2014-2015,CORONADO HIGH,CORONADO UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,1193,32,59,1159,32,59,TRUE,High School,Unified School District,TRADITIONAL,68031,3731478
2957,2014-2015,ORANGE GLEN HIGH,ESCONDIDO UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,2123,1545,1857,2032,1477,1781,TRUE,High School,High School District,TRADITIONAL,68106,3735313
1885,2014-2015,KEMPTON STREET ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,613,502,590,613,502,590,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6038467
4201,2014-2015,WESTVIEW HIGH,POWAY UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,2283,156,265,2242,154,262,TRUE,High School,Unified School District,TRADITIONAL,68296,3731528
1517,2014-2015,HIGH TECH HIGH MEDIA ARTS,SAN DIEGO UNIFIED,High Schools (Public),,TRUE,622,DIRECTLY FUNDED,TRUE,9,12,400,128,196,383,123,189,TRUE,High School,Unified School District,TRADITIONAL,68338,108787
1609,2014-2015,HOWARD GARDNER COMMUNITY CHARTER,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,TRUE,1308,DIRECTLY FUNDED,TRUE,K,8,188,77,82,188,77,82,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,124321
2757,2014-2015,"NONPUBLIC, NONSECTARIAN SCHOOLS",ENCINITAS UNION ELEMENTARY,,,,,,,,,1,0,0,1,0,0,TRUE,,Elementary School District,,68080,1
1081,2014-2015,ELITE ACADEMY,GROSSMONT UNION HIGH,Special Education Schools (Public),,FALSE,,,FALSE,9,12,46,21,26,24,12,13,TRUE,Other,High School District,SPECIAL EDUCATION SCHOOL,68130,3731486
3509,2014-2015,SAN MIGUEL ELEMENTARY,LEMON GROVE,Elementary Schools (Public),Breakfast Provision 2,FALSE,,,FALSE,P,6,569,364,446,569,364,446,TRUE,Elementary School,Elementary School District,TRADITIONAL,68205,6038665
861,2014-2015,DEER CANYON ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,533,29,39,529,29,39,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6109300
853,2014-2015,DAVILA DAY,SAN DIEGO COUNTY OFFICE OF EDUCATION,Special Education Schools (Public),,FALSE,,,FALSE,P,8,28,12,16,28,12,16,TRUE,Other,County Office of Education (COE),SPECIAL EDUCATION SCHOOL,10371,120485
3317,2014-2015,ROHR (FRED H.) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,320,195,252,320,195,252,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037840
3073,2014-2015,PARK DALE LANE ELEMENTARY,ENCINITAS UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,536,71,88,535,71,88,TRUE,Elementary School,Elementary School District,TRADITIONAL,68080,6095046
1341,2014-2015,GRANITE HILLS HIGH,GROSSMONT UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,2478,619,1152,2365,585,1092,TRUE,High School,High School District,TRADITIONAL,68130,3732336
729,2014-2015,COLLEGE PREPARATORY MIDDLE,MOUNTAIN EMPIRE UNIFIED,Intermediate/Middle Schools (Public),,TRUE,1177,DIRECTLY FUNDED,TRUE,5,8,230,41,70,230,41,70,TRUE,Middle School,Unified School District,TRADITIONAL,68213,121582
1545,2014-2015,HIGHLAND RANCH ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,745,67,105,728,66,104,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6110886
1101,2014-2015,EMPOWER CHARTER,SAN DIEGO UNIFIED,Elementary Schools (Public),,TRUE,1634,DIRECTLY FUNDED,TRUE,K,6,68,39,51,58,33,44,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,129387
1297,2014-2015,GARFIELD ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,321,236,297,316,232,292,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039655
