"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2017-2018",37,68098,6038228,"SAN DIEGO","ESCONDIDO UNION","JUNIPER ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",650,520,80,583,89.7,635,509,80.2,571,89.9,TRUE,"Elementary School"
"2017-2018",37,68098,6038236,"SAN DIEGO","ESCONDIDO UNION","LINCOLN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",552,459,83.2,521,94.4,542,451,83.2,512,94.5,TRUE,"Elementary School"
"2017-2018",37,68098,6038244,"SAN DIEGO","ESCONDIDO UNION","OAK HILL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",743,612,82.4,688,92.6,726,598,82.4,674,92.8,TRUE,"Elementary School"
"2017-2018",37,68098,6038251,"SAN DIEGO","ESCONDIDO UNION","ROSE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",521,394,75.6,460,88.3,509,383,75.2,449,88.2,TRUE,"Elementary School"
"2017-2018",37,68098,6038939,"SAN DIEGO","ESCONDIDO UNION","GLEN VIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",651,444,68.2,536,82.3,636,434,68.2,526,82.7,TRUE,"Elementary School"
"2017-2018",37,68098,6038947,"SAN DIEGO","ESCONDIDO UNION","ORANGE GLEN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",659,444,67.4,543,82.4,646,438,67.8,535,82.8,TRUE,"Elementary School"
"2017-2018",37,68098,6066997,"SAN DIEGO","ESCONDIDO UNION","MILLER ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",423,227,53.7,277,65.5,419,226,53.9,276,65.9,TRUE,"Elementary School"
"2017-2018",37,68098,6093215,"SAN DIEGO","ESCONDIDO UNION","HIDDEN VALLEY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",967,700,72.4,836,86.5,967,700,72.4,836,86.5,TRUE,"Middle School"
"2017-2018",37,68098,6102750,"SAN DIEGO","ESCONDIDO UNION","NORTH BROADWAY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",656,335,51.1,411,62.7,653,334,51.1,410,62.8,TRUE,"Elementary School"
"2017-2018",37,68098,6105944,"SAN DIEGO","ESCONDIDO UNION","RINCON MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1126,656,58.3,811,72,1126,656,58.3,811,72,TRUE,"Middle School"
"2017-2018",37,68098,6107882,"SAN DIEGO","ESCONDIDO UNION","L. R. GREEN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",783,283,36.1,350,44.7,769,281,36.5,346,45,TRUE,"Elementary School"
"2017-2018",37,68098,6110381,"SAN DIEGO","ESCONDIDO UNION","PIONEER ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",703,580,82.5,667,94.9,682,562,82.4,648,95,TRUE,"Elementary School"
"2017-2018",37,68098,6111769,"SAN DIEGO","ESCONDIDO UNION","ROCK SPRINGS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",561,377,67.2,444,79.1,550,372,67.6,439,79.8,TRUE,"Elementary School"
"2017-2018",37,68098,6116776,"SAN DIEGO","ESCONDIDO UNION","CLASSICAL ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,199,"DIRECTLY FUNDED",TRUE,"K","8",1353,236,17.4,329,24.3,1341,231,17.2,323,24.1,TRUE,"Elementary School"
"2017-2018",37,68106,1,"SAN DIEGO","ESCONDIDO UNION HIGH","NONPUBLIC, NONSECTARIAN SCHOOLS","High School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,50,4,50,6,4,66.7,4,66.7,TRUE,NA
"2017-2018",37,68106,111195,"SAN DIEGO","ESCONDIDO UNION HIGH","CLASSICAL ACADEMY HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,759,"DIRECTLY FUNDED",TRUE,"9","12",1195,143,12,194,16.2,1162,140,12,190,16.4,TRUE,"High School"
"2017-2018",37,68106,127241,"SAN DIEGO","ESCONDIDO UNION HIGH","DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",783,326,41.6,411,52.5,777,325,41.8,409,52.6,TRUE,"High School"
"2017-2018",37,68106,3730058,"SAN DIEGO","ESCONDIDO UNION HIGH","SAN PASQUAL HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2232,1072,48,1266,56.7,2158,1032,47.8,1222,56.6,TRUE,"High School"
"2017-2018",37,68106,3731023,"SAN DIEGO","ESCONDIDO UNION HIGH","ESCONDIDO CHARTER HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,109,"DIRECTLY FUNDED",TRUE,"9","12",818,217,26.5,327,40,781,204,26.1,311,39.8,TRUE,"High School"
"2017-2018",37,68106,3732054,"SAN DIEGO","ESCONDIDO UNION HIGH","VALLEY HIGH (CONTINUATION)","High School District","Continuation High Schools","CONTINUATION SCHOOL",NA,NA,NA,NA,FALSE,"9","12",229,187,81.7,199,86.9,195,159,81.5,171,87.7,TRUE,"Other"
"2017-2018",37,68106,3732062,"SAN DIEGO","ESCONDIDO UNION HIGH","ESCONDIDO HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2379,1429,60.1,1687,70.9,2236,1347,60.2,1594,71.3,TRUE,"High School"
"2017-2018",37,68106,3735313,"SAN DIEGO","ESCONDIDO UNION HIGH","ORANGE GLEN HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1836,1350,73.5,1571,85.6,1742,1276,73.2,1493,85.7,TRUE,"High School"
"2017-2018",37,68114,1,"SAN DIEGO","FALLBROOK UNION ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,3,0,0,0,0,TRUE,NA
"2017-2018",37,68114,115519,"SAN DIEGO","FALLBROOK UNION ELEMENTARY","SANTA MARGARITA ACADEMY","Elementary School District","District Community Day Schools","COMMUNITY DAY SCHOOL",NA,NA,NA,NA,FALSE,"4","8",6,5,83.3,5,83.3,6,5,83.3,5,83.3,TRUE,"Other"
