sponsor_id,report_date,academic_year,programgroupyear,sponsorname,meals_group,meals_type,days_served,freeeligible,reducedeligible,paideligible,enrollment,meals_free,meals_reduced,meals_paid,meals_total,freeligible
97,2017-01-01,2016-2017,,OPEN ARMS ADHC INC,ADULT_LUNCH,ADULT_LUNCH,21,,,,,1648,0,39,1687,
97,2017-01-01,2016-2017,,OPEN ARMS ADHC INC,ADULT_SNACK_PM,ADULT_SNACK_PM,21,,,,,602,0,14,616,
99,2017-01-01,2016-2017,,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,CHILD_BREAKFAST,20,,,,,676,169,992,1837,
99,2017-01-01,2016-2017,,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,CHILD_LUNCH,20,,,,,502,126,737,1365,
99,2017-01-01,2016-2017,,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,CHILD_SNACK_PM,20,,,,,600,150,882,1632,
103,2017-01-01,2016-2017,,POWAY ADHC CENTER,ADULT_BREAKFAST,ADULT_BREAKFAST,21,,,,,1039,0,184,1223,
103,2017-01-01,2016-2017,,POWAY ADHC CENTER,ADULT_LUNCH,ADULT_LUNCH,21,,,,,1235,0,219,1454,
103,2017-01-01,2016-2017,,POWAY ADHC CENTER,ADULT_SNACK_PM,ADULT_SNACK_PM,21,,,,,150,0,27,177,
106,2017-01-01,2016-2017,,QUALITY CHILDREN'S SERVICES,CHILD_BREAKFAST,CHILD_BREAKFAST,21,,,,,8956,2309,732,11997,
106,2017-01-01,2016-2017,,QUALITY CHILDREN'S SERVICES,CHILD_LUNCH,CHILD_LUNCH,21,,,,,9092,2345,743,12180,
106,2017-01-01,2016-2017,,QUALITY CHILDREN'S SERVICES,CHILD_SNACK_AM,CHILD_SNACK_AM,21,,,,,9561,2466,781,12808,
106,2017-01-01,2016-2017,,QUALITY CHILDREN'S SERVICES,CHILD_SNACK_PM,CHILD_SNACK_PM,21,,,,,5072,1308,415,6795,
111,2017-01-01,2016-2017,,SAINT VINCENT DE PAUL VILLAGE,ES_CHILD_BREAKFAST,ES_CHILD_BREAKFAST,31,,,,,1037,0,0,1037,
111,2017-01-01,2016-2017,,SAINT VINCENT DE PAUL VILLAGE,ES_CHILD_LUNCH,ES_CHILD_LUNCH,31,,,,,1437,0,0,1437,
111,2017-01-01,2016-2017,,SAINT VINCENT DE PAUL VILLAGE,ES_CHILD_SUPPER,ES_CHILD_SUPPER,31,,,,,1963,0,0,1963,
112,2017-01-01,2016-2017,,SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,CHILD_BREAKFAST,CHILD_BREAKFAST,20,,,,,285,65,1152,1502,
112,2017-01-01,2016-2017,,SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,CHILD_LUNCH,CHILD_LUNCH,20,,,,,292,66,1181,1539,
112,2017-01-01,2016-2017,,SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,CHILD_SNACK_PM,CHILD_SNACK_PM,20,,,,,263,60,1063,1386,
115,2017-01-01,2016-2017,,SAN DIEGO COMMUNITY COLL DIST,CHILD_BREAKFAST,CHILD_BREAKFAST,16,,,,,163,27,10,200,
115,2017-01-01,2016-2017,,SAN DIEGO COMMUNITY COLL DIST,CHILD_LUNCH,CHILD_LUNCH,16,,,,,163,27,10,200,
115,2017-01-01,2016-2017,,SAN DIEGO COMMUNITY COLL DIST,CHILD_SNACK_PM,CHILD_SNACK_PM,16,,,,,101,17,6,124,
115,2017-01-01,2016-2017,,SAN DIEGO COMMUNITY COLL DIST,HS_CHILD_BREAKFAST,HS_CHILD_BREAKFAST,16,,,,,385,0,0,385,
115,2017-01-01,2016-2017,,SAN DIEGO COMMUNITY COLL DIST,HS_CHILD_LUNCH,HS_CHILD_LUNCH,16,,,,,496,0,0,496,
115,2017-01-01,2016-2017,,SAN DIEGO COMMUNITY COLL DIST,HS_CHILD_SNACK_PM,HS_CHILD_SNACK_PM,16,,,,,334,0,0,334,
117,2017-01-01,2016-2017,,SAN DIEGO COUNTY OFFICE OF EDUCATION,HS_CHILD_BREAKFAST,HS_CHILD_BREAKFAST,19,,,,,94,0,0,94,
117,2017-01-01,2016-2017,,SAN DIEGO COUNTY OFFICE OF EDUCATION,HS_CHILD_LUNCH,HS_CHILD_LUNCH,19,,,,,126,0,0,126,
117,2017-01-01,2016-2017,,SAN DIEGO COUNTY OFFICE OF EDUCATION,HS_CHILD_SNACK_PM,HS_CHILD_SNACK_PM,19,,,,,69,0,0,69,
120,2017-01-01,2016-2017,,SELF DISCOVERY INC,CHILD_BREAKFAST,CHILD_BREAKFAST,21,,,,,176,11,24,211,
120,2017-01-01,2016-2017,,SELF DISCOVERY INC,CHILD_LUNCH,CHILD_LUNCH,21,,,,,679,44,89,812,
120,2017-01-01,2016-2017,,SELF DISCOVERY INC,CHILD_SNACK_AM,CHILD_SNACK_AM,21,,,,,363,24,47,434,
120,2017-01-01,2016-2017,,SELF DISCOVERY INC,CHILD_SNACK_PM,CHILD_SNACK_PM,21,,,,,458,30,60,548,
120,2017-01-01,2016-2017,,SELF DISCOVERY INC,CHILD_SUPPER,CHILD_SUPPER,21,,,,,324,21,42,387,
122,2017-01-01,2016-2017,,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_BREAKFAST,CHILD_BREAKFAST,20,,,,,208,11,44,263,
122,2017-01-01,2016-2017,,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_LUNCH,CHILD_LUNCH,20,,,,,217,11,46,274,
122,2017-01-01,2016-2017,,SOUTHERN CALIF TRIBAL CHAIR ASSOC-RINCON COMM DAYCARE CTR,CHILD_SNACK_PM,CHILD_SNACK_PM,20,,,,,116,6,24,146,
127,2017-01-01,2016-2017,,SWEET BUSY BEES,CHILD_BREAKFAST,CHILD_BREAKFAST,20,,,,,326,18,36,380,
127,2017-01-01,2016-2017,,SWEET BUSY BEES,CHILD_LUNCH,CHILD_LUNCH,20,,,,,326,18,36,380,
127,2017-01-01,2016-2017,,SWEET BUSY BEES,CHILD_SNACK_AM,CHILD_SNACK_AM,20,,,,,326,18,36,380,
132,2017-01-01,2016-2017,,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_BREAKFAST,CHILD_BREAKFAST,20,,,,,50,163,879,1092,
132,2017-01-01,2016-2017,,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_LUNCH,CHILD_LUNCH,20,,,,,57,186,1003,1246,
132,2017-01-01,2016-2017,,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_SNACK_PM,CHILD_SNACK_PM,20,,,,,49,159,857,1065,
133,2017-01-01,2016-2017,,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CHILD_BREAKFAST,CHILD_BREAKFAST,19,,,,,177,124,1321,1622,
133,2017-01-01,2016-2017,,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CHILD_LUNCH,CHILD_LUNCH,19,,,,,331,231,2464,3026,
133,2017-01-01,2016-2017,,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CHILD_SNACK_PM,CHILD_SNACK_PM,19,,,,,311,218,2315,2844,
138,2017-01-01,2016-2017,,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_BREAKFAST,CHILD_BREAKFAST,20,,,,,1758,358,184,2300,
138,2017-01-01,2016-2017,,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_LUNCH,CHILD_LUNCH,20,,,,,1710,348,180,2238,
138,2017-01-01,2016-2017,,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_SNACK_PM,CHILD_SNACK_PM,20,,,,,924,188,97,1209,
138,2017-01-01,2016-2017,,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_BREAKFAST,HS_CHILD_BREAKFAST,20,,,,,851,0,0,851,
138,2017-01-01,2016-2017,,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_LUNCH,HS_CHILD_LUNCH,20,,,,,914,0,0,914,
138,2017-01-01,2016-2017,,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_SNACK_PM,HS_CHILD_SNACK_PM,20,,,,,623,0,0,623,
139,2017-01-01,2016-2017,,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_BREAKFAST,ADULT_BREAKFAST,21,,,,,1222,0,218,1440,
139,2017-01-01,2016-2017,,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_LUNCH,ADULT_LUNCH,21,,,,,1458,0,260,1718,
