"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2014-2015",37,67967,6109953,"SAN DIEGO","ALPINE UNION ELEMENTARY","MOUNTAIN VIEW LEARNING ACADEMY","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE","",FALSE,NA,"",FALSE,"K","8",51,12,23.5,12,23.5,48,11,22.9,11,22.9,TRUE,"Other"
"2014-2015",37,67967,6118723,"SAN DIEGO","ALPINE UNION ELEMENTARY","CREEKSIDE EARLY LEARNING CENTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"P","K",179,33,18.4,45,25.1,169,32,18.9,43,25.4,TRUE,"Elementary School"
"2014-2015",37,67983,117887,"SAN DIEGO","BORREGO SPRINGS UNIFIED","JUAN BAUTISTA DE ANZA","Unified School District","High Schools (Public)","TRADITIONAL","",TRUE,1021,"DIRECTLY FUNDED",TRUE,"7","12",86,49,57,60,69.8,78,46,59,56,71.8,TRUE,"High School"
"2014-2015",37,67983,128579,"SAN DIEGO","BORREGO SPRINGS UNIFIED","OXFORD PREPARATORY ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL","",TRUE,1590,"DIRECTLY FUNDED",TRUE,"K","12",288,24,8.3,62,21.5,281,24,8.5,59,21,TRUE,"Elementary School"
"2014-2015",37,67983,131144,"SAN DIEGO","BORREGO SPRINGS UNIFIED","DIEGO SPRINGS ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL","",TRUE,1692,"DIRECTLY FUNDED",TRUE,"K","12",77,67,87,73,94.8,47,39,83,44,93.6,TRUE,"Elementary School"
"2014-2015",37,67983,3730447,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS HIGH","Unified School District","High Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"9","12",131,104,79.4,110,84,127,100,78.7,106,83.5,TRUE,"High School"
"2014-2015",37,67983,3731098,"SAN DIEGO","BORREGO SPRINGS UNIFIED","PALM CANYON CONTINUATION HIGH","Unified School District","Continuation High Schools","CONTINUATION SCHOOL","",FALSE,NA,"",FALSE,"9","12",2,2,100,2,100,1,1,100,1,100,TRUE,"Other"
"2014-2015",37,67983,6037550,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"P","5",182,135,74.2,143,78.6,178,133,74.7,141,79.2,TRUE,"Elementary School"
"2014-2015",37,67983,6115315,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",98,84,85.7,86,87.8,98,84,85.7,86,87.8,TRUE,"Middle School"
"2014-2015",37,67991,1,"SAN DIEGO","CAJON VALLEY UNION","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"",NA,NA,NA,NA,"","",24,0,0,0,0,24,0,0,0,0,TRUE,NA
"2014-2015",37,67991,108563,"SAN DIEGO","CAJON VALLEY UNION","EJE ELEMENTARY ACADEMY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",TRUE,683,"DIRECTLY FUNDED",TRUE,"K","5",513,335,65.3,425,82.8,498,326,65.5,412,82.7,TRUE,"Elementary School"
"2014-2015",37,67991,111005,"SAN DIEGO","CAJON VALLEY UNION","LOS COCHES CREEK MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"6","8",663,228,34.4,304,45.9,663,228,34.4,304,45.9,TRUE,"Middle School"
"2014-2015",37,67991,119255,"SAN DIEGO","CAJON VALLEY UNION","EJE MIDDLE ACADEMY","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",TRUE,1063,"DIRECTLY FUNDED",TRUE,"6","8",171,113,66.1,140,81.9,171,113,66.1,140,81.9,TRUE,"Middle School"
"2014-2015",37,67991,6037568,"SAN DIEGO","CAJON VALLEY UNION","ANZA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",590,510,86.4,544,92.2,580,505,87.1,539,92.9,TRUE,"Elementary School"
"2014-2015",37,67991,6037576,"SAN DIEGO","CAJON VALLEY UNION","BOSTONIA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",559,407,72.8,463,82.8,545,396,72.7,450,82.6,TRUE,"Elementary School"
"2014-2015",37,67991,6037584,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",882,775,87.9,854,96.8,882,775,87.9,854,96.8,TRUE,"Middle School"
"2014-2015",37,67991,6037592,"SAN DIEGO","CAJON VALLEY UNION","CHASE AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",755,630,83.4,678,89.8,743,621,83.6,669,90,TRUE,"Elementary School"
"2014-2015",37,67991,6037600,"SAN DIEGO","CAJON VALLEY UNION","CREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",132,46,34.8,67,50.8,131,46,35.1,66,50.4,TRUE,"Elementary School"
"2014-2015",37,67991,6037626,"SAN DIEGO","CAJON VALLEY UNION","EMERALD MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",537,418,77.8,460,85.7,537,418,77.8,460,85.7,TRUE,"Middle School"
"2014-2015",37,67991,6037634,"SAN DIEGO","CAJON VALLEY UNION","FLYING HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",533,269,50.5,337,63.2,524,266,50.8,334,63.7,TRUE,"Elementary School"
"2014-2015",37,67991,6037642,"SAN DIEGO","CAJON VALLEY UNION","FUERTE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",601,110,18.3,140,23.3,591,108,18.3,138,23.4,TRUE,"Elementary School"
"2014-2015",37,67991,6037659,"SAN DIEGO","CAJON VALLEY UNION","GREENFIELD MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",670,450,67.2,534,79.7,670,450,67.2,534,79.7,TRUE,"Middle School"
"2014-2015",37,67991,6037675,"SAN DIEGO","CAJON VALLEY UNION","JOHNSON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",661,577,87.3,621,93.9,641,561,87.5,605,94.4,TRUE,"Elementary School"
"2014-2015",37,67991,6037683,"SAN DIEGO","CAJON VALLEY UNION","LEXINGTON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",777,699,90,748,96.3,761,686,90.1,733,96.3,TRUE,"Elementary School"
"2014-2015",37,67991,6037691,"SAN DIEGO","CAJON VALLEY UNION","MADISON AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",488,311,63.7,380,77.9,479,307,64.1,373,77.9,TRUE,"Elementary School"
"2014-2015",37,67991,6037709,"SAN DIEGO","CAJON VALLEY UNION","MAGNOLIA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",653,469,71.8,555,85,637,457,71.7,540,84.8,TRUE,"Elementary School"
"2014-2015",37,67991,6037717,"SAN DIEGO","CAJON VALLEY UNION","MERIDIAN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",653,471,72.1,542,83,639,459,71.8,529,82.8,TRUE,"Elementary School"
"2014-2015",37,67991,6037725,"SAN DIEGO","CAJON VALLEY UNION","NARANCA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","5",817,687,84.1,735,90,806,680,84.4,725,90,TRUE,"Elementary School"
"2014-2015",37,67991,6037733,"SAN DIEGO","CAJON VALLEY UNION","RIOS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",250,137,54.8,175,70,244,136,55.7,173,70.9,TRUE,"Elementary School"
"2014-2015",37,67991,6037741,"SAN DIEGO","CAJON VALLEY UNION","W. D. HALL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",482,279,57.9,318,66,473,272,57.5,311,65.8,TRUE,"Elementary School"
"2014-2015",37,67991,6069082,"SAN DIEGO","CAJON VALLEY UNION","AVOCADO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",561,258,46,297,52.9,549,254,46.3,292,53.2,TRUE,"Elementary School"
"2014-2015",37,67991,6093207,"SAN DIEGO","CAJON VALLEY UNION","MONTGOMERY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"6","8",815,574,70.4,659,80.9,815,574,70.4,659,80.9,TRUE,"Middle School"
"2014-2015",37,67991,6101794,"SAN DIEGO","CAJON VALLEY UNION","VISTA GRANDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",590,131,22.2,182,30.8,582,129,22.2,180,30.9,TRUE,"Elementary School"
"2014-2015",37,67991,6106025,"SAN DIEGO","CAJON VALLEY UNION","RANCHO SAN DIEGO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",588,177,30.1,231,39.3,575,174,30.3,228,39.7,TRUE,"Elementary School"
"2014-2015",37,67991,6110787,"SAN DIEGO","CAJON VALLEY UNION","JAMACHA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",568,218,38.4,276,48.6,556,212,38.1,269,48.4,TRUE,"Elementary School"
"2014-2015",37,67991,6112148,"SAN DIEGO","CAJON VALLEY UNION","BLOSSOM VALLEY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",523,118,22.6,147,28.1,512,115,22.5,143,27.9,TRUE,"Elementary School"
"2014-2015",37,67991,6112890,"SAN DIEGO","CAJON VALLEY UNION","HILLSDALE MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"6","8",1502,442,29.4,544,36.2,1502,442,29.4,544,36.2,TRUE,"Middle School"
"2014-2015",37,67991,6117295,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY COMMUNITY DAY","Elementary School District","District Community Day Schools","COMMUNITY DAY SCHOOL","",FALSE,NA,"",FALSE,"6","8",20,13,65,15,75,20,13,65,15,75,TRUE,"Other"
"2014-2015",37,67991,6118319,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY HOME","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE","",FALSE,NA,"",FALSE,"K","8",23,10,43.5,13,56.5,23,10,43.5,13,56.5,TRUE,"Other"
"2014-2015",37,68007,6037758,"SAN DIEGO","CARDIFF ELEMENTARY","ADA W. HARRIS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"3","6",370,31,8.4,43,11.6,370,31,8.4,43,11.6,TRUE,"Elementary School"
"2014-2015",37,68007,6037766,"SAN DIEGO","CARDIFF ELEMENTARY","CARDIFF ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","3",361,36,10,40,11.1,346,36,10.4,39,11.3,TRUE,"Elementary School"
"2014-2015",37,68023,1,"SAN DIEGO","CHULA VISTA ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"",NA,NA,NA,NA,"","",19,3,15.8,3,15.8,19,3,15.8,3,15.8,TRUE,NA
"2014-2015",37,68023,101592,"SAN DIEGO","CHULA VISTA ELEMENTARY","HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",1097,149,13.6,222,20.2,1070,148,13.8,220,20.6,TRUE,"Elementary School"
"2014-2015",37,68023,105957,"SAN DIEGO","CHULA VISTA ELEMENTARY","LIBERTY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",737,96,13,137,18.6,736,96,13,137,18.6,TRUE,"Elementary School"
"2014-2015",37,68023,105965,"SAN DIEGO","CHULA VISTA ELEMENTARY","SALT CREEK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",978,82,8.4,119,12.2,978,82,8.4,119,12.2,TRUE,"Elementary School"
"2014-2015",37,68023,108662,"SAN DIEGO","CHULA VISTA ELEMENTARY","VETERANS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",890,127,14.3,190,21.3,890,127,14.3,190,21.3,TRUE,"Elementary School"
"2014-2015",37,68023,114009,"SAN DIEGO","CHULA VISTA ELEMENTARY","WOLF CANYON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",747,81,10.8,130,17.4,745,81,10.9,130,17.4,TRUE,"Elementary School"
"2014-2015",37,68023,119594,"SAN DIEGO","CHULA VISTA ELEMENTARY","LEONARDO DA VINCI HEALTH SCIENCES CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",TRUE,1082,"DIRECTLY FUNDED",TRUE,"K","6",308,133,43.2,167,54.2,308,133,43.2,167,54.2,TRUE,"Elementary School"
"2014-2015",37,68023,124321,"SAN DIEGO","CHULA VISTA ELEMENTARY","HOWARD GARDNER COMMUNITY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",TRUE,1308,"DIRECTLY FUNDED",TRUE,"K","8",188,77,41,82,43.6,188,77,41,82,43.6,TRUE,"Elementary School"
"2014-2015",37,68023,127431,"SAN DIEGO","CHULA VISTA ELEMENTARY","CAMARENA (ENRIQUE S.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",1045,187,17.9,266,25.5,1022,184,18,262,25.6,TRUE,"Elementary School"
"2014-2015",37,68023,6037824,"SAN DIEGO","CHULA VISTA ELEMENTARY","CASTLE PARK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",411,327,79.6,376,91.5,411,327,79.6,376,91.5,TRUE,"Elementary School"
"2014-2015",37,68023,6037832,"SAN DIEGO","CHULA VISTA ELEMENTARY","ALLEN (ELLA B.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",391,105,26.9,164,41.9,391,105,26.9,164,41.9,TRUE,"Elementary School"
"2014-2015",37,68023,6037840,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROHR (FRED H.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",320,195,60.9,252,78.8,320,195,60.9,252,78.8,TRUE,"Elementary School"
"2014-2015",37,68023,6037857,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROGERS (GREG) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",472,192,40.7,268,56.8,470,192,40.9,268,57,TRUE,"Elementary School"
"2014-2015",37,68023,6037865,"SAN DIEGO","CHULA VISTA ELEMENTARY","HALECREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",516,165,32,230,44.6,504,163,32.3,226,44.8,TRUE,"Elementary School"
"2014-2015",37,68023,6037873,"SAN DIEGO","CHULA VISTA ELEMENTARY","HARBORSIDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",680,508,74.7,588,86.5,658,494,75.1,573,87.1,TRUE,"Elementary School"
"2014-2015",37,68023,6037881,"SAN DIEGO","CHULA VISTA ELEMENTARY","COOK (HAZEL GOES) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",355,200,56.3,281,79.2,355,200,56.3,281,79.2,TRUE,"Elementary School"
"2014-2015",37,68023,6037899,"SAN DIEGO","CHULA VISTA ELEMENTARY","HILLTOP DRIVE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",574,279,48.6,378,65.9,574,279,48.6,378,65.9,TRUE,"Elementary School"
"2014-2015",37,68023,6037907,"SAN DIEGO","CHULA VISTA ELEMENTARY","LAUDERBACH (J. CALVIN) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",777,589,75.8,698,89.8,776,589,75.9,698,89.9,TRUE,"Elementary School"
"2014-2015",37,68023,6037915,"SAN DIEGO","CHULA VISTA ELEMENTARY","MONTGOMERY (JOHN J.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",366,301,82.2,338,92.3,355,294,82.8,328,92.4,TRUE,"Elementary School"
"2014-2015",37,68023,6037923,"SAN DIEGO","CHULA VISTA ELEMENTARY","KELLOGG (KARL H.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",306,161,52.6,223,72.9,296,156,52.7,217,73.3,TRUE,"Elementary School"
"2014-2015",37,68023,6037931,"SAN DIEGO","CHULA VISTA ELEMENTARY","RICE (LILIAN J.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",636,433,68.1,535,84.1,635,433,68.2,535,84.3,TRUE,"Elementary School"
"2014-2015",37,68023,6037949,"SAN DIEGO","CHULA VISTA ELEMENTARY","LOMA VERDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",563,351,62.3,464,82.4,538,342,63.6,454,84.4,TRUE,"Elementary School"
"2014-2015",37,68023,6037956,"SAN DIEGO","CHULA VISTA ELEMENTARY","FEASTER (MAE L.) CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",TRUE,121,"DIRECTLY FUNDED",FALSE,"K","8",1157,860,74.3,1008,87.1,1123,833,74.2,980,87.3,TRUE,"Elementary School"
"2014-2015",37,68023,6037964,"SAN DIEGO","CHULA VISTA ELEMENTARY","FINNEY (MYRTLE S.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",380,174,45.8,262,68.9,380,174,45.8,262,68.9,TRUE,"Elementary School"
"2014-2015",37,68023,6037972,"SAN DIEGO","CHULA VISTA ELEMENTARY","PALOMAR ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",389,223,57.3,290,74.6,375,214,57.1,280,74.7,TRUE,"Elementary School"
"2014-2015",37,68023,6037980,"SAN DIEGO","CHULA VISTA ELEMENTARY","MUELLER CHARTER (ROBERT L.)","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",TRUE,64,"DIRECTLY FUNDED",FALSE,"K","9",1173,803,68.5,1014,86.4,1151,791,68.7,996,86.5,TRUE,"Elementary School"
"2014-2015",37,68023,6037998,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROSEBANK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",573,328,57.2,428,74.7,572,327,57.2,427,74.7,TRUE,"Elementary School"
"2014-2015",37,68023,6038004,"SAN DIEGO","CHULA VISTA ELEMENTARY","SILVER WING ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",408,249,61,329,80.6,408,249,61,329,80.6,TRUE,"Elementary School"
"2014-2015",37,68023,6038012,"SAN DIEGO","CHULA VISTA ELEMENTARY","SUNNYSIDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",460,121,26.3,162,35.2,437,116,26.5,156,35.7,TRUE,"Elementary School"
"2014-2015",37,68023,6038020,"SAN DIEGO","CHULA VISTA ELEMENTARY","VALLE LINDO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",527,209,39.7,302,57.3,527,209,39.7,302,57.3,TRUE,"Elementary School"
"2014-2015",37,68023,6038038,"SAN DIEGO","CHULA VISTA ELEMENTARY","VALLEY VISTA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",546,173,31.7,264,48.4,546,173,31.7,264,48.4,TRUE,"Elementary School"
"2014-2015",37,68023,6038046,"SAN DIEGO","CHULA VISTA ELEMENTARY","VISTA SQUARE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",581,406,69.9,497,85.5,564,393,69.7,484,85.8,TRUE,"Elementary School"
"2014-2015",37,68023,6066971,"SAN DIEGO","CHULA VISTA ELEMENTARY","PARKVIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","6",390,146,37.4,185,47.4,377,143,37.9,182,48.3,TRUE,"Elementary School"
"2014-2015",37,68023,6069090,"SAN DIEGO","CHULA VISTA ELEMENTARY","JUAREZ-LINCOLN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",FALSE,NA,"",FALSE,"K","6",566,322,56.9,422,74.6,565,321,56.8,421,74.5,TRUE,"Elementary School"
