"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2014-2015",37,10371,115998,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN PASQUAL ACADEMY","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL","",FALSE,NA,"",FALSE,"9","12",83,83,100,83,100,77,77,100,77,100,TRUE,"Other"
"2014-2015",37,10371,120485,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","DAVILA DAY","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","",FALSE,NA,"",FALSE,"P","8",28,12,42.9,16,57.1,28,12,42.9,16,57.1,TRUE,"Other"
"2014-2015",37,10371,120493,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","MONARCH","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL","",FALSE,NA,"",FALSE,"K","12",289,289,100,289,100,278,278,100,278,100,TRUE,"Other"
"2014-2015",37,10371,128520,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COMMUNITY","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL","",FALSE,NA,"",FALSE,"K","12",1077,706,65.6,722,67,671,455,67.8,467,69.6,TRUE,"Other"
"2014-2015",37,10371,128538,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COURT","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL","",FALSE,NA,"",FALSE,"K","12",654,654,100,654,100,582,582,100,582,100,TRUE,"Other"
"2014-2015",37,10371,1996545,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","NORTH COASTAL CONSORTIUM SCHOOLS","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","",FALSE,NA,"",FALSE,"P","12",87,38,43.7,42,48.3,79,35,44.3,39,49.4,TRUE,"Other"
"2014-2015",37,10371,6069355,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY SPECIAL EDUCATION","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","",FALSE,NA,"",FALSE,"K","12",39,16,41,16,41,28,10,35.7,10,35.7,TRUE,"Other"
"2014-2015",37,10371,6119119,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","LITERACY FIRST CHARTER","County Office of Education (COE)","Elementary Schools (Public)","TRADITIONAL","",TRUE,405,"DIRECTLY FUNDED",TRUE,"K","12",1607,439,27.3,506,31.5,1595,438,27.5,504,31.6,TRUE,"Elementary School"
"2014-2015",37,67967,128595,"SAN DIEGO","ALPINE UNION ELEMENTARY","ENDEAVOUR ACADEMY","Elementary School District","K-12 Schools (Public)","TRADITIONAL","",TRUE,1566,"DIRECTLY FUNDED",TRUE,"K","12",156,23,14.7,48,30.8,156,23,14.7,48,30.8,TRUE,"Elementary School"
"2014-2015",37,67967,6037519,"SAN DIEGO","ALPINE UNION ELEMENTARY","ALPINE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"1","5",384,111,28.9,149,38.8,384,111,28.9,149,38.8,TRUE,"Elementary School"
"2014-2015",37,67967,6037535,"SAN DIEGO","ALPINE UNION ELEMENTARY","JOAN MACQUEEN MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"6","8",570,106,18.6,167,29.3,570,106,18.6,167,29.3,TRUE,"Middle School"
"2014-2015",37,67967,6106256,"SAN DIEGO","ALPINE UNION ELEMENTARY","SHADOW HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"K","5",261,64,24.5,85,32.6,261,64,24.5,85,32.6,TRUE,"Elementary School"
"2014-2015",37,67967,6109086,"SAN DIEGO","ALPINE UNION ELEMENTARY","BOULDER OAKS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",FALSE,NA,"",FALSE,"1","5",244,37,15.2,70,28.7,244,37,15.2,70,28.7,TRUE,"Elementary School"
