"ProgramCode","ProgramGroupYear","CountyDesc","ClaimDate","Name","SiteName","MealGroupCode","MealTypeCode","DaysServedQty","MlsServedFree"
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","NORTH COUNTY HEALTH SERVICES SAN MARCOS","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,167
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","RAMONA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,501
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","VALLEY CENTER BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",12,440
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","VCC PROJECT REACH LIBBY LAKE","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,199
"SFSP",2018,"SAN DIEGO","2018-06-01","FEEDING AMERICA SAN DIEGO","VISTA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",12,1773
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","ATMOSPHERE APARTMENTS","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,41
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","ATMOSPHERE APARTMENTS","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,13
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","BORDER VIEW YMCA","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,424
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","BORDER VIEW YMCA","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",20,75
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CAMPO EDUCATIONAL CENTER","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,345
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CASA DE ORO LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,152
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CENTRAL BRANCH LIBRARY","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,78
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CHOLLAS VIEW UNITED METHODIST CHURCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,124
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CHULA VISTA PRESBYTERIAN PRESCHOOL","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,274
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CHULA VISTA PRESBYTERIAN PRESCHOOL","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",20,380
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CITY HEIGHTS BRANCH LIBRARY","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,138
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","COLLEGE-ROLANDO BRANCH LIBRARY","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,89
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","COMMUNITY CONGREGATIONAL PRESCHOOL","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",20,502
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","COMMUNITY CONGREGATIONAL PRESCHOOL","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,235
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CORONADO TERRACE APARTMENTS","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,159
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","CORONADO TERRACE APARTMENTS","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,159
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","EAST COUNTY COMMUNITY CENTER SPRING VALLEY","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,61
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","LAKESIDE TEEN CENTER","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,92
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","LINDA VISTA BRANCH LIBRARY","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,152
