CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Feb 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,8,137,0,0,137,137,17.125,18
SAN DIEGO,Summer Food Service Program (FNS418),Feb 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,20,23565,0,0,23565,23565,1178.25,1179
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,"Vista, City of",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,16,1159,0,0,1159,1159,72.4375,71
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,"Vista, City of",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,16,1345,0,0,1345,1345,84.0625,83
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,11,18,17262,0,0,17262,17262,959,952
SAN DIEGO,Summer Food Service Program (FNS418),Oct 2013,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,23,30169,0,0,30169,30169,1311.6957,1312
SAN DIEGO,Summer Food Service Program (FNS418),Oct 2013,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,8,30,9086,0,0,9086,9086,302.8667,300
SAN DIEGO,Summer Food Service Program (FNS418),Oct 2013,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,6,83,0,0,83,83,13.8333,14
SAN DIEGO,Summer Food Service Program (FNS418),Dec 2013,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,17,19687,0,0,19687,19687,1158.0588,1159
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2013,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,18,21412,0,0,21412,21412,1189.5556,1190
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2013,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,9,29,7882,0,0,7882,7882,271.7931,267
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2013,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,4,47,0,0,47,47,11.75,12
SAN DIEGO,Summer Food Service Program (FNS418),Dec 2013,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,10,24,6883,0,0,6883,6883,286.7917,282
SAN DIEGO,Summer Food Service Program (FNS418),Dec 2013,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,5,84,0,0,84,84,16.8,17
SAN DIEGO,Summer Food Service Program (FNS418),Mar 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,21,26761,0,0,26761,26761,1274.3333,1275
SAN DIEGO,Summer Food Service Program (FNS418),Jan 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,21,24365,0,0,24365,24365,1160.2381,1161
SAN DIEGO,Summer Food Service Program (FNS418),Jan 2014,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,10,29,7831,0,0,7831,7831,270.0345,265
SAN DIEGO,Summer Food Service Program (FNS418),Jan 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,4,38,0,0,38,38,9.5,10
SAN DIEGO,Summer Food Service Program (FNS418),Mar 2014,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,8,26,5358,0,0,5358,5358,206.0769,203
SAN DIEGO,Summer Food Service Program (FNS418),Mar 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,6,99,0,0,99,99,16.5,17
SAN DIEGO,Summer Food Service Program (FNS418),Apr 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,22,20827,0,0,20827,20827,946.6818,947
SAN DIEGO,Summer Food Service Program (FNS418),Apr 2014,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,8,22,5183,0,0,5183,5183,235.5909,231
SAN DIEGO,Summer Food Service Program (FNS418),Apr 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,4,72,0,0,72,72,18,18
SAN DIEGO,Summer Food Service Program (FNS418),May 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,21,24032,0,0,24032,24032,1144.381,1145
SAN DIEGO,Summer Food Service Program (FNS418),May 2014,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,8,25,6715,0,0,6715,6715,268.6,264
SAN DIEGO,Summer Food Service Program (FNS418),May 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,4,68,0,0,68,68,17,17
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,8,18,7384,0,0,7384,7384,410.2222,408
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,6,13,6330,0,0,6330,6330,486.9231,483
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,11,10,8796,0,0,8796,8796,879.6,880
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,7,18,3875,0,0,3875,3875,215.2778,542
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,7,18,5893,0,0,5893,5893,327.3889,542
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,7,289,0,0,289,289,41.2857,42
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,8,329,0,0,329,329,41.125,42
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,5,206,0,0,206,206,41.2,42
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,6,21,1747,0,0,1747,1747,83.1905,251
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,6,21,3559,0,0,3559,3559,169.4762,251
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,3,24,1831,0,0,1831,1831,76.2917,189
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,3,24,2714,0,0,2714,2714,113.0833,189
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,4,72,0,0,72,72,18,18
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,"WAHUPA Educational Enterprises, Inc",PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,2,1,50,0,0,50,50,50,50
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,"WAHUPA Educational Enterprises, Inc",PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,2,1,50,0,0,50,50,50,50
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,"WAHUPA Educational Enterprises, Inc",PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_VENDED,2,2,97,0,0,97,97,48.5,49
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Salvation Army-San Diego A California Corporation,CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,15,1284,0,0,1284,1284,85.6,86
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Salvation Army-San Diego A California Corporation,CAMP,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,2,15,4091,0,0,4091,4091,272.7333,273
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,Salvation Army-San Diego A California Corporation,CAMP,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,15,1288,0,0,1288,1288,85.8667,86
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2014,SFSP,2014,A B Vines Ministries,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,13,2329,0,0,2329,2329,179.1538,176
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,7,22,5273,0,0,5273,5273,239.6818,236
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,10,22,11986,0,0,11986,11986,544.8182,535
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,"Vista, City of",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,22,1630,0,0,1630,1630,74.0909,73
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,"Vista, City of",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,22,2112,0,0,2112,2112,96,95
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,16,543,0,0,543,543,33.9375,34
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,1,16,0,0,16,16,16,16
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,1,16,308,0,0,308,308,19.25,20
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,6,22,10402,0,0,10402,10402,472.8182,467
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,7,1214,0,0,1214,1214,173.4286,174
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2014,SFSP,2014,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,7,22,5562,0,0,5562,5562,252.8182,741
