County Name,ClaimDate,ProgramCode,ProgramGroupYear,Name,MealGroupCode,DaysServedQty,,,,,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,avg
SAN DIEGO,Jun 2018,CACF,2018,OCEANSIDE SHINING STARS PRESCH,CHILD_SNACK_PM,21,,,,,208,195,171,574,
SAN DIEGO,Mar 2018,CACF,2018,OCEANSIDE SHINING STARS PRESCH,CHILD_SNACK_PM,22,,,,,188,247,232,667,
SAN DIEGO,May 2018,CACF,2018,OCEANSIDE SHINING STARS PRESCH,CHILD_SNACK_PM,22,,,,,210,237,197,644,
SAN DIEGO,Nov 2017,CACF,2018,OCEANSIDE SHINING STARS PRESCH,CHILD_SNACK_PM,21,,,,,179,205,179,563,
SAN DIEGO,Oct 2017,CACF,2018,OCEANSIDE SHINING STARS PRESCH,CHILD_SNACK_PM,22,,,,,175,150,239,564,
SAN DIEGO,Apr 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,16,,,,,19839,0,0,19839,
SAN DIEGO,Aug 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,10,,,,,10742,0,0,10742,
SAN DIEGO,Dec 2017,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,10,,,,,10718,0,0,10718,
SAN DIEGO,Feb 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,15,,,,,18571,0,0,18571,
SAN DIEGO,Jan 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,17,,,,,20356,0,0,20356,
SAN DIEGO,Jun 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,5,,,,,3786,0,0,3786,
SAN DIEGO,Mar 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,22,,,,,27388,0,0,27388,
SAN DIEGO,May 2018,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,22,,,,,24174,0,0,24174,
SAN DIEGO,Nov 2017,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,16,,,,,20157,0,0,20157,
SAN DIEGO,Oct 2017,CACF,2018,Oceanside Unified School District,ATRISK_CHILD_SUPPER,22,,,,,28473,0,0,28473,
SAN DIEGO,Apr 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,21,,,,,1723,0,54,1777,
SAN DIEGO,Aug 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,23,,,,,1949,0,61,2010,
SAN DIEGO,Dec 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,19,,,,,1541,0,49,1590,
SAN DIEGO,Feb 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,20,,,,,1653,0,36,1689,
SAN DIEGO,Jan 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,21,,,,,1613,0,51,1664,
SAN DIEGO,Jul 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,21,,,,,1747,0,55,1802,
SAN DIEGO,Jun 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,21,,,,,1672,0,53,1725,
SAN DIEGO,Mar 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,22,,,,,1778,0,56,1834,
SAN DIEGO,May 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,23,,,,,1773,0,56,1829,
SAN DIEGO,Nov 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,20,,,,,1791,0,58,1849,
SAN DIEGO,Oct 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_BREAKFAST,22,,,,,1969,0,97,2066,
SAN DIEGO,Apr 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,21,,,,,1723,0,54,1777,
