"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_BREAKFAST_SEVERENEED",30,617,0,0,617
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_LUNCH",30,220,0,0,220
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM","NSLP_SNACK_AREAELIGIBLE",19,428,0,0,428
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_BREAKFAST_SEVERENEED",30,946,0,0,946
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_LUNCH",30,341,0,0,341
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN","NSLP_SNACK_AREAELIGIBLE",19,678,0,0,678
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"SAN DIEGO CENTER FOR CHILDREN","NSLP_BREAKFAST_SEVERENEED",19,214,60,167,441
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO CENTER FOR CHILDREN",NA,"SAN DIEGO CENTER FOR CHILDREN","NSLP_LUNCH",19,716,60,267,1043
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"BAYSIDE BLENDED COMMUNITY SCHOOL","NSLP_BREAKFAST",22,312,0,0,312
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"BAYSIDE BLENDED COMMUNITY SCHOOL","NSLP_LUNCH",22,312,0,0,312
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CAMP CUYAMACA","NSLP_BREAKFAST",18,1322,524,5312,7158
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CAMP CUYAMACA","NSLP_LUNCH",22,1561,638,6548,8747
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CHOICE COMMUNITY SCHOOL","NSLP_BREAKFAST",22,300,0,0,300
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CHOICE COMMUNITY SCHOOL","NSLP_LUNCH",22,300,0,0,300
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CTEC INDEPENDENT STUDY","NSLP_BREAKFAST",22,190,0,0,190
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"CTEC INDEPENDENT STUDY","NSLP_LUNCH",22,285,0,0,285
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"EAST COUNTY COMMUNITY SCHOOL","NSLP_BREAKFAST",22,342,0,0,342
2015-04-01,"2014-2015","NSLP",2015,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION",NA,"EAST COUNTY COMMUNITY SCHOOL","NSLP_LUNCH",22,348,0,0,348
