CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2015,SFSP,2016,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,12,18,22326,0,0,22326,22326,1240.3333,1241
SAN DIEGO,Summer Food Service Program (FNS418),Nov 2015,SFSP,2016,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,3,19,1337,0,0,1337,1337,70.3684,69
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,6,18,5600,0,0,5600,5600,311.1111,308
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,18,17654,0,0,17654,17654,980.7778,972
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,5,347,0,0,347,347,69.4,69
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Salvation Army-San Diego A California Corporation,CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,16,1985,0,0,1985,1985,124.0625,125
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Salvation Army-San Diego A California Corporation,CAMP,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,2,16,4760,0,0,4760,4760,297.5,298
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Salvation Army-San Diego A California Corporation,CAMP,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,16,2091,0,0,2091,2091,130.6875,131
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,16,338,0,0,338,338,21.125,453
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,9,16,6982,0,0,6982,6982,436.375,453
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,10,16,1286,0,0,1286,1286,80.375,562
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,10,16,7764,0,0,7764,7764,485.25,562
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"Vista, City of",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,19,1353,0,0,1353,1353,71.2105,70
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"Vista, City of",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,19,1627,0,0,1627,1627,85.6316,84
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Feeding America San Diego,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,11,393,0,0,393,393,35.7273,35
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,14,712,0,0,712,712,50.8571,374
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,9,14,4620,0,0,4620,4620,330,374
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_AM,SFSP_SNACK_AM_VENDED,1,14,1432,0,0,1432,1432,102.2857,100
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,1,4,800,0,0,800,800,200,200
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"University of California, San Diego",CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,9,426,0,0,426,426,47.3333,48
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"University of California, San Diego",CAMP,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,8,379,0,0,379,379,47.375,48
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"University of California, San Diego",CAMP,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,9,415,0,0,415,415,46.1111,47
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,1,10,0,0,10,10,10,10
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,7,9,709,0,0,709,709,78.7778,78
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,2,9,835,0,0,835,835,92.7778,91
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,4,9,649,0,0,649,649,72.1111,71
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,9,347,0,0,347,347,38.5556,38
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"Navy Region Southwest, Child and Youth Programs",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,3,14,920,0,0,920,920,65.7143,66
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2016,SFSP,2016,"Navy Region Southwest, Child and Youth Programs",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,3,14,1173,0,0,1173,1173,83.7857,84
