"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2016-2017",37,67967,6106256,"SAN DIEGO","ALPINE UNION ELEMENTARY","SHADOW HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",334,80,24,90,26.9,334,80,24,90,26.9,TRUE,"Elementary School"
"2016-2017",37,67967,6109086,"SAN DIEGO","ALPINE UNION ELEMENTARY","BOULDER OAKS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"1","5",270,48,17.8,59,21.9,270,48,17.8,59,21.9,TRUE,"Elementary School"
"2016-2017",37,67967,6109953,"SAN DIEGO","ALPINE UNION ELEMENTARY","MOUNTAIN VIEW LEARNING ACADEMY","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE","",NA,NA,"",FALSE,"K","8",78,19,24.4,19,24.4,78,19,24.4,19,24.4,TRUE,"Other"
"2016-2017",37,67967,6118723,"SAN DIEGO","ALPINE UNION ELEMENTARY","CREEKSIDE EARLY LEARNING CENTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"P","K",247,50,20.2,58,23.5,214,41,19.2,48,22.4,TRUE,"Elementary School"
"2016-2017",37,67983,117887,"SAN DIEGO","BORREGO SPRINGS UNIFIED","JUAN BAUTISTA DE ANZA","Unified School District","High Schools (Public)","TRADITIONAL","",NA,1021,"DIRECTLY FUNDED",TRUE,"7","12",59,25,42.4,25,42.4,57,25,43.9,25,43.9,TRUE,"High School"
"2016-2017",37,67983,131144,"SAN DIEGO","BORREGO SPRINGS UNIFIED","DIEGO SPRINGS ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL","",NA,1692,"DIRECTLY FUNDED",TRUE,"K","12",407,336,82.6,376,92.4,205,171,83.4,191,93.2,TRUE,"Elementary School"
"2016-2017",37,67983,134890,"SAN DIEGO","BORREGO SPRINGS UNIFIED","SAN DIEGO WORKFORCE INNOVATION HIGH","Unified School District","High Schools (Public)","TRADITIONAL","",NA,1832,"DIRECTLY FUNDED",TRUE,"9","12",14,12,85.7,13,92.9,8,7,87.5,8,100,TRUE,"High School"
"2016-2017",37,67983,3730447,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS HIGH","Unified School District","High Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"9","12",133,104,78.2,123,92.5,128,99,77.3,118,92.2,TRUE,"High School"
"2016-2017",37,67983,6037550,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"P","5",177,131,74,155,87.6,175,130,74.3,154,88,TRUE,"Elementary School"
"2016-2017",37,67983,6115315,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"6","8",101,72,71.3,85,84.2,101,72,71.3,85,84.2,TRUE,"Middle School"
"2016-2017",37,67991,1,"SAN DIEGO","CAJON VALLEY UNION","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"",NA,NA,NA,NA,"","",18,1,5.6,1,5.6,18,1,5.6,1,5.6,TRUE,NA
"2016-2017",37,67991,108563,"SAN DIEGO","CAJON VALLEY UNION","EJE ELEMENTARY ACADEMY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,683,"DIRECTLY FUNDED",TRUE,"K","5",537,317,59,408,76,513,304,59.3,391,76.2,TRUE,"Elementary School"
"2016-2017",37,67991,111005,"SAN DIEGO","CAJON VALLEY UNION","LOS COCHES CREEK MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"6","8",607,220,36.2,257,42.3,607,220,36.2,257,42.3,TRUE,"Middle School"
"2016-2017",37,67991,119255,"SAN DIEGO","CAJON VALLEY UNION","EJE MIDDLE ACADEMY","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",NA,1063,"DIRECTLY FUNDED",TRUE,"6","8",195,130,66.7,165,84.6,195,130,66.7,165,84.6,TRUE,"Middle School"
"2016-2017",37,67991,6037568,"SAN DIEGO","CAJON VALLEY UNION","ANZA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"K","5",569,508,89.3,533,93.7,549,494,90,517,94.2,TRUE,"Elementary School"
"2016-2017",37,67991,6037576,"SAN DIEGO","CAJON VALLEY UNION","BOSTONIA LANGUAGE ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"K","5",431,269,62.4,344,79.8,418,264,63.2,336,80.4,TRUE,"Elementary School"
"2016-2017",37,67991,6037584,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"6","8",929,858,92.4,900,96.9,929,858,92.4,900,96.9,TRUE,"Middle School"
"2016-2017",37,67991,6037592,"SAN DIEGO","CAJON VALLEY UNION","CHASE AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","5",741,655,88.4,689,93,725,642,88.6,674,93,TRUE,"Elementary School"
"2016-2017",37,67991,6037600,"SAN DIEGO","CAJON VALLEY UNION","CREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",137,49,35.8,63,46,135,48,35.6,62,45.9,TRUE,"Elementary School"
"2016-2017",37,67991,6037626,"SAN DIEGO","CAJON VALLEY UNION","EMERALD MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"6","8",537,489,91.1,517,96.3,537,489,91.1,517,96.3,TRUE,"Middle School"
"2016-2017",37,67991,6037634,"SAN DIEGO","CAJON VALLEY UNION","FLYING HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",571,291,51,352,61.6,556,282,50.7,341,61.3,TRUE,"Elementary School"
"2016-2017",37,67991,6037642,"SAN DIEGO","CAJON VALLEY UNION","FUERTE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",663,162,24.4,183,27.6,651,160,24.6,181,27.8,TRUE,"Elementary School"
"2016-2017",37,67991,6037659,"SAN DIEGO","CAJON VALLEY UNION","GREENFIELD MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"6","8",738,578,78.3,640,86.7,738,578,78.3,640,86.7,TRUE,"Middle School"
"2016-2017",37,67991,6037675,"SAN DIEGO","CAJON VALLEY UNION","JOHNSON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","5",623,583,93.6,606,97.3,610,572,93.8,594,97.4,TRUE,"Elementary School"
"2016-2017",37,67991,6037683,"SAN DIEGO","CAJON VALLEY UNION","LEXINGTON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","5",879,799,90.9,829,94.3,861,783,90.9,812,94.3,TRUE,"Elementary School"
"2016-2017",37,67991,6037691,"SAN DIEGO","CAJON VALLEY UNION","MADISON AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"K","5",635,465,73.2,527,83,619,452,73,514,83,TRUE,"Elementary School"
"2016-2017",37,67991,6037709,"SAN DIEGO","CAJON VALLEY UNION","MAGNOLIA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","5",510,416,81.6,461,90.4,502,409,81.5,454,90.4,TRUE,"Elementary School"
"2016-2017",37,67991,6037717,"SAN DIEGO","CAJON VALLEY UNION","MERIDIAN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"K","5",622,506,81.4,549,88.3,611,498,81.5,540,88.4,TRUE,"Elementary School"
"2016-2017",37,67991,6037725,"SAN DIEGO","CAJON VALLEY UNION","NARANCA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","5",824,749,90.9,776,94.2,805,733,91.1,760,94.4,TRUE,"Elementary School"
"2016-2017",37,67991,6037733,"SAN DIEGO","CAJON VALLEY UNION","RIOS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"K","5",317,191,60.3,242,76.3,312,188,60.3,239,76.6,TRUE,"Elementary School"
"2016-2017",37,67991,6037741,"SAN DIEGO","CAJON VALLEY UNION","W. D. HALL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"K","5",607,431,71,481,79.2,602,427,70.9,477,79.2,TRUE,"Elementary School"
"2016-2017",37,67991,6069082,"SAN DIEGO","CAJON VALLEY UNION","AVOCADO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",603,275,45.6,309,51.2,590,272,46.1,303,51.4,TRUE,"Elementary School"
"2016-2017",37,67991,6093207,"SAN DIEGO","CAJON VALLEY UNION","MONTGOMERY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,NA,"",FALSE,"6","8",828,666,80.4,725,87.6,828,666,80.4,725,87.6,TRUE,"Middle School"
"2016-2017",37,67991,6101794,"SAN DIEGO","CAJON VALLEY UNION","VISTA GRANDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",615,162,26.3,183,29.8,602,159,26.4,180,29.9,TRUE,"Elementary School"
"2016-2017",37,67991,6106025,"SAN DIEGO","CAJON VALLEY UNION","RANCHO SAN DIEGO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",601,228,37.9,263,43.8,590,225,38.1,260,44.1,TRUE,"Elementary School"
"2016-2017",37,67991,6110787,"SAN DIEGO","CAJON VALLEY UNION","JAMACHA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",504,239,47.4,285,56.5,489,233,47.6,277,56.6,TRUE,"Elementary School"
"2016-2017",37,67991,6112148,"SAN DIEGO","CAJON VALLEY UNION","BLOSSOM VALLEY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","5",536,132,24.6,155,28.9,527,131,24.9,154,29.2,TRUE,"Elementary School"
"2016-2017",37,67991,6112890,"SAN DIEGO","CAJON VALLEY UNION","HILLSDALE MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"6","8",1506,504,33.5,568,37.7,1506,504,33.5,568,37.7,TRUE,"Middle School"
"2016-2017",37,67991,6117295,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY COMMUNITY DAY","Elementary School District","District Community Day Schools","COMMUNITY DAY SCHOOL","",NA,NA,"",FALSE,"6","8",19,14,73.7,15,78.9,19,14,73.7,15,78.9,TRUE,"Other"
"2016-2017",37,67991,6118319,"SAN DIEGO","CAJON VALLEY UNION","CAJON VALLEY HOME","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE","",NA,NA,"",FALSE,"K","8",22,11,50,11,50,22,11,50,11,50,TRUE,"Other"
"2016-2017",37,68007,6037758,"SAN DIEGO","CARDIFF ELEMENTARY","ADA W. HARRIS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"3","6",367,37,10.1,46,12.5,367,37,10.1,46,12.5,TRUE,"Elementary School"
"2016-2017",37,68007,6037766,"SAN DIEGO","CARDIFF ELEMENTARY","CARDIFF ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","3",337,30,8.9,39,11.6,337,30,8.9,39,11.6,TRUE,"Elementary School"
"2016-2017",37,68023,1,"SAN DIEGO","CHULA VISTA ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,"",NA,NA,NA,NA,"","",9,0,0,0,0,9,0,0,0,0,TRUE,NA
"2016-2017",37,68023,101592,"SAN DIEGO","CHULA VISTA ELEMENTARY","HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",1074,168,15.6,266,24.8,1048,166,15.8,262,25,TRUE,"Elementary School"
"2016-2017",37,68023,105957,"SAN DIEGO","CHULA VISTA ELEMENTARY","LIBERTY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",739,80,10.8,125,16.9,739,80,10.8,125,16.9,TRUE,"Elementary School"
"2016-2017",37,68023,105965,"SAN DIEGO","CHULA VISTA ELEMENTARY","SALT CREEK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",968,83,8.6,122,12.6,968,83,8.6,122,12.6,TRUE,"Elementary School"
"2016-2017",37,68023,108662,"SAN DIEGO","CHULA VISTA ELEMENTARY","VETERANS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",892,129,14.5,196,22,892,129,14.5,196,22,TRUE,"Elementary School"
"2016-2017",37,68023,114009,"SAN DIEGO","CHULA VISTA ELEMENTARY","WOLF CANYON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",917,109,11.9,169,18.4,916,109,11.9,169,18.4,TRUE,"Elementary School"
"2016-2017",37,68023,119594,"SAN DIEGO","CHULA VISTA ELEMENTARY","LEONARDO DA VINCI HEALTH SCIENCES CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,1082,"DIRECTLY FUNDED",TRUE,"K","6",308,106,34.4,129,41.9,308,106,34.4,129,41.9,TRUE,"Elementary School"
"2016-2017",37,68023,124321,"SAN DIEGO","CHULA VISTA ELEMENTARY","HOWARD GARDNER COMMUNITY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,1308,"DIRECTLY FUNDED",TRUE,"K","8",212,149,70.3,192,90.6,208,146,70.2,188,90.4,TRUE,"Elementary School"
"2016-2017",37,68023,127431,"SAN DIEGO","CHULA VISTA ELEMENTARY","CAMARENA (ENRIQUE S.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",1014,165,16.3,246,24.3,1014,165,16.3,246,24.3,TRUE,"Elementary School"
"2016-2017",37,68023,6037824,"SAN DIEGO","CHULA VISTA ELEMENTARY","CASTLE PARK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",381,291,76.4,342,89.8,381,291,76.4,342,89.8,TRUE,"Elementary School"
"2016-2017",37,68023,6037832,"SAN DIEGO","CHULA VISTA ELEMENTARY","ALLEN (ELLA B.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",393,96,24.4,139,35.4,393,96,24.4,139,35.4,TRUE,"Elementary School"
"2016-2017",37,68023,6037840,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROHR (FRED H.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",321,211,65.7,257,80.1,320,211,65.9,257,80.3,TRUE,"Elementary School"
"2016-2017",37,68023,6037857,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROGERS (GREG) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",450,180,40,261,58,448,180,40.2,261,58.3,TRUE,"Elementary School"
"2016-2017",37,68023,6037865,"SAN DIEGO","CHULA VISTA ELEMENTARY","HALECREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",503,164,32.6,240,47.7,488,164,33.6,239,49,TRUE,"Elementary School"
"2016-2017",37,68023,6037873,"SAN DIEGO","CHULA VISTA ELEMENTARY","HARBORSIDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",700,512,73.1,587,83.9,677,497,73.4,569,84,TRUE,"Elementary School"
"2016-2017",37,68023,6037881,"SAN DIEGO","CHULA VISTA ELEMENTARY","COOK (HAZEL GOES) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",322,204,63.4,246,76.4,322,204,63.4,246,76.4,TRUE,"Elementary School"
"2016-2017",37,68023,6037899,"SAN DIEGO","CHULA VISTA ELEMENTARY","HILLTOP DRIVE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",563,285,50.6,373,66.3,563,285,50.6,373,66.3,TRUE,"Elementary School"
"2016-2017",37,68023,6037907,"SAN DIEGO","CHULA VISTA ELEMENTARY","LAUDERBACH (J. CALVIN) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",800,578,72.3,683,85.4,791,572,72.3,676,85.5,TRUE,"Elementary School"
"2016-2017",37,68023,6037915,"SAN DIEGO","CHULA VISTA ELEMENTARY","MONTGOMERY (JOHN J.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",344,280,81.4,318,92.4,328,269,82,303,92.4,TRUE,"Elementary School"
"2016-2017",37,68023,6037923,"SAN DIEGO","CHULA VISTA ELEMENTARY","KELLOGG (KARL H.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",328,192,58.5,245,74.7,315,184,58.4,235,74.6,TRUE,"Elementary School"
"2016-2017",37,68023,6037931,"SAN DIEGO","CHULA VISTA ELEMENTARY","RICE (LILIAN J.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",650,445,68.5,540,83.1,649,445,68.6,539,83.1,TRUE,"Elementary School"
"2016-2017",37,68023,6037949,"SAN DIEGO","CHULA VISTA ELEMENTARY","LOMA VERDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",477,286,60,361,75.7,456,277,60.7,349,76.5,TRUE,"Elementary School"
"2016-2017",37,68023,6037956,"SAN DIEGO","CHULA VISTA ELEMENTARY","FEASTER (MAE L.) CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,121,"DIRECTLY FUNDED",FALSE,"K","8",1235,907,73.4,1060,85.8,1221,896,73.4,1047,85.7,TRUE,"Elementary School"
"2016-2017",37,68023,6037964,"SAN DIEGO","CHULA VISTA ELEMENTARY","FINNEY (MYRTLE S.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",363,170,46.8,248,68.3,362,169,46.7,247,68.2,TRUE,"Elementary School"
"2016-2017",37,68023,6037972,"SAN DIEGO","CHULA VISTA ELEMENTARY","PALOMAR ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",363,212,58.4,273,75.2,363,212,58.4,273,75.2,TRUE,"Elementary School"
"2016-2017",37,68023,6037980,"SAN DIEGO","CHULA VISTA ELEMENTARY","MUELLER CHARTER (ROBERT L.)","Elementary School District","K-12 Schools (Public)","TRADITIONAL","Provision 2",NA,64,"DIRECTLY FUNDED",FALSE,"K","12",1364,897,65.8,1093,80.1,1349,886,65.7,1082,80.2,TRUE,"Elementary School"
"2016-2017",37,68023,6037998,"SAN DIEGO","CHULA VISTA ELEMENTARY","ROSEBANK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",568,330,58.1,420,73.9,567,330,58.2,420,74.1,TRUE,"Elementary School"
"2016-2017",37,68023,6038004,"SAN DIEGO","CHULA VISTA ELEMENTARY","SILVER WING ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",438,265,60.5,344,78.5,438,265,60.5,344,78.5,TRUE,"Elementary School"
"2016-2017",37,68023,6038012,"SAN DIEGO","CHULA VISTA ELEMENTARY","SUNNYSIDE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",456,105,23,147,32.2,445,103,23.1,144,32.4,TRUE,"Elementary School"
"2016-2017",37,68023,6038020,"SAN DIEGO","CHULA VISTA ELEMENTARY","VALLE LINDO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",474,189,39.9,281,59.3,473,189,40,281,59.4,TRUE,"Elementary School"
"2016-2017",37,68023,6038038,"SAN DIEGO","CHULA VISTA ELEMENTARY","VALLEY VISTA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",622,217,34.9,327,52.6,622,217,34.9,327,52.6,TRUE,"Elementary School"
"2016-2017",37,68023,6038046,"SAN DIEGO","CHULA VISTA ELEMENTARY","VISTA SQUARE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",648,479,73.9,548,84.6,633,469,74.1,535,84.5,TRUE,"Elementary School"
"2016-2017",37,68023,6066971,"SAN DIEGO","CHULA VISTA ELEMENTARY","PARKVIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",376,121,32.2,177,47.1,363,117,32.2,172,47.4,TRUE,"Elementary School"
"2016-2017",37,68023,6069090,"SAN DIEGO","CHULA VISTA ELEMENTARY","JUAREZ-LINCOLN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",552,300,54.3,400,72.5,549,298,54.3,398,72.5,TRUE,"Elementary School"
"2016-2017",37,68023,6070825,"SAN DIEGO","CHULA VISTA ELEMENTARY","LOS ALTOS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",356,217,61,266,74.7,339,206,60.8,254,74.9,TRUE,"Elementary School"
"2016-2017",37,68023,6095020,"SAN DIEGO","CHULA VISTA ELEMENTARY","TIFFANY (BURTON C.) ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"K","6",520,131,25.2,196,37.7,519,130,25,195,37.6,TRUE,"Elementary School"
"2016-2017",37,68023,6095038,"SAN DIEGO","CHULA VISTA ELEMENTARY","OTAY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,"",FALSE,"K","6",552,360,65.2,448,81.2,552,360,65.2,448,81.2,TRUE,"Elementary School"
