"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2016-2017",37,10371,115998,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN PASQUAL ACADEMY","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL","",NA,NA,"",FALSE,"9","12",72,72,100,72,100,67,67,100,67,100,TRUE,"Other"
"2016-2017",37,10371,120485,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","DAVILA DAY","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","",NA,NA,"",FALSE,"P","8",29,7,24.1,7,24.1,27,7,25.9,7,25.9,TRUE,"Other"
"2016-2017",37,10371,120493,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","MONARCH","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL","",NA,NA,"",FALSE,"K","12",283,283,100,283,100,279,279,100,279,100,TRUE,"Other"
"2016-2017",37,10371,128520,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COMMUNITY","County Office of Education (COE)","County Community","COUNTY COMMUNITY SCHOOL","",NA,NA,"",FALSE,"K","12",598,518,86.6,518,86.6,411,354,86.1,354,86.1,TRUE,"Other"
"2016-2017",37,10371,128538,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY COURT","County Office of Education (COE)","Juvenile Court Schools","JUVENILE COURT SCHOOL","",NA,NA,"",FALSE,"K","12",445,445,100,445,100,387,387,100,387,100,TRUE,"Other"
"2016-2017",37,10371,1996545,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","NORTH COASTAL CONSORTIUM SCHOOLS","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","",NA,NA,"",FALSE,"P","12",90,32,35.6,33,36.7,84,32,38.1,33,39.3,TRUE,"Other"
"2016-2017",37,10371,6069355,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","SAN DIEGO COUNTY SPECIAL EDUCATION","County Office of Education (COE)","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL","",NA,NA,"",FALSE,"K","12",44,12,27.3,15,34.1,33,7,21.2,9,27.3,TRUE,"Other"
"2016-2017",37,10371,6119119,"SAN DIEGO","SAN DIEGO COUNTY OFFICE OF EDUCATION","LITERACY FIRST CHARTER","County Office of Education (COE)","K-12 Schools (Public)","TRADITIONAL","",NA,405,"DIRECTLY FUNDED",TRUE,"K","12",1638,593,36.2,705,43,1629,590,36.2,702,43.1,TRUE,"Elementary School"
"2016-2017",37,67967,6037519,"SAN DIEGO","ALPINE UNION ELEMENTARY","ALPINE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"1","5",260,98,37.7,116,44.6,260,98,37.7,116,44.6,TRUE,"Elementary School"
"2016-2017",37,67967,6037535,"SAN DIEGO","ALPINE UNION ELEMENTARY","JOAN MACQUEEN MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","",NA,NA,"",FALSE,"6","8",556,119,21.4,143,25.7,556,119,21.4,143,25.7,TRUE,"Middle School"
