CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,3,45,0,0,45,45,15,15
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,7,7,563,0,0,563,563,80.4286,100
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,7,7,148,0,0,148,148,21.1429,100
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,5,17,2458,0,0,2458,2458,144.5882,142
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,3,7,716,0,0,716,716,102.2857,101
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,6,342,0,0,342,342,57,56
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,7,16,5730,0,0,5730,5730,358.125,358
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,16,15985,0,0,15985,15985,999.0625,993
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,"University of California, San Diego",CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,6,232,0,0,232,232,38.6667,39
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,"University of California, San Diego",CAMP,SFSP_LUNCH,SFSP_LUNCH_VENDED,3,6,233,0,0,233,233,38.8333,39
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,"University of California, San Diego",CAMP,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,8,308,0,0,308,308,38.5,39
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,16,733,0,0,733,733,45.8125,45
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,16,1625,0,0,1625,1625,101.5625,344
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,9,16,3974,0,0,3974,3974,248.375,344
