"fnsreportdate","academicyear","programcode","programgroupyear","county","sponsorname","siteid","sitename","mealtypecode","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal"
2016-08-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_BREAKFAST","3",2,0,1,3
2016-08-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","2",193,24,153,370
2016-08-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_SNACK_AREAELIGIBLE","2",105,0,0,105
2016-09-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_BREAKFAST","22",41,16,74,131
2016-09-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","22",1439,283,1612,3334
2016-09-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_SNACK_AREAELIGIBLE","22",1256,0,0,1256
2016-10-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_BREAKFAST","20",84,29,46,159
2016-10-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","20",1421,223,1143,2787
2016-10-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_SNACK_AREAELIGIBLE","11",172,0,0,172
2016-11-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_BREAKFAST_SEVERENEED","16",42,6,22,70
2016-11-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_LUNCH","16",726,93,521,1340
2016-11-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_SNACK_AREAELIGIBLE","16",7,0,0,7
2016-12-01,"2016-2017","NSLP",2017,"SAN DIEGO","ALBERT EINSTEIN ACADEMIES",NA,"ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","NSLP_BREAKFAST_SEVERENEED","12",43,8,14,65
