County,Claim Month/ Year,ProgramCode,Year,Name,Meal Group,Days Served,Free Eligible,Reduced Eligible,Paid Eligible,Enroll,Free Meals,Reduced Meals,Paid Meals,Total Meals,Average Daily Meals
SAN DIEGO,Oct 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,23,57,4,5,66,692,49,60,801,34.8261
SAN DIEGO,Oct 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,23,57,4,5,66,823,58,72,953,41.4348
SAN DIEGO,Oct 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,23,57,4,5,66,435,31,38,504,21.913
SAN DIEGO,Oct 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,23,29,0,1,30,29,0,1,30,1.3043
SAN DIEGO,Oct 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,23,29,0,1,30,73,0,2,75,3.2609
SAN DIEGO,Oct 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,23,29,0,1,30,466,0,16,482,20.9565
SAN DIEGO,Nov 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,18,57,4,5,66,598,42,52,692,38.4444
SAN DIEGO,Nov 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,18,57,4,5,66,631,44,56,731,40.6111
SAN DIEGO,Nov 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,18,57,4,5,66,307,22,27,356,19.7778
SAN DIEGO,Nov 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,18,29,0,1,30,42,0,1,43,2.3889
SAN DIEGO,Nov 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,18,29,0,1,30,61,0,2,63,3.5
SAN DIEGO,Nov 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,18,29,0,1,30,262,0,9,271,15.0556
SAN DIEGO,Dec 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,67,7,1,75,670,70,10,750,39.4737
SAN DIEGO,Dec 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,67,7,1,75,797,83,12,892,46.9474
SAN DIEGO,Dec 2014,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,67,7,1,75,402,42,6,450,23.6842
SAN DIEGO,Dec 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,25,0,2,27,37,0,3,40,2.1053
SAN DIEGO,Dec 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,19,25,0,2,27,413,0,33,446,23.4737
SAN DIEGO,Dec 2014,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,19,25,0,2,27,307,0,25,332,17.4737
SAN DIEGO,Jan 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,67,7,1,75,681,71,10,762,36.2857
SAN DIEGO,Jan 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,67,7,1,75,801,84,12,897,42.7143
SAN DIEGO,Jan 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,67,7,1,75,414,43,6,463,22.0476
SAN DIEGO,Jan 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,25,0,2,27,47,0,4,51,2.4286
SAN DIEGO,Jan 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,25,0,2,27,352,0,28,380,18.0952
SAN DIEGO,Jan 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,25,0,2,27,349,0,28,377,17.9524
SAN DIEGO,Feb 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,67,7,1,75,750,78,12,840,44.2105
SAN DIEGO,Feb 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,67,7,1,75,815,85,12,912,48
SAN DIEGO,Feb 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,67,7,1,75,547,57,8,612,32.2105
SAN DIEGO,Feb 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,25,0,2,27,28,0,2,30,1.5789
SAN DIEGO,Feb 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,19,25,0,2,27,76,0,6,82,4.3158
SAN DIEGO,Feb 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,19,25,0,2,27,462,0,37,499,26.2632
SAN DIEGO,Mar 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,67,7,1,75,875,91,14,980,44.5455
SAN DIEGO,Mar 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,67,7,1,75,1016,106,15,1137,51.6818
SAN DIEGO,Mar 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,67,7,1,75,539,56,8,603,27.4091
SAN DIEGO,Mar 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,22,25,0,2,27,27,0,2,29,1.3182
SAN DIEGO,Mar 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,22,25,0,2,27,33,0,3,36,1.6364
SAN DIEGO,Mar 2015,CACF,2015,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,22,25,0,2,27,357,0,29,386,17.5455
SAN DIEGO,Apr 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,22,84,7,4,95,935,78,44,1057,48.0455
SAN DIEGO,Apr 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,22,84,7,4,95,1141,95,54,1290,58.6364
SAN DIEGO,Apr 2015,CACF,2015,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,22,84,7,4,95,751,63,35,849,38.5909
