"county","fnsreportdate","fnssubtype","programcode","programgroupyear","sponsorname","sponsortype","mealgroupcode","mealtypecode","siteqty","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","mlsservedfinal","avgdailymeals","avgdailypartic","academicyear"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",10,16,1286,0,0,1286,1286,80.375,562,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",10,16,7764,0,0,7764,7764,485.25,562,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"VISTA, CITY OF","GOVERMENT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,19,1353,0,0,1353,1353,71.2105,70,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"VISTA, CITY OF","GOVERMENT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",1,19,1627,0,0,1627,1627,85.6316,84,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,11,393,0,0,393,393,35.7273,35,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",9,14,712,0,0,712,712,50.8571,374,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",9,14,4620,0,0,4620,4620,330,374,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_AM","SFSP_SNACK_AM_VENDED",1,14,1432,0,0,1432,1432,102.2857,100,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",1,4,800,0,0,800,800,200,200,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","CAMP","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",1,9,426,0,0,426,426,47.3333,48,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","CAMP","SFSP_LUNCH","SFSP_LUNCH_VENDED",1,8,379,0,0,379,379,47.375,48,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","CAMP","SFSP_SUPPER","SFSP_SUPPER_VENDED",1,9,415,0,0,415,415,46.1111,47,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,1,10,0,0,10,10,10,10,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",7,9,709,0,0,709,709,78.7778,78,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",2,9,835,0,0,835,835,92.7778,91,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",4,9,649,0,0,649,649,72.1111,71,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_SUPPER","SFSP_SUPPER_SELFPREP",1,9,347,0,0,347,347,38.5556,38,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","GOVERMENT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",3,14,920,0,0,920,920,65.7143,66,"2015-2016"
"SAN DIEGO",2016-06-01,"Summer Food Service Program (FNS418)","SFSP",2016,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","GOVERMENT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",3,14,1173,0,0,1173,1173,83.7857,84,"2015-2016"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,13,337,0,0,337,337,25.9231,26,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",9,20,1212,0,0,1212,1212,60.6,287,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",9,20,4634,0,0,4634,4634,231.7,287,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_AM","SFSP_SNACK_AM_VENDED",1,5,130,0,0,130,130,26,26,"2016-2017"
