AgencyRef,AgencyName,Addr1,City,Zip,City Council District,County Board of Supervisor District,State Senate District,State Assembly District,Federal Congressional District
EFAP-D1017,Imperial Beach United Methodist Church,455 Palm Avenue,Imperial Beach,91932,,,,,
EFAP-D2005,In His Steps Christian Home,1619 La Brea Street,Ramona,92065,,,,,
SK-008,Interfaith Community Services,550 West Washington Avenue,Escondido,92025,,,,,
CFDP-1851,International Relief Teams,4560 Alvarado Canyon Road,San Diego,92120,,,,,
CFDP-1304,Islamic Foundation of San Diego,3872 50th Street ,San Diego,92105,,,,,
CFDP-3002,It's All About the Kids Foundation,2926 Market Street,San Diego,92102,,,,,
CFDP-1500,Jamul Community Church,14866 Lyons Valley Road,Jamul,91935,,,,,
CFDP-1914,Jesus Cares Ministry,1527 East Main Street,El Cajon,92021,,,,,
CFD-3040,Jewish Family Service at Camp Pendleton (mobile pantry),TBD,Camp Pendleton,92058,,,,,
EFAP-D3040,Jewish Family Service of San Diego,8804 Balboa Avenue,San Diego,92123,,,,,
SK-14,Jewish Family Service of San Diego - Migrant Shelter,1555 6th Avenue,San Diego,92101,,,,,
BP-1588-11,John Adams Elementary (SDUSD Traditional),4672 35th Street,San Diego,92116,,,,,
BP-1588-25,John Montgomery Elementary (Chula Vista Elem),1601 4th Ave.,Chula Vista,91911,,,,,
BP-1588-50,Joli Ann Leightag Elementary (San Marcos Unified),653 Poinsettia Ave,San Marcos,92081,,,,,
CSFP-0106,Joslyn Senior Center,210 Park Avenue,Escondido,92025,,,,,
CFD-151315,Journey Community Church,8363 Center Drive,La Mesa,91942,,,,,
CFDP-1812,Journey Community Church,8363 Center Drive,La Mesa,91942,,,,,
CFDP-1879,Journey to Freedom Inc.,7024 Amherst Street,San Diego,92115,,,,,
CFDP-2038,Julian Oaks Ministries ,1298 Banner Rd,Julian ,92036,,,,,
CFDP-1792,Just Call Us Volunteers,4445 Clairemont Mesa Boulevard,San Diego,92117,,,,,
BP-1588-38,Kimball Elementary (National School District),302 West 18th St. ,National City,91950,,,,,
BP-1588-06,Kimbrough Elementary (SDUSD Year Round),321 Hoitt Street,San Diego,92102,,,,,
BP-1588-43,King Chavez Academy of Excellence (SDUSD Traditional),2716 Marcy Avenue,San Diego ,92113,,,,,
CFDP-1911,Kitchens for Good,404 Euclid Avenue,San Diego,92114,,,,,
CFDP-1442,La Maestra Community Health Centers,4060 Fairmount Avenue,San Diego,92105,,,,,
EFAP-D2033,La Mesa Seventh Day Adventist Community Church,4207 Spring Gardens Road,La Mesa,91941,,,,,
CSFP-0104,La Mesa Springs Apartments,8070 Orange Avenue,La Mesa,91941,,,,,
BP-1588-21,La Mirada Elementary (formerlyAlvinDunn (San Marcos Unified),3697 La Mirada Dr.,San Marcos,92078,,,,,
EFAP-D1031,Ladle Fellowship,320 Date Street,San Diego,92101,,,,,
SK-004,Ladle Fellowship,320 Date Steet,San Diego,92101,,,,,
CFDP-1948,Lake Morena Community Church,29765 Oak Drive,Campo,91906,,,,,
CSFP-0145,Lakeshore Villa Apartments ,6888 Golfcrest Drive,San Diego,92119,,,,,
CSFP-0097,Lakeside Apartments,12219 Roberts Way,Lakeside,92040,,,,,
EFAP-D2047,Lakeside Christian Helps Center,9931 Channel Road,Lakeside,92040,,,,,
CFDP-1703,Latter Rain Mission and Training Center,750 13th Street,Imperial Beach,91932,,,,,
CSFP-0116,Laurel Apartments,10122 Buena Vista Avenue,Santee,92071,,,,,
CFDP-1778,Lemon Grove Foursquare,2115 Lemon Grove Ave,Lemon Grove,91945,,,,,
CFDP-1650-2,Leon's Place LLC,1742 Kearney Avenue,San Diego,92113,,,,,
CFD-151317,LGBT Community Center,3909 Centre St.,San Diego,92103,,,,,
CSFP-0107,LGBT Community Center ,3911 Park Boulevard,San Diego,92103,,,,,
BP-1588-22,Libby Elementary (Oceanside Unified),423 W. Redondo Dr. ,Oceanside,92057,,,,,
CFDP-1929,Life Christian Center (Life Acts),7015 Alamitos Avenue,Chula Vista,91911,,,,,
BP-1588-30,Linda Vista Elementary (SDUSD Year Round),2772 Ulric St. ,San Diego ,92111,,,,,
CFDP-3060,Living Rock Christian Church,545 East Naples Street,Chula Vista,91911,,,,,
CFDP-1235,LJC Mercy Ministries,9140 Ackard Street,Spring Valley,91977,,,,,
CFDP-3058,Logan Temple A.M.E Zion Church,302 South 32nd Street,San Diego,92113,,,,,
CSFP-0149,Los Arcos Apartments,12740 Gateway Park Road,Poway,92064,,,,,
BP-1588-73,Los Penasquitos (Poway Unified),14125 Cuca St,San Diego,92129,,,,,
CFDP-3078,Love on Your Back,3597 Kellington Court,Oceanside,92056,,,,,
CFDP-3048,"Loving the Elderly, Inc",5001 Macario Drive,Oceanside,92057,,,,,
EFAP-D1034,Lutheran Soc Services of So Cal  - Project Hand (E-site),580 Hilltop Drive,Chula Vista,91910,,,,,
EFAP-D1009,Lutheran Soc Services of So Cal  - Project Hand (Mass),580 Hilltop Drive,Chula Vista,91910,,,,,
CSFP-0081,MAAC Project - Chula Vista,1355 Third Avenue,Chula Vista,91910,,,,,
VCH-2041,MAAC Project Head Start San Marcos,Food Bank Voucher Program,San Marcos,92069-1433,,,,,
EFAP-D5009,MAAC Project Laurel Tree Apartments,1307 Laurel Tree Lane,Carlsbad,92011,,,,,
EFAP-D4014,MAAC Project Mercado Apartments,2001 Newton Avenue,San Diego,92113,,,,,
EFAP-D4035,MAAC Project President John Adams Manor Apartments,5410 Bayview Heights Place,San Diego,92105,,,,,
EFAP-D2027,MAAC Project San Martin de Porres Apartments,9119 Jamacha Road,Spring Valley,91977,,,,,
EFAP-D2044,MAAC Project Villa Lakeshore Apartments,12606 Lakeshore Drive,Lakeside,92040,,,,,
CFDP-3064,MAAC San Marcos - Diapers,800 Las Vallescitos Boulevard,San Marcos,92069,,,,,
CSFP-0135,Magnolia Adult Day Care Center ,490 North Magnolia Avenue,El Cajon,92020,,,,,
CFDP-1096,Mama's Kitchen,3960 Home Avenue,San Diego,92105,,,,,
CFDP-1146,Maranatha Seventh Day Adventist Church,6065 Skyline Drive,San Diego,92114,,,,,
BP-1588-31,Mary Fay Pendleton Elementary (Fallbrook Union),110 Marine Dr. ,Oceanside,92058,,,,,
BP-1588-04,Maryland Elementary (Vista Unified),700 North Avenue,Vista,92083,,,,,
BP-1588-44,Mason Elementary (SDUSD Traditional),10340 San Ramon Dr. ,San Diego ,92126,,,,,
EFAP-D6002,Meals-on-Wheels of San Diego County (North Coastal),930 Boardwalk,San Marcos,92078,,,,,
CSFP-0134,Meridian Baptist Church -CSFP ,660 S 3rd Street,El Cajon,92019,,,,,
CFD-3044,Mesa College (mobile pantry),7250 Mesa College Drive,San Diego,92111,,,,,
CSFP-0142,Mesa View Baptist Church,13230 Pomerado Road,Poway,92064,,,,,
EFAP-D1037,Mesa View Baptist Church,13230 Pomerado Road,Poway,92064,,,,,
EFAP-D4046,Metro GNC (Meade Site),3295 Meade Avenue,San Diego,92116,,,,,
EFAP-D1003,Metro Good Neighbor Center (Nestor),1120 Nestor Way,San Diego,92154,,,,,
BP-1588-74,Midland Elementary (Poway Unified),13910 Midland Rd,Poway,92064,,,,,
CFDP-1521,Military Outreach Ministry - South,4426 Harbinson Avenue,La Mesa,91942,,,,,
CFDP-3054,Ministerio Tiempo Nuevo,2074 El Prado Avenue,Lemon Grove,91945,,,,,
CSFP-0143,Mira Mesa Senior Center,8460 Miramesa Boulevard,San Diego,92126,,,,,
CFDP-2094,MiraCosta College,1 Barnard Drive,Oceanside,92056,,,,,
CFD-2095,MiraCosta College Community Learning Center (mobile pantry),1831 Mission Avenue,Oceanside,92058,,,,,
CFD-2094,MiraCosta College Oceanside Campus (mobile pantry),One Barnard Drive,Oceanside,92056,,,,,
CFDP-3051,"Miramar College Foundation, INC.",10440 Black Mountain Road,San Diego,92126,,,,,
BP-1588-23,Mission Elementary (Oceanside Unified),2100 Mission Ave,Oceanside,92058,,,,,
VCH-2044,Mission Hills Church ,Food Bank Voucher Program,San Marcos,92069,,,,,
CFDP-2045,Mission San Antonio De Pala Catholic Church,3015 Pala Mission Road,Pala,92059,,,,,
CFDP-3062,Mission San Luis Rey Parish,4070 Mission Avenue,Oceanside,92057,,,,,
CFDP-1691,Mission Village Christian Fellowship,2650 Melbourne Drive,San Diego,92123,,,,,
CFDP-1831,Monte Vista High PTSA,3230 Sweetwater Springs Boulevard,Spring Valley,91977,,,,,
OTG-0007,Morse High School,6905 Skyline Dr,San Diego,92114,,,,,
CFDP-1668,Mountain Health & Community Services Incorporated,976 Sheridan Road,Campo,91906,,,,,
CSFP-0126,Mountain View Community Center ,641 S Boundary Street,San Diego,92113,,,,,
EFAP-D5035,"Movement, The",1609 Capalina Road,San Marcos,92069,,,,,
CFD-2047,"Movement, The (Distribution)",1609 Capalina Road,San Marcos,92069,,,,,
CFDP-1680,Mt Manna,2898 Highway 78,Julian,92036,,,,,
EFAP-D3038,Mt Moriah Christian Church,7055 Carroll Road,San Diego,92121,,,,,
CFDP-1928,Murphy Canyon Military Bread Ministry,10881 Tierrasanta Boulevard,San Diego,92124,,,,,
EFAP-D1023,National City Collaborative 18th Street,1300 E.14th St.,National City,91950,,,,,
CSFP-0108,National City Senior Center,1221 D Avenue,National City,91950,,,,,
CFDP-1533,Neighborhood House Association Friendship Clubhouse,286 Euclid Ave ,San Diego,92114,,,,,
CFDP-3022,Neighborhood House Association Project In-Reach,286 Euclid Avenue,San Diego,92111,,,,,
CFDP-3031,Neighborhood House Association-Senior Center,795 South Boundary Street,San Diego,92113,,,,,
EFAP-D1005,Nestor Methodist Church,1120 Nestor Way,San Diego,92154,,,,,
CFDP-1947,"New Alternatives, Inc.- Transitional Housing Program Plus",2535 Kettner Blvd,San Diego,92101,,,,,
CFDP-1917,New Gateway Solutions Corporation,49 Third Avenue,Chula Vista,91910,,,,,
CFDP-3045,New Hope Community Church,2525 East Valley Parkway,Escondido,92027,,,,,
CFDP-1495,New Hope Friendship Baptist,2205 Harrison Avenue,San Diego,92113,,,,,
EFAP-D4038,New Hope Seventh Day Adventist Church,2420 52nd Street,San Diego,92105,,,,,
EFAP-D2052,New Life Baptist Church,9255 Lamar Street,Spring Valley,91977,,,,,
EFAP-D1036,New Life Christian Covenant Church,2130 Saipan Drive,San Diego,92139,,,,,
CFDP-2048,New Song Community Church ,3985 Mission Avenue ,Oceanside,92058,,,,,
CFD-1840,New Vision Christian Fellowship,4353 Park Boulevard,San Diego,92103,,,,,
CFDP-1840,New Vision Christian Fellowship,5310 Orange Ave,San Diego,92115,,,,,
CFDP-1906,Next Steps/NAMI San Diego,3851 Rosecrans Street,San Diego,92110,,,,,
CFDP-3069,Nile Sisters,5532 El Cajon Blvd ,San Diego ,92115,,,,,
CFDP-2036,North City Church,11717 Poway Road,Poway,92064,,,,,
CFD-20361,North City Church (Distribution),11717 Poway Road,Poway,92064,,,,,
CFDP-1895,North County Community Services ,1557 Grand Avenue ,San Marcos,92078,,,,,
CFDP-2077,North County Food Bank Emergency Vouchers ,680 Rancheros Drive ,San Marcos,92069,,,,,
CFDP-3074,North County Health Services WIC Program,150 Valpreda Road,San Marcos,92069,,,,,
CFDP-2090,North County Lifeline,200 Michigan Avenue,Vista,92084,,,,,
CFDP-1892,North County Sober Living,2315 Littler Lane,Oceanside,92056,,,,,
CFDP-1920,North Park Apostolic Church,2515 Lemon Grove Avenue,Lemon Grove,91945,,,,,
JOYSD-1532,North Park Lions Club,3927 Utah Street,San Diego,92104,,,,,
CFDP-3020,Nourish North County,3171 El Lando Ct,Carlsbad,92056,,,,,
CFDP-1123,Oak Hill Residential Care,612 Tranquility Glen,Escondido,92027,,,,,
BP-1588-68,Oak Park Music Conservatory (SDUSD),2606 54th St,San Diego,92105,,,,,
BP-1588-10,Ocean Beach Elementary (SDUSD Traditional),4741  Santa Monica Ave,San Diego,92107,,,,,
JOY-1935,Ocean Beach Town Council - Christmas,P.O. Box 7225,San Diego,92167,,,,,
CSFP-0049,Oceanside Seniors Center,454 Country Club Lane,Oceanside,92054,,,,,
CSFP-0139,Oceanside Silvercrest  Apartments,3839 Lake Boulevard,Oceanside,92056,,,,,
EFAP-D4062,Old Town Community Church,2444 Congress Ave,San Diego,92110,,,,,
EFAP-D1006,Oxford Terrace Apartments,555 Oxford Street,Chula Vista,91911,,,,,
CFDP-2086,Pacific Southwest Community Development Corporation,16935 West Bernardo Drive,San Diego,92127,,,,,
CFDP-3004,Palomar Community College District,1140 West Mission Road,San Marcos,92069,,,,,
CFDP-1375,Palomar Korean Church,170 Bosstick Boulevard,San Marcos,92069,,,,,
CSFP-0153,Paradise Creek ,2120 Hoover Avenue,National City,91950,,,,,
CFDP-1735,Paradise Valley Seventh Day Adventist,8783 Jamacha Road,Spring Valley,91977,,,,,
CFDP-1932,PATH,1250 Sixth Avenue,San Diego,92101,,,,,
SK-013,PATH,1250 Sixth Avenue,San Diego,92101,,,,,
CFDP-1428,Pathfinders of San Diego,2980 Cedar Street,San Diego,92102,,,,,
CFDP-2080,Pauma Valley Community Church,P.O. Box 345,Pauma Valley,92061,,,,,
CFD-2080,"Pauma Valley Community Church
 (Distribution)","14715 CA-76
",Pauma Valley,92061,,,,,
CFDP-3015,Paving Great Futures,7080 Saranac Street,La Mesa,91942,,,,,
PET-1508,PAWS San Diego a program of San Diego Humane Society,6160 Fairmont Avenue,San Diego,92120,,,,,
CFDP-1133,Pentecostal Church of God,1402 Hemlock Avenue,Imperial Beach,91932,,,,,
EFAP-D5012,Pilgrim United Church of Christ,2020 Chestnut Avenue,Carlsbad,92008,,,,,
CSFP-0137,Plaza City Apartments ,1535 E Plaza Boulevard,National City,91950,,,,,
BP-1588-75,Pomerado Elementary (Poway Unified),12321 9th St,Poway,92064,,,,,
CFDP-3080,Porchlight Community Services ,7841 Balboa Avs Suite 100 ,San Diego ,92111,,,,,
CSFP-0132,Potiker City Heights Sqaure Apartments ,4065 43rd Street ,San Diego,92105,,,,,
CSFP-0136,Potiker Senior Residence Downtown,525 14th Street,San Diego,92101,,,,,
EFAP-D6004,Potrero Community Center Foundation,24954 Potrero Valley Road ,Potrero,91963,,,,,
BP-1588-35,Potrero Elementary (Mountain Empire),24875 Potrero Valley Rd,Potrero ,91963,,,,,
CSFP-0146,Poway Villas Apartments,13001 Bowron Road,Poway,92064,,,,,
CFDP-1137,Presbyterian Urban Ministries,2459 Market Street,San Diego,92102,,,,,
OTG-0004,Preuss School,3750 Voigt Drive,La Jolla,92037,,,,,
CFDP-1489,Prime Time Title 1 C.D.C./Meridian Baptist Church,660 South 3rd Street,El Cajon,92019,,,,,
CFDP-3050,Prince of Peace Abbey,650 Benet Hill Road,Oceanside,92058,,,,,
CFDP-1739,Project 1:1,2445 Main Street,Chula Vista,91911,,,,,
CFDP-1918,"Project Access, Incorporated",378 South Meadowbrook Drive,San Diego,92114,,,,,
CFDP-2053,Project Manna,2280 East Valley Parkway,Escondido,92027,,,,,
CFDP-1915,Promise Church,630 Corte Maria Avenue,Chula Vista,91910,,,,,
CFDP-1910,Provision Relief Team,1001 W. Country Club Lane,Escondido,92026,,,,,
CFD-1910,Provision Relief Team (Distribution),1001 West Country Club Lane,Escondido,92026,,,,,
CFDP-1819,"Provisions Group, Incorporated",2864 University Avenue,San Diego,92104,,,,,
CFDP-1896,R.A.W. Ministries,777 Felicita Ave,Escondido,92025,,,,,
EFAP-D2048,Ramona Food & Clothes Closet Incorporated,773 Main Street,Ramona,92065,,,,,
CSFP-0003,Ramona Grange 632,215 7th Street,Ramona,92065,,,,,
CFDP-3008,Ramona Seventh Day Adventist Church,310 5th Street,Ramona,92065,,,,,
CFDP-3075,Raven Street Church of Christ,748 Raven Street ,San Diego,92102,,,,,
CFDP-1142,Restoration Ranch,940 Montecito Way ,Ramona,92065,,,,,
CFDP-1144,Revival Pentecostal Tabernacle,1765 Pentecost Way,San Diego,92105,,,,,
JOY-1621,"Rock Church: Toys 4 Joy, The",2277 Rosecrans Street,San Diego,92106,,,,,
CFDP-1145,Ronald McDonald House Charities,2929 Children's Way,San Diego,92123,,,,,
PET-1937,Rovers Retreat,3696 Midway Drive B358,San Diego,92110,,,,,
CSFP-0085/86,Rural Areas,14866 Lyons Valley Road,Jamul,91935,,,,,
CFDP-3018,Sacred Heart Church of Ocean Beach,4776 Saratoga Avenue,San Diego,92107,,,,,
CFDP-1149,"Salvation Army ARC ( Adult Rehab Center), The",1335 Broadway,San Diego,92101,,,,,
EFAP-D4059,"Salvation Army Back Country, The",1011 East Main Street,El Cajon,92120,,,,,
CFDP-1150,Salvation Army Centre City. The,825 7th Avenue,San Diego,92101,,,,,
CSFP-0050,Salvation Army Downtown,730 F Street,San Diego,92101,,,,,
EFAP-D2028,Salvation Army El Cajon,1011 East Main Street,El Cajon,92021,,,,,
CFDP-1148,"Salvation Army Kroc Center, The",6845 University Avenue,San Diego,92115,,,,,
EFAP-D5028,Salvation Army Oceanside. The,3935 Lake Boulevard,Oceanside,92056,,,,,
CFD-1513-9,Samoa Independent,2055 Skyline Dr.,Lemon Grove,91945,,,,,
EFAP-D4033,Samoa Independent Full Gospel,2055 Skyline Drive,Lemon Grove,91945,,,,,
EFAP-D3035,San Diego Armed Services YMCA,3293 Santo Road,San Diego,92124,,,,,
CFD-3035,San Diego Armed Services YMCA at Bayview Recreation Center,1898 Sky Harbor Drive,San Diego,92139,,,,,
CFDP-3047,San Diego Black Panther Party for Community Empowerment,361 South 35th Street,San Diego,92113,,,,,
EFAP-D4041,San Diego Broadway Spanish Seventh Day Adventist,2411 Broadway Street,San Diego,92102,,,,,
CFDP-1844,San Diego Children's Choir,1620 5th Avenue,San Diego,92101,,,,,
CFDP-2057,San Diego Christian Center,1305 Deodar Road,Escondido,92026,,,,,
CFDP-1869,San Diego City College Working Education,1313 Park Boulevard,San Diego,92101,,,,,
JOY-4025,San Diego Coalition for the Homeless - Christmas,4104 University Ave,San Diego,92105,,,,,
CFDP-1155,San Diego Freedom Ranch,1777 Buckman Springs Road,Campo,91906,,,,,
OTG-0008,San Diego High School,1405 Park Blvd,San Diego,92101,,,,,
CFDP-1907,San Diego Hope for Humanity,7086 El Cajon Boulevard,San Diego,92115,,,,,
CFDP-3044,San Diego Mesa College Foundation (The Stand),7250 Mesa College Dr. ,San Diego,92126,,,,,
JOY-1527,San Diego Nice Guys,Qualcomm Stadium,San Diego,92168,,,,,
CFDP-1156,San Diego Rescue Mission,5150 University Avenue,San Diego,92105,,,,,
SK-005,San Diego Rescue Mission,120 Elm Street,San Diego,92101,,,,,
CSFP-0150,San Diego Square Apartments,1055 9th Avenue ,San Diego,92101,,,,,
BP-1588-55,San Luis Rey Elementary (Oceanside Unified),3534 Hacienda Drive,Oceanside,92054,,,,,
BP-1588-20,San Marcos Elementary (San Marcos Unified),1 Tiger Way,San Marcos,92069,,,,,
CSFP-0130,San Marcos Senior Center ,111 Richmar Avenue,San Marcos,92069,,,,,
CFDP-3057,San Marcos Seventh Day Adventist Church,363 Woodland Parkway,San Marcos,92069,,,,,
BP-1588-29,San Miguel Elementary (Lemon Grove),7059 San Miguel Ave. ,San Diego ,91945,,,,,
CFDP-3026,San Ysidro Health Center,1601 Precision Park Lane,San Diego,92173,,,,,
CSFP-0005,San Ysidro-Cesar Chavez Park,455 Sycamore Road,San Ysidro,92173,,,,,
CFDP-1159,Santa Sophia Conference St Vincent de Paul,9800 San Juan Street,Spring Valley,91977,,,,,
EFAP-D2003,Santee Food Bank. The,9715 Halberns Blvd.,Santee,92071,,,,,
BP-1586,SDFB - Backpack Program,9850 Distribution Ave,San Diego,92121,,,,,
CFD-151312,SDFB at 32nd Street Base - Mariner's Park,2260 Callagan Highway,San Diego,92113,,,,,
EFAP-D4064,SDFB at 32nd Street Base - Mariner's Park,2260 Callagan Highway,San Diego,92113,,,,,
EFAP-D6003,SDFB Back Country,45612 Old Highway 80,Jacumba,91934,,,,,
CFDP-0001,SDFB Cooking Matters,9850 Distribution Avenue,San Diego,92121,,,,,
EFAP-D6006,SDFB CSFP (EFAP packages),9850 Distribution Avenue,San Diego,92121,,,,,
CFDP-1523-4,SDFB DO-LEAN,9850 Distribution Avenue,San Diego,92121,,,,,
EFAP-D6007,SDFB Emergency Food,9850 Distribution Ave,San Diego,92121,,,,,
CFDP-1343,SDFB Emergency Food Walk-ins,9850 Distribution Ave,San Diego,92121,,,,,
CFDP-1845,SDFB Fundamentals Demo Account,9850 Distribution Avenue,San Diego,92121,,,,,
CFDP-3000,SDFB Fundamentals Demo Account,9850 Distribution Ave,San Diego,92121,,,,,
EFAP-D6008,SDFB Good Start for Women + Children,9850 Distribution Avenue,San Diego ,92121,,,,,
JOYSD-1622,SDFB MAAC Community Charter School,1385 Third Avenue,Chula Vista,91911,,,,,
EFAP-D6005,SDFB North County Food Bank ,680 Rancheros Dr,San Marcos,92069,,,,,
JOYSD-2097,SDFB One Time Donation Based Events,9850 Distribution Avenue,San Diego,92121,,,,,
JOYSD-1000,SDFB Operation Gobble (Lorena Gonzalez-Fletcher),multiple,,92101,,,,,
JOYSD-1503,SDFB Padres,Petco Park,San Diego,92101,,,,,
CFDP-1523,SDFB San Diego Food Bank,9850 Distribution Ave,San Diego,92121,,,,,
JOYSD-1504,SDFB Shirley Weber,,,,,,,,
CFDP1523-3,SDFB SONDAS,9850 Distribution Ave,San Diego,92121,,,,,
CFDP-1523-2,SDFB Summer Lunch Program,9850 Distribution Ave,San Diego,92121,,,,,
JOYSD-1502,SDFB Turkey Tally (North County Food Policy Council/NCFB),,San Marcos,92069,,,,,
CFDP-1616,SDYS Storefront Shelter,3427 4th Avenue,San Diego,92103,,,,,
CFDP-1861,SDYS Tay Academy,2220 Broadway,San Diego,92102,,,,,
CFDP-1539,Second Chances: Bread of Life,2083 Sunset Cliffs Boulevard,San Diego,92107,,,,,
CSFP-0144,Seniors On Broadway,845 Broadway ,Chula Vista,91911,,,,,
CSFP-0065,Seniors San Diego Food Bank,9850 Distribution Avenue,San Diego,92121,,,,,
EFAP-D5032,Serving & Sharing Foundation Incorporated,31020 Cole Grade Road ,Valley Center,92082,,,,,
CFDP-3079,Serving Seniors ,945 18th Street ,San Diego ,92154,,,,,
CFDP-1898,Seventh Day Adventist Church El Cajon,1630  East Madison Avenue,El Cajon,92019,,,,,
CFD-1507,Shabach,7240 Hard Scramble Trail,Julian,92036,,,,,
CFDP-1507,Shabach ,3194 Market Street,San Diego,92102,,,,,
CFDP-3066,Sharp Chula Vista Medical Center,751 Medical Center Court,Chula Vista,91911,,,,,
CFDP-3081,Sharp Grossmont Hospital Womens Center,5555 Grossmont Center Drive,La Mesa,91942,,,,,
CFDP-3068,Sharp Mary Birch Hospital for Women & Newborns,3003 Health Center Drive,San Diego,92123,,,,,
EFAP-D2041,Shelter Valley Citizens Corporation,7217 Great Southern Overland Trail,Julian,92036,,,,,
BP-1588-17,Sherman Elementary (SDUSD Traditional),301 22nd St.,San Diego,92102,,,,,
EFAP-D4032,Sherman Heights Community Center,2258 Island Avenue,San Diego,92102,,,,,
CSFP-0099,Sherman Heights Community Ctr,2258 Island Avenue,San Diego,92102,,,,,
CFDP-1791,Shiloh Church of God in Christ,1517 Dubuque Street,Oceanside,92058,,,,,
CSFP-0129,Silvercrest Apartments El Cajon,175 Anza Street ,El Cajon,92020,,,,,
CFDP-1912,Smart Food Foundation,15432 Harrow Lane,Poway,92064,,,,,
CFD-1912,Smart Food Foundation (Distribution),939 E Mission Avenue,Escondido,92025,,,,,
BP-1588-48,Smythe Elementary (San Ysidro),1880 Smythe Avenue,San Ysidro,92173,,,,,
CFDP-3023,Somali Bantu Association of America(SBAOA),4979 University Avenue,San Diego,92105,,,,,
CFDP-1176,Sonshine Haven,772 South Johnson Avenue,El Cajon,92020,,,,,
CSFP-0105,Sorrento Towers,2875 Cowley Way,San Diego,92110,,,,,
CFD-151316,South Bay Pentecostal,395 D Street,Chula Vista,91910,,,,,
CFDP-1177,South Bay Pentecostal,395 D Street,Chula Vista,91910,,,,,
EFAP-D0001,South Bay Pentecostal Church,395 D Street,Chula Vista,91910,,,,,
CFDP-1946,Southeast Alano Club Resource Center,5069 Logan Ave,San Diego,92113,,,,,
CFDP-1182,Southern Indian Health Council,36350 Church Road,Campo,91906,,,,,
CFDP-1595,Southport Christian Center,142 East 16th Street,National City,91950,,,,,
CFDP-1930,Southwestern Community College District,900 Otay Lakes Road,Chula Vista,91910,,,,,
CFDP-3014,Special Delivery,4021 Goldfinch Street ,San Diego,92103,,,,,
CFDP-3021,Spirit of Sharing,1361 Rocky Point Drive,Oceanside,92056,,,,,
CFD-3021,Spirit of Sharing (Distribution),108 Marine Drive,Oceanside,92058,,,,,
OTG-0005,Spring Valley Academy,3900 Conrad Dr,Spring Valley,92977,,,,,
EFAP-D3010,St  Agnes Church,1145 Evergreen Street,San Diego,92106,,,,,
CFDP-1945,St Alban's Church,490 Farragut Circle,El Cajon,92020,,,,,
CFD-151319,St Andrew's Episcopal Church,890 Balour Drive,Encinitas,92024,,,,,
