"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68049,136747,"SAN DIEGO","DEHESA ELEMENTARY","CALIFORNIA ACADEMY OF SPORTS SCIENCE","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1914,"DIRECTLY FUNDED",TRUE,"K","12",41,16,39,20,48.8,38,16,42.1,19,50,TRUE,"Elementary School"
"2018-2019",37,68049,138313,"SAN DIEGO","DEHESA ELEMENTARY","UNIVERSITY PREP","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,2007,"DIRECTLY FUNDED",TRUE,"K","12",158,52,32.9,58,36.7,143,45,31.5,50,35,TRUE,"Elementary School"
"2018-2019",37,68049,6038095,"SAN DIEGO","DEHESA ELEMENTARY","DEHESA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","8",137,69,50.4,76,55.5,132,66,50,73,55.3,TRUE,"Elementary School"
"2018-2019",37,68049,6119564,"SAN DIEGO","DEHESA ELEMENTARY","DEHESA CHARTER","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,419,"DIRECTLY FUNDED",TRUE,"K","12",464,96,20.7,114,24.6,456,93,20.4,111,24.3,TRUE,"Elementary School"
"2018-2019",37,68056,1,"SAN DIEGO","DEL MAR UNION ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,0,0,0,0,TRUE,NA
"2018-2019",37,68056,110114,"SAN DIEGO","DEL MAR UNION ELEMENTARY","SYCAMORE RIDGE","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",583,83,14.2,103,17.7,583,83,14.2,103,17.7,TRUE,"Elementary School"
"2018-2019",37,68056,114686,"SAN DIEGO","DEL MAR UNION ELEMENTARY","OCEAN AIR","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",638,17,2.7,19,3,638,17,2.7,19,3,TRUE,"Elementary School"
"2018-2019",37,68056,6038111,"SAN DIEGO","DEL MAR UNION ELEMENTARY","DEL MAR HEIGHTS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",495,26,5.3,31,6.3,495,26,5.3,31,6.3,TRUE,"Elementary School"
"2018-2019",37,68056,6088983,"SAN DIEGO","DEL MAR UNION ELEMENTARY","DEL MAR HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",280,37,13.2,40,14.3,280,37,13.2,40,14.3,TRUE,"Elementary School"
"2018-2019",37,68056,6110696,"SAN DIEGO","DEL MAR UNION ELEMENTARY","CARMEL DEL MAR ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",530,29,5.5,32,6,530,29,5.5,32,6,TRUE,"Elementary School"
"2018-2019",37,68056,6115620,"SAN DIEGO","DEL MAR UNION ELEMENTARY","ASHLEY FALLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",529,38,7.2,43,8.1,529,38,7.2,43,8.1,TRUE,"Elementary School"
"2018-2019",37,68056,6117923,"SAN DIEGO","DEL MAR UNION ELEMENTARY","SAGE CANYON","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",657,22,3.3,27,4.1,657,22,3.3,27,4.1,TRUE,"Elementary School"
"2018-2019",37,68056,6120596,"SAN DIEGO","DEL MAR UNION ELEMENTARY","TORREY HILLS","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",549,36,6.6,43,7.8,549,36,6.6,43,7.8,TRUE,"Elementary School"
"2018-2019",37,68080,1,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,25,1,25,4,1,25,1,25,TRUE,NA
"2018-2019",37,68080,6038145,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","PAUL ECKE-CENTRAL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",651,153,23.5,173,26.6,651,153,23.5,173,26.6,TRUE,"Elementary School"
"2018-2019",37,68080,6038152,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","OCEAN KNOLL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",676,203,30,220,32.5,676,203,30,220,32.5,TRUE,"Elementary School"
"2018-2019",37,68080,6066989,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","CAPRI ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",719,136,18.9,160,22.3,719,136,18.9,160,22.3,TRUE,"Elementary School"
"2018-2019",37,68080,6095046,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","PARK DALE LANE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",467,89,19.1,100,21.4,467,89,19.1,100,21.4,TRUE,"Elementary School"
"2018-2019",37,68080,6099402,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","FLORA VISTA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",451,34,7.5,43,9.5,451,34,7.5,43,9.5,TRUE,"Elementary School"
"2018-2019",37,68080,6106132,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","LA COSTA HEIGHTS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",672,50,7.4,55,8.2,672,50,7.4,55,8.2,TRUE,"Elementary School"
"2018-2019",37,68080,6108534,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","MISSION ESTANCIA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",483,43,8.9,49,10.1,483,43,8.9,49,10.1,TRUE,"Elementary School"
