"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68130,3731486,"SAN DIEGO","GROSSMONT UNION HIGH","ELITE ACADEMY","High School District","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"9","12",45,6,13.3,30,66.7,16,3,18.8,14,87.5,TRUE,"Other"
"2018-2019",37,68130,3731536,"SAN DIEGO","GROSSMONT UNION HIGH","GROSSMONT MIDDLE COLLEGE HIGH","High School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"11","12",59,19,32.2,27,45.8,55,18,32.7,25,45.5,TRUE,"Other"
"2018-2019",37,68130,3731692,"SAN DIEGO","GROSSMONT UNION HIGH","EL CAJON VALLEY HIGH","High School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",1689,1041,61.6,1569,92.9,1521,941,61.9,1428,93.9,TRUE,"High School"
"2018-2019",37,68130,3731809,"SAN DIEGO","GROSSMONT UNION HIGH","EL CAPITAN HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1659,549,33.1,881,53.1,1600,525,32.8,848,53,TRUE,"High School"
"2018-2019",37,68130,3732336,"SAN DIEGO","GROSSMONT UNION HIGH","GRANITE HILLS HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2294,808,35.2,1250,54.5,2212,787,35.6,1217,55,TRUE,"High School"
"2018-2019",37,68130,3732559,"SAN DIEGO","GROSSMONT UNION HIGH","CHAPARRAL HIGH","High School District","Continuation High Schools","CONTINUATION SCHOOL","CEP",NA,NA,NA,FALSE,"9","12",53,33,62.3,50,94.3,50,31,62,47,94,TRUE,"Other"
"2018-2019",37,68130,3732625,"SAN DIEGO","GROSSMONT UNION HIGH","GROSSMONT HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2219,861,38.8,1258,56.7,2141,834,39,1214,56.7,TRUE,"High School"
"2018-2019",37,68130,3732732,"SAN DIEGO","GROSSMONT UNION HIGH","HELIX HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,150,"DIRECTLY FUNDED",TRUE,"9","12",2428,1066,43.9,1382,56.9,2366,1037,43.8,1341,56.7,TRUE,"High School"
"2018-2019",37,68130,3734548,"SAN DIEGO","GROSSMONT UNION HIGH","MONTE VISTA HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1671,854,51.1,1314,78.6,1584,818,51.6,1248,78.8,TRUE,"High School"
"2018-2019",37,68130,3734761,"SAN DIEGO","GROSSMONT UNION HIGH","MOUNT MIGUEL HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1298,739,56.9,1027,79.1,1244,706,56.8,985,79.2,TRUE,"High School"
"2018-2019",37,68130,3737905,"SAN DIEGO","GROSSMONT UNION HIGH","SANTANA HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1616,445,27.5,745,46.1,1531,416,27.2,704,46,TRUE,"High School"
"2018-2019",37,68155,6038319,"SAN DIEGO","JAMUL-DULZURA UNION ELEMENTARY","JAMUL PRIMARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","3",252,113,44.8,133,52.8,246,111,45.1,130,52.8,TRUE,"Elementary School"
"2018-2019",37,68155,6097182,"SAN DIEGO","JAMUL-DULZURA UNION ELEMENTARY","OAK GROVE MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",217,99,45.6,120,55.3,217,99,45.6,120,55.3,TRUE,"Middle School"
"2018-2019",37,68155,6112205,"SAN DIEGO","JAMUL-DULZURA UNION ELEMENTARY","JAMUL INTERMEDIATE","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"4","5",111,56,50.5,61,55,111,56,50.5,61,55,TRUE,"Elementary School"
"2018-2019",37,68155,6117303,"SAN DIEGO","JAMUL-DULZURA UNION ELEMENTARY","GREATER SAN DIEGO ACADEMY","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,261,"DIRECTLY FUNDED",TRUE,"K","12",170,63,37.1,83,48.8,164,58,35.4,78,47.6,TRUE,"Elementary School"
"2018-2019",37,68163,1,"SAN DIEGO","JULIAN UNION ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,100,1,100,1,1,100,1,100,TRUE,NA
"2018-2019",37,68163,128421,"SAN DIEGO","JULIAN UNION ELEMENTARY","HARBOR SPRINGS CHARTER","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1589,"DIRECTLY FUNDED",TRUE,"K","12",254,114,44.9,137,53.9,248,113,45.6,135,54.4,TRUE,"Elementary School"
"2018-2019",37,68163,137109,"SAN DIEGO","JULIAN UNION ELEMENTARY","DIEGO VALLEY EAST PUBLIC CHARTER","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1934,"DIRECTLY FUNDED",TRUE,"K","12",552,418,75.7,459,83.2,282,203,72,227,80.5,TRUE,"Elementary School"
"2018-2019",37,68163,138156,"SAN DIEGO","JULIAN UNION ELEMENTARY","JCS - MOUNTAIN OAKS","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1992,"DIRECTLY FUNDED",TRUE,"K","8",337,28,8.3,28,8.3,337,28,8.3,28,8.3,TRUE,"Elementary School"
"2018-2019",37,68163,138628,"SAN DIEGO","JULIAN UNION ELEMENTARY","JCS - CEDAR COVE","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,2022,"DIRECTLY FUNDED",TRUE,"K","12",149,39,26.2,39,26.2,146,39,26.7,39,26.7,TRUE,"Elementary School"
"2018-2019",37,68163,3731239,"SAN DIEGO","JULIAN UNION ELEMENTARY","JULIAN CHARTER","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,267,"DIRECTLY FUNDED",TRUE,"K","12",270,63,23.3,72,26.7,238,57,23.9,64,26.9,TRUE,"Elementary School"
"2018-2019",37,68163,6038327,"SAN DIEGO","JULIAN UNION ELEMENTARY","JULIAN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",178,104,58.4,112,62.9,172,101,58.7,109,63.4,TRUE,"Elementary School"
"2018-2019",37,68163,6105845,"SAN DIEGO","JULIAN UNION ELEMENTARY","JULIAN JUNIOR HIGH","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",103,53,51.5,60,58.3,103,53,51.5,60,58.3,TRUE,"Middle School"
"2018-2019",37,68171,3733219,"SAN DIEGO","JULIAN UNION HIGH","JULIAN HIGH","High School District","High Schools In 1 School Dist. (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",106,42,39.6,49,46.2,103,41,39.8,48,46.6,TRUE,"Other"
"2018-2019",37,68189,1,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,33.3,1,33.3,3,1,33.3,1,33.3,TRUE,NA
"2018-2019",37,68189,118323,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","NATIONAL UNIVERSITY ACADEMY","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,991,"DIRECTLY FUNDED",TRUE,"K","12",39,21,53.8,23,59,29,14,48.3,15,51.7,TRUE,"Elementary School"
"2018-2019",37,68189,129288,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","EUCALYPTUS HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"P","K",116,31,26.7,43,37.1,55,8,14.5,15,27.3,TRUE,"Elementary School"
"2018-2019",37,68189,3731072,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","RIVER VALLEY CHARTER","Elementary School District","High Schools (Public)","TRADITIONAL",NA,NA,120,"DIRECTLY FUNDED",FALSE,"7","12",325,50,15.4,50,15.4,321,49,15.3,49,15.3,TRUE,"High School"
"2018-2019",37,68189,6038343,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","LAKESIDE FARMS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",655,207,31.6,294,44.9,655,207,31.6,294,44.9,TRUE,"Elementary School"
"2018-2019",37,68189,6038350,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","LAKESIDE MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",814,261,32.1,326,40,814,261,32.1,326,40,TRUE,"Middle School"
"2018-2019",37,68189,6038368,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","LAKEVIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",720,172,23.9,215,29.9,720,172,23.9,215,29.9,TRUE,"Elementary School"
"2018-2019",37,68189,6038376,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","LINDO PARK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",468,279,59.6,367,78.4,466,279,59.9,365,78.3,TRUE,"Elementary School"
"2018-2019",37,68189,6038384,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","RIVERVIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"1","5",608,109,17.9,147,24.2,608,109,17.9,147,24.2,TRUE,"Elementary School"
"2018-2019",37,68189,6038392,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","WINTER GARDENS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","1",365,70,19.2,93,25.5,365,70,19.2,93,25.5,TRUE,"Elementary School"
"2018-2019",37,68189,6085047,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","TIERRA DEL SOL MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",774,279,36,347,44.8,774,279,36,347,44.8,TRUE,"Middle School"
"2018-2019",37,68189,6110092,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","LEMON CREST ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",551,254,46.1,340,61.7,551,254,46.1,340,61.7,TRUE,"Elementary School"
"2018-2019",37,68189,6120901,"SAN DIEGO","LAKESIDE UNION ELEMENTARY","BARONA INDIAN CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,469,"DIRECTLY FUNDED",FALSE,"P","8",91,18,19.8,28,30.8,91,18,19.8,28,30.8,TRUE,"Elementary School"
"2018-2019",37,68197,1,"SAN DIEGO","LA MESA-SPRING VALLEY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,7,38.9,7,38.9,18,7,38.9,7,38.9,TRUE,NA
"2018-2019",37,68197,115543,"SAN DIEGO","LA MESA-SPRING VALLEY","QUEST ACADEMY","Elementary School District","District Community Day Schools","COMMUNITY DAY SCHOOL",NA,NA,NA,NA,FALSE,"6","8",17,14,82.4,14,82.4,17,14,82.4,14,82.4,TRUE,"Other"
"2018-2019",37,68197,132290,"SAN DIEGO","LA MESA-SPRING VALLEY","LA MESA ARTS ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"4","8",1085,299,27.6,383,35.3,1085,299,27.6,383,35.3,TRUE,"Elementary School"
"2018-2019",37,68197,132431,"SAN DIEGO","LA MESA-SPRING VALLEY","SCIENCE, TECHNOLOGY, ENGINEERING, ARTS, AND MATH ACADEMY AT LA PRESA","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"4","8",927,638,68.8,759,81.9,927,638,68.8,759,81.9,TRUE,"Elementary School"
"2018-2019",37,68197,132951,"SAN DIEGO","LA MESA-SPRING VALLEY","LA MESA-SPRING VALLEY HOME INDEPENDENT STUDY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","8",19,11,57.9,11,57.9,19,11,57.9,11,57.9,TRUE,"Elementary School"
"2018-2019",37,68197,134155,"SAN DIEGO","LA MESA-SPRING VALLEY","SPRING VALLEY ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"4","8",830,551,66.4,629,75.8,830,551,66.4,629,75.8,TRUE,"Elementary School"
"2018-2019",37,68197,136408,"SAN DIEGO","LA MESA-SPRING VALLEY","NATIONAL UNIVERSITY ACADEMY SPARROW","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1901,"DIRECTLY FUNDED",TRUE,"K","8",289,61,21.1,69,23.9,283,60,21.2,68,24,TRUE,"Elementary School"
"2018-2019",37,68197,6038400,"SAN DIEGO","LA MESA-SPRING VALLEY","AVONDALE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",440,300,68.2,355,80.7,425,294,69.2,346,81.4,TRUE,"Elementary School"
"2018-2019",37,68197,6038418,"SAN DIEGO","LA MESA-SPRING VALLEY","BANCROFT ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",461,384,83.3,422,91.5,461,384,83.3,422,91.5,TRUE,"Elementary School"
"2018-2019",37,68197,6038434,"SAN DIEGO","LA MESA-SPRING VALLEY","CASA DE ORO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",357,233,65.3,266,74.5,347,228,65.7,261,75.2,TRUE,"Elementary School"
"2018-2019",37,68197,6038442,"SAN DIEGO","LA MESA-SPRING VALLEY","FLETCHER HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",656,120,18.3,147,22.4,639,119,18.6,145,22.7,TRUE,"Elementary School"
"2018-2019",37,68197,6038459,"SAN DIEGO","LA MESA-SPRING VALLEY","HIGHLANDS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",530,353,66.6,406,76.6,514,344,66.9,395,76.8,TRUE,"Elementary School"
"2018-2019",37,68197,6038467,"SAN DIEGO","LA MESA-SPRING VALLEY","KEMPTON STREET LITERACY ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","3",438,336,76.7,387,88.4,423,322,76.1,373,88.2,TRUE,"Elementary School"
"2018-2019",37,68197,6038475,"SAN DIEGO","LA MESA-SPRING VALLEY","LA MESA DALE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",476,253,53.2,317,66.6,460,245,53.3,309,67.2,TRUE,"Elementary School"
"2018-2019",37,68197,6038509,"SAN DIEGO","LA MESA-SPRING VALLEY","LA PRESA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",445,323,72.6,372,83.6,433,315,72.7,363,83.8,TRUE,"Elementary School"
"2018-2019",37,68197,6038517,"SAN DIEGO","LA MESA-SPRING VALLEY","LEMON AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",618,195,31.6,230,37.2,598,193,32.3,228,38.1,TRUE,"Elementary School"
"2018-2019",37,68197,6038525,"SAN DIEGO","LA MESA-SPRING VALLEY","MARYLAND AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",506,181,35.8,219,43.3,505,181,35.8,219,43.4,TRUE,"Elementary School"
"2018-2019",37,68197,6038533,"SAN DIEGO","LA MESA-SPRING VALLEY","MURRAY MANOR ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",681,243,35.7,280,41.1,681,243,35.7,280,41.1,TRUE,"Elementary School"
"2018-2019",37,68197,6038541,"SAN DIEGO","LA MESA-SPRING VALLEY","NORTHMONT ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",458,174,38,217,47.4,444,172,38.7,214,48.2,TRUE,"Elementary School"
"2018-2019",37,68197,6038558,"SAN DIEGO","LA MESA-SPRING VALLEY","PARKWAY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",823,300,36.5,356,43.3,823,300,36.5,356,43.3,TRUE,"Middle School"
"2018-2019",37,68197,6038566,"SAN DIEGO","LA MESA-SPRING VALLEY","RANCHO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",344,199,57.8,252,73.3,344,199,57.8,252,73.3,TRUE,"Elementary School"
"2018-2019",37,68197,6038574,"SAN DIEGO","LA MESA-SPRING VALLEY","ROLANDO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",557,259,46.5,295,53,542,254,46.9,290,53.5,TRUE,"Elementary School"
"2018-2019",37,68197,6070833,"SAN DIEGO","LA MESA-SPRING VALLEY","MURDOCK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",606,173,28.5,212,35,606,173,28.5,212,35,TRUE,"Elementary School"
"2018-2019",37,68197,6098446,"SAN DIEGO","LA MESA-SPRING VALLEY","LOMA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",324,213,65.7,248,76.5,324,213,65.7,248,76.5,TRUE,"Elementary School"
"2018-2019",37,68197,6111207,"SAN DIEGO","LA MESA-SPRING VALLEY","SWEETWATER SPRINGS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",495,251,50.7,304,61.4,495,251,50.7,304,61.4,TRUE,"Elementary School"
"2018-2019",37,68205,0,"SAN DIEGO","LEMON GROVE","DISTRICT OFFICE","Elementary School District",NA,NA,NA,NA,NA,NA,NA,"P","8",2,0,0,0,0,2,0,0,0,0,TRUE,NA
"2018-2019",37,68205,1,"SAN DIEGO","LEMON GROVE","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,40,2,40,5,2,40,2,40,TRUE,NA
"2018-2019",37,68205,6038608,"SAN DIEGO","LEMON GROVE","LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Breakfast Provision 2",NA,NA,NA,FALSE,"P","8",1094,704,64.4,820,75,1094,704,64.4,820,75,TRUE,"Elementary School"
"2018-2019",37,68205,6038624,"SAN DIEGO","LEMON GROVE","MONTEREY HEIGHTS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Breakfast Provision 2",NA,NA,NA,FALSE,"P","6",418,278,66.5,311,74.4,405,268,66.2,300,74.1,TRUE,"Elementary School"
"2018-2019",37,68205,6038632,"SAN DIEGO","LEMON GROVE","MT. VERNON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Breakfast Provision 2",NA,NA,NA,FALSE,"P","8",539,286,53.1,339,62.9,539,286,53.1,339,62.9,TRUE,"Elementary School"
"2018-2019",37,68205,6038657,"SAN DIEGO","LEMON GROVE","SAN ALTOS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Breakfast Provision 2",NA,NA,NA,FALSE,"P","6",376,198,52.7,250,66.5,365,193,52.9,243,66.6,TRUE,"Elementary School"
"2018-2019",37,68205,6038665,"SAN DIEGO","LEMON GROVE","SAN MIGUEL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Breakfast Provision 2",NA,NA,NA,FALSE,"P","6",523,361,69,418,79.9,523,361,69,418,79.9,TRUE,"Elementary School"
"2018-2019",37,68205,6038673,"SAN DIEGO","LEMON GROVE","VISTA LA MESA ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Breakfast Provision 2",NA,NA,NA,FALSE,"P","8",632,342,54.1,440,69.6,619,339,54.8,435,70.3,TRUE,"Elementary School"
"2018-2019",37,68213,1,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","NONPUBLIC, NONSECTARIAN SCHOOLS","Unified School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,3,0,0,0,0,TRUE,NA
"2018-2019",37,68213,119560,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","SAN DIEGO NEIGHBORHOOD HOMESCHOOLS","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1077,"DIRECTLY FUNDED",TRUE,"K","12",141,74,52.5,87,61.7,135,72,53.3,85,63,TRUE,"Elementary School"
"2018-2019",37,68213,123224,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","SAN DIEGO VIRTUAL","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1264,"DIRECTLY FUNDED",TRUE,"K","12",366,204,55.7,241,65.8,307,166,54.1,198,64.5,TRUE,"Elementary School"
"2018-2019",37,68213,126995,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","CAMP LOCKETT MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",109,72,66.1,81,74.3,109,72,66.1,81,74.3,TRUE,"Middle School"
"2018-2019",37,68213,127001,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","PINE VALLEY MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",162,79,48.8,86,53.1,162,79,48.8,86,53.1,TRUE,"Middle School"
"2018-2019",37,68213,127084,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","COMPASS CHARTER SCHOOLS OF SAN DIEGO","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1454,"DIRECTLY FUNDED",TRUE,"K","12",598,187,31.3,213,35.6,563,173,30.7,199,35.3,TRUE,"Elementary School"
"2018-2019",37,68213,129668,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","COUNTY COLLABORATIVE CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1628,"DIRECTLY FUNDED",TRUE,"K","12",75,38,50.7,41,54.7,46,24,52.2,26,56.5,TRUE,"Elementary School"
"2018-2019",37,68213,136978,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","ELITE ACADEMIC ACADEMY - MOUNTAIN EMPIRE","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1924,"DIRECTLY FUNDED",TRUE,"K","12",282,83,29.4,118,41.8,277,82,29.6,116,41.9,TRUE,"Elementary School"
"2018-2019",37,68213,138636,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","JCS - PINE VALLEY","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,2021,"DIRECTLY FUNDED",TRUE,"K","12",127,39,30.7,46,36.2,127,39,30.7,46,36.2,TRUE,"Elementary School"
"2018-2019",37,68213,3730934,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","CAMPO HIGH (CONTINUATION)","Unified School District","Continuation High Schools","CONTINUATION SCHOOL",NA,NA,NA,NA,FALSE,"9","12",24,18,75,18,75,20,15,75,15,75,TRUE,"Other"
"2018-2019",37,68213,3730991,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","HILLSIDE JUNIOR/SENIOR HIGH","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"7","12",16,3,18.8,3,18.8,14,3,21.4,3,21.4,TRUE,"Other"
"2018-2019",37,68213,3731080,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","COTTONWOOD COMMUNITY DAY","Unified School District","District Community Day Schools","COMMUNITY DAY SCHOOL",NA,NA,NA,NA,FALSE,"7","12",6,6,100,6,100,5,5,100,5,100,TRUE,"Other"
"2018-2019",37,68213,3734878,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","MOUNTAIN EMPIRE HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",390,205,52.6,217,55.6,379,201,53,212,55.9,TRUE,"High School"
"2018-2019",37,68213,6038681,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","CAMPO ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"P","8",345,177,51.3,190,55.1,340,175,51.5,188,55.3,TRUE,"Elementary School"
"2018-2019",37,68213,6038699,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","DESCANSO ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"P","6",211,85,40.3,91,43.1,207,85,41.1,91,44,TRUE,"Elementary School"
"2018-2019",37,68213,6085054,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","CLOVER FLAT ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"P","6",147,94,63.9,99,67.3,143,91,63.6,96,67.1,TRUE,"Elementary School"
"2018-2019",37,68213,6097190,"SAN DIEGO","MOUNTAIN EMPIRE UNIFIED","POTRERO ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"P","6",286,207,72.4,240,83.9,282,204,72.3,237,84,TRUE,"Elementary School"
"2018-2019",37,68221,1,"SAN DIEGO","NATIONAL ELEMENTARY","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,TRUE,NA
"2018-2019",37,68221,101360,"SAN DIEGO","NATIONAL ELEMENTARY","INTEGRITY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,553,"DIRECTLY FUNDED",TRUE,"K","8",345,259,75.1,308,89.3,345,259,75.1,308,89.3,TRUE,"Elementary School"
"2018-2019",37,68221,6038731,"SAN DIEGO","NATIONAL ELEMENTARY","CENTRAL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",580,424,73.1,465,80.2,563,413,73.4,450,79.9,TRUE,"Elementary School"
"2018-2019",37,68221,6038749,"SAN DIEGO","NATIONAL ELEMENTARY","EL TOYON ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",468,357,76.3,387,82.7,456,350,76.8,380,83.3,TRUE,"Elementary School"
