"ï..ClaimDate","academicyear","ProgramCode","ProgramGroupYear","County.Name","Name","siteid","SiteName","MealTypeCode","DaysServedQty","MlsServedFree","MlsServedRedc","MlsServedPaid","MlsServedTotal","report_date"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Holly Drive Leadership Academy","NSLP_BREAKFAST_SEVERENEED",22,2438,0,285,2723,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"HOLMES ELEMENTARY","NSLP_LUNCH",22,1107,607,1721,3435,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"HOLMES ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,123,29,198,350,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Hoover High","NSLP_LUNCH",22,20575,0,965,21540,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Hoover High","NSLP_BREAKFAST_SEVERENEED",25,19640,0,921,20561,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"HORTON ELEMENTARY","NSLP_LUNCH",22,9140,0,426,9566,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"HORTON ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,9174,0,427,9601,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"IBARRA ELEMENTARY","NSLP_LUNCH",21,9205,0,429,9634,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"IBARRA ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",21,9829,0,458,10287,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"IFTIN CHARTER","NSLP_LUNCH",22,5390,0,630,6020,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"IFTIN CHARTER","NSLP_BREAKFAST_SEVERENEED",22,3374,0,394,3768,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"iHigh Virtual Academy","NSLP_LUNCH",10,10,0,0,10,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Innovation Middle","NSLP_LUNCH",22,2333,556,621,3510,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Innovation Middle","NSLP_BREAKFAST_SEVERENEED",22,1050,223,118,1391,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JEFFERSON ELEMENTARY","NSLP_LUNCH",22,7369,0,343,7712,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JEFFERSON ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,9196,0,428,9624,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JERABEK ELEMENTARY","NSLP_LUNCH",22,483,79,2801,3363,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JERABEK ELEMENTARY","NSLP_BREAKFAST",22,29,11,198,238,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"John Muir Language Academy","NSLP_LUNCH",22,1188,363,379,1930,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"John Muir Language Academy","NSLP_BREAKFAST_SEVERENEED",22,323,72,57,452,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JOHNSON ELEMENTARY","NSLP_LUNCH",22,6406,0,298,6704,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JOHNSON ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",23,6794,0,316,7110,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Jonas Salk Elementary","NSLP_LUNCH",22,2946,1227,2901,7074,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Jonas Salk Elementary","NSLP_BREAKFAST_SEVERENEED",25,908,281,402,1591,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JONES ELEMENTARY","NSLP_LUNCH",22,1292,724,1405,3421,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JONES ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,377,244,157,778,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Joyner Elementary","NSLP_LUNCH",22,11047,0,518,11565,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Joyner Elementary","NSLP_BREAKFAST_SEVERENEED",22,12367,0,580,12947,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JUAREZ ELEMENTARY","NSLP_LUNCH",22,1729,512,1185,3426,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"JUAREZ ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,485,128,113,726,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kavod Charter","NSLP_LUNCH",22,379,130,409,918,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kavod Charter","NSLP_BREAKFAST_SEVERENEED",9,3,0,9,12,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kearny College Connections","NSLP_LUNCH",22,11868,0,557,12425,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kearny College Connections","NSLP_BREAKFAST_SEVERENEED",24,4985,0,234,5219,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Keiller Leadership Academy","NSLP_LUNCH",22,7049,0,816,7865,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Keiller Leadership Academy","NSLP_BREAKFAST_SEVERENEED",22,1490,0,173,1663,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kennedy CDC","NSLP_LUNCH",22,922,0,43,965,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kennedy CDC","NSLP_BREAKFAST_SEVERENEED",22,221,0,10,231,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"KIMBROUGH ELEMENTARY","NSLP_LUNCH",22,6904,0,324,7228,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"KIMBROUGH ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,7729,0,363,8092,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Academy of Excellence","NSLP_LUNCH",21,4813,0,557,5370,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Academy of Excellence","NSLP_BREAKFAST_SEVERENEED",21,3553,0,411,3964,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Community High","NSLP_LUNCH",20,3876,0,449,4325,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Community High","NSLP_BREAKFAST_SEVERENEED",20,1618,0,187,1805,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Preparatory Academy","NSLP_LUNCH",21,6133,0,710,6843,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Preparatory Academy","NSLP_BREAKFAST_SEVERENEED",21,3623,0,420,4043,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Primary Academy","NSLP_SNACK_AREAELIGIBLE",21,332,0,0,332,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Primary Academy","NSLP_LUNCH",21,13426,0,1555,14981,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"King-Chavez Primary Academy","NSLP_BREAKFAST_SEVERENEED",21,13789,0,1597,15386,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"KIPP Adelante Preparatory Academy","NSLP_SNACK_AREAELIGIBLE",22,5525,0,0,5525,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"KIPP Adelante Preparatory Academy","NSLP_LUNCH",22,3009,0,349,3358,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"KIPP Adelante Preparatory Academy","NSLP_BREAKFAST_SEVERENEED",22,2814,0,326,3140,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Knox Middle","NSLP_LUNCH",22,5938,0,277,6215,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Knox Middle","NSLP_BREAKFAST_SEVERENEED",26,13198,0,615,13813,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"Kumeyaay Elementary","NSLP_LUNCH",22,609,394,2147,3150,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"LA JOLLA ELEMENTARY","NSLP_LUNCH",22,394,109,1796,2299,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"LA JOLLA ELEMENTARY","NSLP_BREAKFAST",22,39,1,110,150,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"La Jolla High","NSLP_LUNCH",22,2502,619,935,4056,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"La Jolla High","NSLP_BREAKFAST_SEVERENEED",24,1118,304,64,1486,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"LAFAYETTE ELEMENTARY","NSLP_LUNCH",22,4067,0,191,4258,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"LAFAYETTE ELEMENTARY","NSLP_BREAKFAST_SEVERENEED",22,1990,0,93,2083,"San 20Di"
"May-18",NA,"NSLP",2018,"SAN DIEGO","San Diego Unified School District",NA,"LANGUAGE ACADEMY","NSLP_LUNCH",22,3423,1044,1802,6269,"San 20Di"
