site_id,sitename,address,city,state,zip,lat,lon,accuracy,bos_district,council_distict,councill_code,elementary_dist,hs_dist,unified_dist,state_assembly_dist,state_senate_dist,congressional_dist
400,FLETCHER ELEMENTARY,7666 Bobolink Way,San Diego,CA,92123,33,-117,HIGH,4,7,SD,,,UNIFIED SAN DIEGO,79,39,53
401,FLETCHER HILLS ELEMENTARY,2330 Center Place,El Cajon,CA,92020,33,-117,HIGH,2,1,EC,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,71,38,53
402,FLORA VISTA ELEMENTARY,1690 Wandering Road,Encinitas,CA,92024,33,-117,HIGH,3,4,EN,GEN ELEM ENCINITAS UNION,HIGH SAN DIEGUITO UNION,,76,36,49
403,FLORENCE ELEMENTARY,3914 FIRST AVE.,SAN DIEGO,CA,92103,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
404,FLYING HILLS ELEMENTARY,1251 FINCH ST.,EL CAJON,CA,92020,33,-117,HIGH,2,1,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,53
405,FOOTHILL OAK ELEMENTARY,1370 OAK DR.,VISTA,CA,92084,33,-117,HIGH,5,2,VS,,,UNIFIED VISTA,76,36,49
406,FOOTHILLS ADULT EDUCATION CENTER,1550 Melody Lane,El Cajon,CA,92019,33,-117,HIGH,2,3,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
407,FOOTHILLS HIGH,158 Cassou Road,San Marcos,CA,92069,33,-117,HIGH,5,4,SM,,,"UNIF BOND SAN MARCOS SFID #1-6/04/96, 2004-1 REF",75,38,50
408,FOSTER ELEMENTARY,6550 51ST ST.,SAN DIEGO,CA,92120,33,-117,HIGH,2,7,SD,,,UNIFIED SAN DIEGO,79,39,53
409,FRANKLIN ELEMENTARY,4481 COPELAND AVE.,SAN DIEGO,CA,92116,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,78,39,53
410,FREESE ELEMENTARY,8140 GREENLAWN DR.,SAN DIEGO,CA,92114,33,-117,HIGH,4,4,SD,,,UNIFIED SAN DIEGO,79,40,53
411,FUERTE ELEMENTARY,11625 Fuerte Drive,El Cajon,CA,92020,33,-117,HIGH,2,,,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
412,FULTON K-8,7055 SKYLINE DR.,SAN DIEGO,CA,92114,33,-117,HIGH,4,4,SD,,,UNIFIED SAN DIEGO,79,40,53
413,FUTURE BOUND INDEPENDENT STUDY SECONDARY,720 Ninth Street,Ramona,CA,92065,33,-117,HIGH,2,,,,,UNIFIED RAMONA,71,38,50
414,GAGE ELEMENTARY,6811 Bisby Lake Drive,San Diego,CA,92119,33,-117,HIGH,2,7,SD,,,UNIFIED SAN DIEGO,77,39,52
415,GARDEN ROAD ELEMENTARY,14614 Garden Road,Poway,CA,92064,33,-117,HIGH,2,4,PW,,,"UNIF BOND POWAY-SFID 2002-1,PROP U, 2014 REF",77,38,52
417,GARFIELD ELEMENTARY,4487 OREGON ST.,SAN DIEGO,CA,92116,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
418,GARFIELD HIGH,1255 16th Street,San Diego,CA,92101,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,52
