site_id,sitename,district,is_school,school_code,district_code
1050,SALT CREEK ELEMENTARY,CHULA VISTA ELEMENTARY,1,105965,68023
1051,SALVATION ARMY KROC CENTER,,0,,
1052,SAM AND ROSE STEIN EDUCATION CENTER,,0,,
1053,SAM AND ROSE STEIN EDUCATION CENTER-DECENA SITE,,0,,
1054,SAN ALTOS ELEMENTARY,LEMON GROVE,1,6038657,68205
1055,SAN DIEGO ADULT,SAN DIEGO UNIFIED,1,,
1056,SAN DIEGO BUSINESS/LEADERSHIP,SAN DIEGO UNIFIED,0,107052,68338
1057,SAN DIEGO CENTER FOR CHILDREN,,0,,
1058,SAN DIEGO CONTINUING EDUCATION,SAN DIEGO COMMUNITY COLLEGE,1,,
1059,SAN DIEGO COOPERATIVE CHARTER,SAN DIEGO UNIFIED,1,6119168,68338
1060,SAN DIEGO COOPERATIVE CHARTER SCHOOL 2,SAN DIEGO UNIFIED,1,127654,68338
1061,SAN DIEGO COUNTY COMMUNITY,SAN DIEGO COUNTY OFFICE OF EDUCATION,1,128520,10371
1062,SAN DIEGO COUNTY COURT,SAN DIEGO COUNTY OFFICE OF EDUCATION,0,128538,10371
1063,SAN DIEGO COUNTY ROP,SAN DIEGO COUNTY ROP,1,,
1064,SAN DIEGO COUNTY SPECIAL EDUCATION,SAN DIEGO COUNTY OFFICE OF EDUCATION,1,6069355,10371
1065,SAN DIEGO EARLY/MIDDLE COLLEGE,SAN DIEGO UNIFIED,1,118315,68338
1066,SAN DIEGO GLOBAL VISION ACADEMY,SAN DIEGO UNIFIED,1,121681,68338
1067,SAN DIEGO GLOBAL VISION ACADEMY MIDDLE,SAN DIEGO UNIFIED,1,125583,68338
1068,SAN DIEGO INTERNATIONAL STUDIES,SAN DIEGO UNIFIED,1,107029,68338
1069,SAN DIEGO METRO CAREER AND TECH,SAN DIEGO UNIFIED,1,107482,68338
1070,SAN DIEGO MISSION ACADEMY,WARNER UNIFIED,1,,
1071,SAN DIEGO MVP ARTS,SAN DIEGO UNIFIED,1,107060,68338
1072,SAN DIEGO NEIGHBORHOOD HOMESCHOOLS,MOUNTAIN EMPIRE UNIFIED,1,119560,68213
1073,SAN DIEGO SCIENCE AND TECHNOLOGY,SAN DIEGO UNIFIED,1,107219,68338
1074,SAN DIEGO SCPA,SAN DIEGO UNIFIED,1,3730371,68338
1075,SAN DIEGO VIRTUAL,MOUNTAIN EMPIRE UNIFIED,1,123224,68213
1076,SAN DIEGO WORKFORCE INNOVATION HIGH,BORREGO SPRINGS UNIFIED,1,134890,67983
1077,SAN DIEGO YOUTH AQUATIC CENTER,,0,,
1078,SAN DIEGO YOUTH SERVICES,,0,,
1079,SAN DIEGUITO ADULT HIGH,SAN DIEGUITO UNION HIGH,1,,
1080,SAN DIEGUITO HIGH ACADEMY,SAN DIEGUITO UNION HIGH,1,3737418,68346
1081,SAN DIEGUITO HS ACADEMY,SAN DIEGUITO UNION HIGH,1,,
1082,SAN ELIJO ELEMENTARY,SAN MARCOS UNIFIED,1,111468,73791
1083,SAN ELIJO MIDDLE,SAN MARCOS UNIFIED,1,105684,73791
1084,SAN JOSE VALLEY CONTINUATION HIGH,WARNER UNIFIED,1,3731015,75416
1085,SAN LUIS REY ELEMENTARY,OCEANSIDE UNIFIED,1,6038905,73569
1086,SAN MARCOS ADULT,SAN MARCOS UNIFIED,1,,
1087,SAN MARCOS ELEMENTARY,SAN MARCOS UNIFIED,1,6039085,73791
1088,SAN MARCOS HIGH,SAN MARCOS UNIFIED,1,3737632,73791
