"county","fnsreportdate","fnssubtype","programcode","ProgramGroupYear","sponsorname","sponsortype_a","sponsortype_b","mealgroupcode","mealtypecode","siteqty","daysservedqty","freeeligqty","redceligqty","paideligqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","avgdailymeals","academicyear"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"GROSSMONT UNION HIGH SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",24,17,0,0,23174,32097,0,0,32097,4331.71,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"GROSSMONT UNION HIGH SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",3,7,0,0,370,2457,0,0,2457,351,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",1,7,0,0,700,167,0,0,167,23.86,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,7,0,0,75,272,0,0,272,38.86,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",9,7,0,0,1470,3186,0,0,3186,580.12,"2014-2015"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"CARLSBAD UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,15,0,0,250,2323,0,0,2323,154.87,"2015-2016"
"SAN DIEGO",2015-07-01,"CLOSEOUT","SSFO",2015,"FALLBROOK UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",2,23,0,0,5105,5105,0,0,5105,226.23,"2015-2016"
"SAN DIEGO",2015-07-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",1,22,0,0,25,498,0,0,498,22.64,"2015-2016"
"SAN DIEGO",2015-07-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",19,22,0,0,1889,20495,0,0,20495,1595.27,"2015-2016"
"SAN DIEGO",2015-07-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",59,22,0,0,5472,70145,0,0,70145,4702.25,"2015-2016"
"SAN DIEGO",2015-07-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",37,22,0,0,1680,23784,0,0,23784,1437.61,"2015-2016"
"SAN DIEGO",2015-07-01,"CLOSEOUT","SSFO",2015,"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,12,0,0,40,254,0,0,254,21.17,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"VISTA UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",2,5,0,0,139,688,0,0,688,137.6,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"VISTA UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",1,5,0,0,112,560,0,0,560,112,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"OCEANSIDE UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",6,10,0,0,327,2194,0,0,2194,258.9,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"OCEANSIDE UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",9,10,0,0,1175,7885,0,0,7885,943.78,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"OCEANSIDE UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",3,10,0,0,263,1683,0,0,1683,199.9,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"CARLSBAD UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",1,15,0,0,250,2481,0,0,2481,165.4,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"LEMON GROVE SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",5,5,0,0,580,1755,0,0,1755,351,"2015-2016"
"SAN DIEGO",2015-08-01,"CLOSEOUT","SSFO",2015,"LEMON GROVE SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",1,5,0,0,150,280,0,0,280,56,"2015-2016"
"SAN DIEGO",2015-09-01,"CLOSEOUT","SSFO",2015,"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,8,0,0,55,357,0,0,357,44.63,"2015-2016"
"SAN DIEGO",2015-09-01,"CLOSEOUT","SSFO",2015,"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,8,0,0,75,499,0,0,499,62.38,"2015-2016"
