siteid,ClaimDate,ProgramGroupYear,SiteName,Name,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
4493,2018-06-01,2018,VISTA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,12,1773
4553,2018-06-01,2018,ATMOSPHERE APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,41
4553,2018-06-01,2018,ATMOSPHERE APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,13
4557,2018-06-01,2018,BORDER VIEW YMCA,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,424
4557,2018-06-01,2018,BORDER VIEW YMCA,HEAVEN'S WINDOWS,204,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,20,75
4565,2018-06-01,2018,CAMPO EDUCATIONAL CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,345
4573,2018-06-01,2018,CASA DE ORO LIBRARY,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,152
4577,2018-06-01,2018,CENTRAL BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,78
4581,2018-06-01,2018,CHOLLAS VIEW UNITED METHODIST CHURCH,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,124
4585,2018-06-01,2018,CHULA VISTA PRESBYTERIAN PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,274
4585,2018-06-01,2018,CHULA VISTA PRESBYTERIAN PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,20,380
4593,2018-06-01,2018,CITY HEIGHTS BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,138
4601,2018-06-01,2018,COLLEGE-ROLANDO BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,89
4605,2018-06-01,2018,COMMUNITY CONGREGATIONAL PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,20,502
4605,2018-06-01,2018,COMMUNITY CONGREGATIONAL PRESCHOOL,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,235
4609,2018-06-01,2018,CORONADO TERRACE APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,159
4609,2018-06-01,2018,CORONADO TERRACE APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,159
4613,2018-06-01,2018,EAST COUNTY COMMUNITY CENTER SPRING VALLEY,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,61
4633,2018-06-01,2018,LAKESIDE TEEN CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,92
