County,Claim Month/ Year,ProgramCode,Year,Name,Meal Group,Days Served,Free Eligible,Reduced Eligible,Paid Eligible,Enroll,Free Meals,Reduced Meals,Paid Meals,Total Meals,Average Daily Meals
SAN DIEGO,Jan 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SNACK,5,165,0,0,165,650,0,0,650,130
SAN DIEGO,Jan 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SUPPER,5,165,0,0,165,650,0,0,650,130
SAN DIEGO,Feb 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SNACK,19,190,0,0,190,2190,0,0,2190,115.2632
SAN DIEGO,Feb 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SUPPER,19,190,0,0,190,2710,0,0,2710,142.6316
SAN DIEGO,Mar 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SNACK,20,130,0,0,130,2150,0,0,2150,107.5
SAN DIEGO,Mar 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SUPPER,20,130,0,0,130,2150,0,0,2150,107.5
SAN DIEGO,Apr 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SNACK,22,130,0,0,130,2200,0,0,2200,100
SAN DIEGO,Apr 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SUPPER,22,130,0,0,130,2640,0,0,2640,120
SAN DIEGO,May 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SNACK,21,130,0,0,130,2140,0,0,2140,101.9048
SAN DIEGO,May 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SUPPER,21,130,0,0,130,2560,0,0,2560,121.9048
SAN DIEGO,Jun 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SNACK,10,80,0,0,80,600,0,0,600,60
SAN DIEGO,Jun 2014,CACF,2014,A B Vines Ministries,ATRISK_CHILD_SUPPER,10,80,0,0,80,800,0,0,800,80
SAN DIEGO,Oct 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,23,86,4,5,95,918,43,53,1014,44.087
SAN DIEGO,Oct 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,23,86,4,5,95,1165,54,68,1287,55.9565
SAN DIEGO,Oct 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,23,86,4,5,95,755,35,44,834,36.2609
SAN DIEGO,Nov 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,19,62,3,2,67,718,35,23,776,40.8421
SAN DIEGO,Nov 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,19,62,3,2,67,903,44,29,976,51.3684
SAN DIEGO,Nov 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,19,62,3,2,67,527,26,17,570,30
SAN DIEGO,Nov 2013,CACF,2014,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,19,24,1,3,28,35,1,5,41,2.1579
SAN DIEGO,Nov 2013,CACF,2014,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,19,24,1,3,28,42,2,5,49,2.5789
SAN DIEGO,Nov 2013,CACF,2014,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,19,24,1,3,28,175,7,22,204,10.7368
SAN DIEGO,Dec 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,62,3,2,67,676,33,22,731,34.8095
SAN DIEGO,Dec 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_LUNCH,21,62,3,2,67,776,38,25,839,39.9524
SAN DIEGO,Dec 2013,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_SNACK_PM,21,62,3,2,67,492,24,16,532,25.3333
SAN DIEGO,Dec 2013,CACF,2014,A PLACE OF OUR OWN CHILD,OSCH_CHILD_BREAKFAST,21,24,1,3,28,60,2,8,70,3.3333
SAN DIEGO,Dec 2013,CACF,2014,A PLACE OF OUR OWN CHILD,OSCH_CHILD_LUNCH,21,24,1,3,28,66,3,8,77,3.6667
SAN DIEGO,Dec 2013,CACF,2014,A PLACE OF OUR OWN CHILD,OSCH_CHILD_SNACK_PM,21,24,1,3,28,217,9,27,253,12.0476
SAN DIEGO,Jan 2014,CACF,2014,A PLACE OF OUR OWN CHILD,CHILD_BREAKFAST,21,62,3,2,67,808,39,26,873,41.5714
